Database_From	Unique_ID_1(gene)	Unique_ID_2(transcript)	chr	chromStart	chromEnd
UCSC	Pkinase_Tyr	Pfam_00077	1	1572114	1573900
UCSC	Pkinase_Tyr	Pfam_00078	1	1572120	1573906
UCSC	TNFR_c6	Pfam_00079	1	2489835	2491315
UCSC	TIG	Pfam_00080	1	7725224	7737739
UCSC	PAS_3	Pfam_00081	1	7861232	7868960
UCSC	Myb_DNA-binding	Pfam_00082	1	8426000	8526010
UCSC	7tm_2	Pfam_00083	1	9171423	9188812
UCSC	Dicty_CAR	Pfam_00084	1	9171453	9188860
UCSC	G6PD_N	Pfam_00085	1	9305078	9307031
UCSC	Pex14_N	Pfam_00086	1	10555364	10683097
UCSC	Pex14_N	Pfam_00087	1	10555364	10678391
UCSC	AGTRAP	Pfam_00088	1	11796266	11805893
UCSC	AGTRAP	Pfam_00089	1	11796266	11810247
UCSC	AGTRAP	Pfam_00090	1	11796266	11810247
UCSC	Dynamin_N	Pfam_00091	1	12052731	12059114
UCSC	Abhydrolase_3	Pfam_00092	1	12711316	12726270
UCSC	FHA	Pfam_00093	1	15578332	15598981
UCSC	DnaJ	Pfam_00094	1	15855685	15863006
UCSC	ShK	Pfam_00095	1	17301416	17301509
UCSC	PAD_N	Pfam_00096	1	17429487	17445865
UCSC	PAD	Pfam_00097	1	17555443	17570736
UCSC	ig	Pfam_00098	1	18554436	18661435
UCSC	F_actin_cap_B	Pfam_00099	1	19666034	19811931
UCSC	F_actin_cap_B	Pfam_00100	1	19669281	19811931
UCSC	DUF726	Pfam_00101	1	20009873	20067428
UCSC	DUF726	Pfam_00102	1	20009873	20073715
UCSC	Alk_phosphatase	Pfam_00103	1	21887190	21903050
UCSC	Alk_phosphatase	Pfam_00104	1	21887223	21903050
UCSC	Alk_phosphatase	Pfam_00105	1	21887631	21903050
UCSC	Ras	Pfam_00106	1	22404984	22417969
UCSC	Ras	Pfam_00107	1	22404984	22416484
UCSC	Ras	Pfam_00108	1	22404984	22413359
UCSC	Ras	Pfam_00109	1	22408215	22417969
UCSC	Ras	Pfam_00110	1	22412934	22417969
UCSC	TFIIS_M	Pfam_00111	1	23713839	23724344
UCSC	DUF803	Pfam_00112	1	24746122	24790580
UCSC	DUF803	Pfam_00113	1	24746122	24779994
UCSC	DUF803	Pfam_00114	1	24768629	24790580
UCSC	Ammonium_transp	Pfam_00115	1	25689031	25712268
UCSC	Ammonium_transp	Pfam_00116	1	25689031	25747234
UCSC	Ammonium_transp	Pfam_00117	1	25689031	25735354
UCSC	Glyco_hydro_47	Pfam_00118	1	26012931	26110239
UCSC	CSD	Pfam_00119	1	26737969	26751902
UCSC	DUF778	Pfam_00120	1	27648818	27661946
UCSC	RRM_1	Pfam_00121	1	29486934	29508254
UCSC	Hist_deacetyl	Pfam_00122	1	32757798	32796494
UCSC	Hist_deacetyl	Pfam_00123	1	32757798	32793279
UCSC	IBR	Pfam_00124	1	33415256	33429730
UCSC	SCAN	Pfam_00125	1	33945022	33954068
UCSC	CUB	Pfam_00126	1	34076643	34080214
UCSC	CUB	Pfam_00127	1	34312487	34383890
UCSC	Proteasome	Pfam_00128	1	36043089	36107029
UCSC	Piwi	Pfam_00129	1	36299736	36316638
UCSC	ANF_receptor	Pfam_00130	1	37319229	37356649
UCSC	Sua5_yciO_yrdC	Pfam_00131	1	38269974	38273632
UCSC	CH	Pfam_00132	1	39696868	39747880
UCSC	TGFb_propeptide	Pfam_00133	1	39957742	39987131
UCSC	TGFb_propeptide	Pfam_00134	1	40230405	40254078
UCSC	TGFb_propeptide	Pfam_00135	1	40230677	40254078
UCSC	MBT	Pfam_00136	1	41541120	41579158
UCSC	MBT	Pfam_00137	1	41541120	41608747
UCSC	Fork_head	Pfam_00138	1	42693615	42744155
UCSC	fn3	Pfam_00139	1	43777981	43778242
UCSC	Exonuc_X-T	Pfam_00140	1	44687282	44804769
UCSC	Exonuc_X-T	Pfam_00141	1	44687282	44785367
UCSC	Pkinase	Pfam_00142	1	45811617	45923273
UCSC	Pkinase	Pfam_00143	1	45811617	45887487
UCSC	Pkinase_Tyr	Pfam_00144	1	45812691	45923273
UCSC	Pkinase_Tyr	Pfam_00145	1	45812691	45887484
UCSC	Pkinase	Pfam_00146	1	45812703	45923273
UCSC	Pkinase_Tyr	Pfam_00147	1	45864650	45923273
UCSC	Pkinase	Pfam_00148	1	45864650	45923273
UCSC	p450	Pfam_00149	1	47533301	47583589
UCSC	Peptidase_M14	Pfam_00150	1	49005401	49119045
UCSC	PH	Pfam_00151	1	52082735	52179677
UCSC	PH	Pfam_00152	1	52082789	52179731
UCSC	PH	Pfam_00153	1	52135106	52179731
UCSC	Peptidase_M16	Pfam_00154	1	52290982	52305932
UCSC	Peptidase_M16	Pfam_00155	1	52290982	52301883
UCSC	Peptidase_M16	Pfam_00156	1	52290982	52299842
UCSC	zf-C2H2	Pfam_00157	1	53995561	54059791
UCSC	SSDP	Pfam_00158	1	54694459	54867571
UCSC	SSDP	Pfam_00159	1	54694459	54867571
UCSC	SSDP	Pfam_00160	1	54723743	54867571
UCSC	Pkinase	Pfam_00161	1	57111106	57169660
UCSC	Pkinase_Tyr	Pfam_00162	1	57111106	57161615
UCSC	MACPF	Pfam_00163	1	57399064	57411733
UCSC	PID	Pfam_00164	1	57528615	57611045
UCSC	PID	Pfam_00165	1	57537247	57611045
UCSC	Peptidase_M48	Pfam_00166	1	58971733	58992988
UCSC	FGGY_C	Pfam_00167	1	60132961	60228185
UCSC	HOOK	Pfam_00168	1	60280802	60338635
UCSC	HOOK	Pfam_00169	1	60287593	60338635
UCSC	PDZ	Pfam_00170	1	62257044	62263049
UCSC	PGM_PMM_I	Pfam_00171	1	64059199	64095678
UCSC	PGM_PMM_I	Pfam_00172	1	64089225	64095678
UCSC	ADK	Pfam_00173	1	65614118	65691759
UCSC	ADK	Pfam_00174	1	65656404	65691759
UCSC	DUF1171	Pfam_00175	1	68613880	68697924
UCSC	I-set	Pfam_00176	1	72163729	72241974
UCSC	ig	Pfam_00177	1	72163741	72241932
UCSC	ig	Pfam_00178	1	72400809	72748020
UCSC	Pkinase_Tyr	Pfam_00179	1	74834771	74954909
UCSC	Pkinase_Tyr	Pfam_00180	1	74834771	74929127
UCSC	Pkinase	Pfam_00181	1	74834771	74905297
UCSC	MutS_III	Pfam_00182	1	76282161	76347046
UCSC	Glyco_transf_29	Pfam_00183	1	76877708	77094441
UCSC	Glyco_transf_29	Pfam_00184	1	77334416	77528802
UCSC	ADK	Pfam_00185	1	77952031	78001715
UCSC	7tm_2	Pfam_00186	1	82434880	82450270
UCSC	7tm_2	Pfam_00187	1	82436058	82447660
UCSC	TTL	Pfam_00188	1	84387048	84415570
UCSC	Pkinase	Pfam_00189	1	84647904	84679965
UCSC	Pkinase	Pfam_00190	1	84650783	84679965
UCSC	SAM_1	Pfam_00191	1	84791351	84815419
UCSC	7tm_1	Pfam_00192	1	85279710	85331664
UCSC	Amidinotransf	Pfam_00193	1	85787148	85930706
UCSC	Collagen	Pfam_00194	1	86211188	86249204
UCSC	Collagen	Pfam_00195	1	86241361	86249213
UCSC	Collagen	Pfam_00196	1	86499578	86524811
UCSC	VWA	Pfam_00197	1	86900390	86907179
UCSC	HS2ST	Pfam_00198	1	87380744	87563620
UCSC	HS2ST	Pfam_00199	1	87380744	87570371
UCSC	HS2ST	Pfam_00200	1	87538616	87569272
UCSC	GBP_C	Pfam_00201	1	89519075	89523698
UCSC	GBP_C	Pfam_00202	1	89651076	89656967
UCSC	FCH	Pfam_00203	1	93913839	93988986
UCSC	DUF887	Pfam_00204	1	95609458	95696459
UCSC	DHO_dh	Pfam_00205	1	97658731	97839190
UCSC	Pyr_redox_2	Pfam_00206	1	98015177	98165021
UCSC	MFS_1	Pfam_00207	1	100515498	100546132
UCSC	Collagen	Pfam_00208	1	103405980	103427474
UCSC	RRM_1	Pfam_00209	1	104068777	104076412
UCSC	Alpha-amylase	Pfam_00210	1	104199028	104205527
UCSC	PH	Pfam_00211	1	108247678	108293796
UCSC	CH	Pfam_00212	1	108322074	108507487
UCSC	Sec1	Pfam_00213	1	109294923	109319049
UCSC	Sec1	Pfam_00214	1	109294923	109351449
UCSC	I-set	Pfam_00215	1	109837735	109838941
UCSC	ig	Pfam_00216	1	109837780	109838899
UCSC	GST_N	Pfam_00217	1	110230502	110231739
UCSC	Ion_trans_2	Pfam_00218	1	112329609	112524369
UCSC	Ion_trans	Pfam_00219	1	112329627	112524666
UCSC	ST7	Pfam_00220	1	113068726	113126746
UCSC	ST7	Pfam_00221	1	113068726	113121039
UCSC	ST7	Pfam_00222	1	113068726	113161605
UCSC	ST7	Pfam_00223	1	113068726	113159466
UCSC	ST7	Pfam_00224	1	113068726	113140664
UCSC	ST7	Pfam_00225	1	113084571	113161605
UCSC	ST7	Pfam_00226	1	113084571	113159514
UCSC	ST7	Pfam_00227	1	113084571	113159466
UCSC	ST7	Pfam_00228	1	113084706	113161605
UCSC	ST7	Pfam_00229	1	113093308	113159466
UCSC	SCP-1	Pfam_00230	1	115398167	115520232
UCSC	SCP-1	Pfam_00231	1	115398167	115520181
UCSC	Tetraspannin	Pfam_00232	1	115593175	115632025
UCSC	Tetraspannin	Pfam_00233	1	115600213	115632025
UCSC	Calsequestrin	Pfam_00234	1	116243917	116275592
UCSC	Calsequestrin	Pfam_00235	1	116243917	116311158
UCSC	Glyco_hydro_47	Pfam_00236	1	117948171	118065532
UCSC	Glyco_hydro_47	Pfam_00237	1	117957334	118042174
UCSC	FMN_dh	Pfam_00238	1	119923745	119936452
UCSC	FCH	Pfam_00239	1	143916305	144053606
UCSC	DUF1220	Pfam_00240	1	144158201	144187632
UCSC	DUF1220	Pfam_00241	1	144158201	144182868
UCSC	DUF1220	Pfam_00242	1	144164542	144179646
UCSC	DUF1220	Pfam_00243	1	144824728	145313506
UCSC	DUF1220	Pfam_00244	1	144827900	145313506
UCSC	Microtub_assoc	Pfam_00245	1	144952675	144994688
UCSC	Microtub_assoc	Pfam_00246	1	144952675	144994634
UCSC	DUF1220	Pfam_00247	1	145315871	145368613
UCSC	DUF1220	Pfam_00248	1	145320591	145368613
UCSC	DUF1220	Pfam_00249	1	145358384	145359187
UCSC	FMO-like	Pfam_00250	1	146658480	146696614
UCSC	FMO-like	Pfam_00251	1	146661756	146696614
UCSC	FMO-like	Pfam_00252	1	146661820	146696614
UCSC	DUF1220	Pfam_00253	1	148010883	148270245
UCSC	Pro_isomerase	Pfam_00254	1	149553090	149553570
UCSC	Sec1	Pfam_00255	1	150039978	150116903
UCSC	Sec1	Pfam_00256	1	150040702	150116903
UCSC	Sec1	Pfam_00257	1	150049744	150116903
UCSC	Sec1	Pfam_00258	1	150049747	150115017
UCSC	tRNA-synt_2b	Pfam_00259	1	150463958	150471508
UCSC	tRNA-synt_2b	Pfam_00260	1	150469355	150471508
UCSC	tRNA-synt_2b	Pfam_00261	1	150470009	150471508
UCSC	tRNA-synt_2b	Pfam_00262	1	150470174	150471508
UCSC	Endosulfine	Pfam_00263	1	150598148	150601897
UCSC	Endosulfine	Pfam_00264	1	150599001	150601897
UCSC	Endosulfine	Pfam_00265	1	150599941	150601897
UCSC	Inhibitor_I29	Pfam_00266	1	150724483	150737157
UCSC	Inhibitor_I29	Pfam_00267	1	150727610	150737157
UCSC	Hormone_recep	Pfam_00268	1	151779988	151786056
UCSC	Hormone_recep	Pfam_00269	1	151779988	151786056
UCSC	SK_channel	Pfam_00270	1	154744736	154841635
UCSC	SK_channel	Pfam_00271	1	154744736	154832172
UCSC	Ephrin	Pfam_00272	1	155036363	155058609
UCSC	Ephrin	Pfam_00273	1	155051496	155058894
UCSC	Ephrin	Pfam_00274	1	155051496	155058609
UCSC	Bromodomain	Pfam_00275	1	155317649	155322532
UCSC	IF_tail	Pfam_00276	1	156106120	156107472
UCSC	IF_tail	Pfam_00277	1	156106120	156108279
UCSC	RasGAP_C	Pfam_00278	1	156498301	156500006
UCSC	Spectrin	Pfam_00279	1	158596682	158604442
UCSC	V-set	Pfam_00280	1	159907481	159913213
UCSC	Calsequestrin	Pfam_00281	1	160160572	160171164
UCSC	KE2	Pfam_00282	1	161070549	161087746
UCSC	PID	Pfam_00283	1	162040061	162313697
UCSC	PID	Pfam_00284	1	162040061	162313697
UCSC	LIM	Pfam_00285	1	165218866	165322472
UCSC	PRK	Pfam_00286	1	165797134	165876926
UCSC	FMO-like	Pfam_00287	1	166590054	166593918
UCSC	UPF0041	Pfam_00288	1	167887592	167905012
UCSC	UPF0041	Pfam_00289	1	167893733	167905012
UCSC	TIP41	Pfam_00290	1	168153177	168169144
UCSC	Na_K-ATPase	Pfam_00291	1	169076068	169100776
UCSC	NDK	Pfam_00292	1	169102036	169256576
UCSC	KAP	Pfam_00293	1	169930198	170024572
UCSC	KAP	Pfam_00294	1	169930198	170024488
UCSC	KAP	Pfam_00295	1	169930198	170043580
UCSC	KAP	Pfam_00296	1	169930198	170008429
UCSC	DUF858	Pfam_00297	1	170129694	170136881
UCSC	PH	Pfam_00298	1	172100315	172277962
UCSC	TBC	Pfam_00299	1	174363176	174780997
UCSC	TBC	Pfam_00300	1	174671251	174780997
UCSC	TBC	Pfam_00301	1	174671320	174780997
UCSC	RasGEF	Pfam_00302	1	178753631	178846680
UCSC	LIM	Pfam_00303	1	180217431	180235537
UCSC	SPX	Pfam_00304	1	180601338	180775291
UCSC	Ion_trans	Pfam_00305	1	181480510	181620573
UCSC	Helicase_C	Pfam_00306	1	182845392	182847265
UCSC	CTP_transf_2	Pfam_00307	1	183221870	183387368
UCSC	CTP_transf_2	Pfam_00308	1	183221870	183262928
UCSC	RA	Pfam_00309	1	183885773	183895325
UCSC	ig	Pfam_00310	1	185988723	185992237
UCSC	I-set	Pfam_00311	1	185988726	185992282
UCSC	G2F	Pfam_00312	1	186115052	186123032
UCSC	PLA2_B	Pfam_00313	1	186901904	186948512
UCSC	RGS	Pfam_00314	1	192129542	192153583
UCSC	CDC73	Pfam_00315	1	193111164	193219822
UCSC	BK_channel_a	Pfam_00316	1	196309623	196367722
UCSC	BK_channel_a	Pfam_00317	1	196342270	196367722
UCSC	dDENN	Pfam_00318	1	197522226	197564420
UCSC	uDENN	Pfam_00319	1	197641194	197742054
UCSC	uDENN	Pfam_00320	1	197641194	197684201
UCSC	Y_phosphatase	Pfam_00321	1	198701483	198713219
UCSC	zf-C4	Pfam_00322	1	200012949	200017314
UCSC	LIM	Pfam_00323	1	201453893	201458038
UCSC	LIM	Pfam_00324	1	201453893	201458038
UCSC	Arf	Pfam_00325	1	202103611	202113681
UCSC	Miro	Pfam_00326	1	202104626	202113636
UCSC	JmjN	Pfam_00327	1	202746194	202777336
UCSC	Hydrolase	Pfam_00328	1	203680198	203689689
UCSC	Pkinase	Pfam_00329	1	205116783	205129392
UCSC	Pkinase	Pfam_00330	1	205119813	205129392
UCSC	Pkinase_Tyr	Pfam_00331	1	205119882	205128676
UCSC	C1_1	Pfam_00332	1	206681302	206711563
UCSC	C1_3	Pfam_00333	1	206681338	206711530
UCSC	C1_2	Pfam_00334	1	206681341	206711533
UCSC	Sushi	Pfam_00335	1	207874872	207881605
UCSC	PSI	Pfam_00336	1	208272240	208276570
UCSC	Ion_trans_2	Pfam_00337	1	210977457	211093167
UCSC	Ion_trans	Pfam_00338	1	210977475	211192402
UCSC	Ion_trans	Pfam_00339	1	210977475	211192402
UCSC	B56	Pfam_00340	1	212459615	212534041
UCSC	PX	Pfam_00341	1	213224771	213290665
UCSC	PX	Pfam_00342	1	213224771	213290665
UCSC	Prox1	Pfam_00343	1	214171502	214209169
UCSC	Ion_trans_2	Pfam_00344	1	215345400	215368412
UCSC	K_tetra	Pfam_00345	1	215741086	215751364
UCSC	fn3	Pfam_00346	1	215853612	215901520
UCSC	Laminin_G_2	Pfam_00347	1	216258162	216270540
UCSC	Laminin_G_1	Pfam_00348	1	216258171	216270540
UCSC	Laminin_EGF	Pfam_00349	1	216390887	216405436
UCSC	zf-C4	Pfam_00350	1	216741425	216824344
UCSC	zf-C4	Pfam_00351	1	216741425	216850513
UCSC	zf-C4	Pfam_00352	1	216741437	216850513
UCSC	Rhodanese	Pfam_00353	1	221879781	221912569
UCSC	Calpain_III	Pfam_00354	1	223718181	223807066
UCSC	Cornichon	Pfam_00355	1	224804892	224927032
UCSC	DHC_N2	Pfam_00356	1	225268273	225328434
UCSC	Dynein_heavy	Pfam_00357	1	225569111	225576168
UCSC	WH1	Pfam_00358	1	225742631	225840391
UCSC	SRP9	Pfam_00359	1	225965646	225974657
UCSC	SRP9	Pfam_00360	1	225965646	225977035
UCSC	Pkinase	Pfam_00361	1	227333302	227441805
UCSC	COG2	Pfam_00362	1	230778353	230829137
UCSC	COG2	Pfam_00363	1	230778353	230829137
UCSC	COG2	Pfam_00364	1	230800230	230829137
UCSC	fn3	Pfam_00365	1	231339612	231342509
UCSC	G2F	Pfam_00366	1	236189300	236201406
UCSC	RYDR_ITPR	Pfam_00367	1	237617749	237659815
UCSC	SPRY	Pfam_00368	1	237755145	237774062
UCSC	RIH_assoc	Pfam_00369	1	237880567	237944865
UCSC	RIH_assoc	Pfam_00370	1	237890474	237944865
UCSC	FH2	Pfam_00371	1	240371962	240601470
UCSC	FH2	Pfam_00372	1	240408863	240601470
UCSC	FH2	Pfam_00373	1	240421245	240555813
UCSC	DAO	Pfam_00374	1	241695772	241712198
UCSC	Pkinase	Pfam_00375	1	243708846	243801031
UCSC	Pkinase_Tyr	Pfam_00376	1	243716118	243801031
UCSC	PH	Pfam_00377	1	243809301	244006456
UCSC	Adenylsucc_synt	Pfam_00378	1	244572895	244615031
UCSC	DUF862	Pfam_00379	1	244816628	244868954
UCSC	DUF862	Pfam_00380	1	244816628	244849971
UCSC	zf-MYND	Pfam_00381	1	246498742	246670374
UCSC	7tm_1	Pfam_00382	1	69190	69931
UCSC	7tm_1	Pfam_00383	1	367779	368418
UCSC	7tm_1	Pfam_00384	1	621274	621913
UCSC	SAM_2	Pfam_00385	1	878686	879309
UCSC	SAM_1	Pfam_00386	1	878689	879303
UCSC	Noc2	Pfam_00387	1	881599	888583
UCSC	BTB	Pfam_00388	1	896809	897284
UCSC	BTB	Pfam_00389	1	897014	897284
UCSC	BACK	Pfam_00390	1	897296	898144
UCSC	BACK	Pfam_00391	1	897296	897431
UCSC	Kelch_1	Pfam_00392	1	898246	898575
UCSC	Kelch_2	Pfam_00393	1	898578	898799
UCSC	Kelch_1	Pfam_00394	1	898578	898799
UCSC	Kelch_2	Pfam_00395	1	898802	899355
UCSC	Kelch_1	Pfam_00396	1	898802	899355
UCSC	Kelch_2	Pfam_00397	1	899358	899762
UCSC	Kelch_1	Pfam_00398	1	899358	899762
UCSC	Kelch_2	Pfam_00399	1	899765	899903
UCSC	Kelch_1	Pfam_00400	1	899765	899903
UCSC	Kelch_2	Pfam_00401	1	899906	900476
UCSC	Kelch_1	Pfam_00402	1	899906	900476
UCSC	PH	Pfam_00403	1	905910	906345
UCSC	Hairy_orange	Pfam_00404	1	934647	934782
UCSC	HLH	Pfam_00405	1	934920	935250
UCSC	HLH	Pfam_00406	1	934920	935172
UCSC	ubiquitin	Pfam_00407	1	949382	949595
UCSC	ubiquitin	Pfam_00408	1	949619	949826
UCSC	NtA	Pfam_00409	1	955640	970665
UCSC	Kazal_2	Pfam_00410	1	976119	976260
UCSC	Kazal_1	Pfam_00411	1	976122	976260
UCSC	Kazal_2	Pfam_00412	1	976636	976777
UCSC	Kazal_1	Pfam_00413	1	976639	976777
UCSC	Kazal_2	Pfam_00414	1	976893	977073
UCSC	Kazal_1	Pfam_00415	1	976929	977073
UCSC	Kazal_2	Pfam_00416	1	977395	977542
UCSC	Kazal_1	Pfam_00417	1	977404	977542
UCSC	Kazal_2	Pfam_00418	1	978666	978837
UCSC	Kazal_1	Pfam_00419	1	978702	978837
UCSC	Kazal_2	Pfam_00420	1	978974	979112
UCSC	Kazal_1	Pfam_00421	1	978977	979112
UCSC	Kazal_2	Pfam_00422	1	979259	979397
UCSC	Kazal_1	Pfam_00423	1	979262	979397
UCSC	Kazal_2	Pfam_00424	1	979599	979816
UCSC	Kazal_1	Pfam_00425	1	979602	979816
UCSC	Laminin_EGF	Pfam_00426	1	980744	980900
UCSC	Laminin_EGF	Pfam_00427	1	981115	981250
UCSC	Kazal_2	Pfam_00428	1	981427	981642
UCSC	Kazal_1	Pfam_00429	1	981430	981642
UCSC	SEA	Pfam_00430	1	982334	983245
UCSC	EGF	Pfam_00431	1	983637	983739
UCSC	Laminin_G_1	Pfam_00432	1	984339	985025
UCSC	Laminin_G_2	Pfam_00433	1	984339	985016
UCSC	EGF	Pfam_00434	1	985088	985294
UCSC	EGF	Pfam_00435	1	985312	985411
UCSC	Laminin_G_1	Pfam_00436	1	985832	986860
UCSC	Laminin_G_2	Pfam_00437	1	985832	986851
UCSC	EGF	Pfam_00438	1	986914	987019
UCSC	Laminin_G_1	Pfam_00439	1	989170	990308
UCSC	Laminin_G_2	Pfam_00440	1	989170	990299
UCSC	zf-C3HC4	Pfam_00441	1	1007642	1007795
UCSC	TTL	Pfam_00442	1	1117760	1132862
UCSC	TTL	Pfam_00443	1	1117760	1120427
UCSC	TNFR_c6	Pfam_00444	1	1148419	1149111
UCSC	TNFR_c6	Pfam_00445	1	1149117	1149416
UCSC	Galactosyl_T	Pfam_00446	1	1167869	1168133
UCSC	Galactosyl_T	Pfam_00447	1	1168274	1168439
UCSC	UQ_con	Pfam_00448	1	1191483	1203326
UCSC	UQ_con	Pfam_00449	1	1191483	1198764
UCSC	UQ_con	Pfam_00450	1	1191483	1198737
UCSC	ASC	Pfam_00451	1	1221426	1226724
UCSC	ASC	Pfam_00452	1	1223052	1226724
UCSC	Ank	Pfam_00453	1	1229515	1229816
UCSC	ArfGap	Pfam_00454	1	1231244	1231934
UCSC	PH	Pfam_00455	1	1233239	1234004
UCSC	PH	Pfam_00456	1	1233239	1233998
UCSC	PseudoU_synth_1	Pfam_00457	1	1244069	1244883
UCSC	PseudoU_synth_1	Pfam_00458	1	1245089	1246445
UCSC	RMMBL	Pfam_00459	1	1248205	1248419
UCSC	Lactamase_B	Pfam_00460	1	1250283	1256455
UCSC	Lactamase_B	Pfam_00461	1	1250283	1256455
UCSC	Lactamase_B	Pfam_00462	1	1250283	1255854
UCSC	ANF_receptor	Pfam_00463	1	1267037	1268415
UCSC	NCD3G	Pfam_00464	1	1268642	1268750
UCSC	7tm_3	Pfam_00465	1	1269329	1269758
UCSC	DEP	Pfam_00466	1	1273663	1273967
UCSC	PDZ	Pfam_00467	1	1275006	1275644
UCSC	PDZ	Pfam_00468	1	1275006	1275476
UCSC	Dishevelled	Pfam_00469	1	1275842	1277468
UCSC	DIX	Pfam_00470	1	1277848	1284444
UCSC	V-set	Pfam_00471	1	1290142	1290517
UCSC	V-set	Pfam_00472	1	1290629	1291108
UCSC	DUF1713	Pfam_00473	1	1309393	1309501
UCSC	Ribosomal_L20	Pfam_00474	1	1337563	1342539
UCSC	Ribosomal_L20	Pfam_00475	1	1341187	1342539
UCSC	Ank	Pfam_00476	1	1354580	1354679
UCSC	Ank	Pfam_00477	1	1354679	1354778
