database_from	hg19.refGene.name2	#hg19.ccdsGene.name	9.ccdsGene.chrom	hg19.ccdsGene.txStart	hg19.ccdsGene.txEnd
CCDS_v15	KHDRBS1	CCDS350.1	1	32479596	32508225
CCDS_v15	CSMD2	CCDS60082.1	1	33985117	34630698
CCDS_v15	CSMD2	CCDS380.1	1	33985117	34631414
CCDS_v15	SFPQ	CCDS388.1	1	35650056	35658650
CCDS_v15	MACF1	CCDS435.1	1	39549890	39951466
CCDS_v15	PTPRF	CCDS490.2	1	44010746	44087674
CCDS_v15	PTPRF	CCDS489.2	1	44010746	44087674
CCDS_v15	RNF220	CCDS510.1	1	44877769	45116447
CCDS_v15	TRABD2B	CCDS58000.1	1	48231573	48462461
CCDS_v15	FAF1	CCDS554.1	1	50907111	51425483
CCDS_v15	RAB3B	CCDS560.1	1	52385598	52442789
CCDS_v15	SCP2	CCDS53318.1	1	53393068	53516376
CCDS_v15	SCP2	CCDS53317.1	1	53393068	53516376
CCDS_v15	SCP2	CCDS572.1	1	53393068	53516376
CCDS_v15	SCP2	CCDS53319.1	1	53416470	53516376
CCDS_v15	TCEANC2	CCDS587.1	1	54520095	54562146
CCDS_v15	USP24	CCDS44154.2	1	55534717	55680786
CCDS_v15	DAB1	CCDS607.1	1	57476367	57756702
CCDS_v15	NFIA	CCDS53321.1	1	61543297	61920992
CCDS_v15	NFIA	CCDS53322.1	1	61547615	61920992
CCDS_v15	NFIA	CCDS44156.1	1	61548463	61920992
CCDS_v15	NFIA	CCDS615.1	1	61548463	61921051
CCDS_v15	USP1	CCDS621.1	1	62905538	62916652
CCDS_v15	ITGB3BP	CCDS55603.1	1	63912477	63988804
CCDS_v15	ITGB3BP	CCDS30736.1	1	63912477	63988804
CCDS_v15	CACHD1	CCDS628.2	1	64936580	65157244
CCDS_v15	LEPR	CCDS55604.1	1	66031248	66091853
CCDS_v15	LEPR	CCDS30741.1	1	66031248	66096088
CCDS_v15	LEPR	CCDS30740.1	1	66031248	66098852
CCDS_v15	LEPR	CCDS631.1	1	66031248	66102698
CCDS_v15	LRRC7	CCDS645.1	1	70225887	70587570
CCDS_v15	NEGR1	CCDS661.1	1	71873128	72748177
CCDS_v15	ST6GALNAC3	CCDS672.1	1	76540551	77094491
CCDS_v15	PIGK	CCDS674.1	1	77558058	77685087
CCDS_v15	CLCA4	CCDS41355.1	1	87012802	87046028
CCDS_v15	LRRC8C	CCDS725.1	1	90152032	90180541
CCDS_v15	FAM69A	CCDS44173.1	1	93308939	93426986
CCDS_v15	GCLM	CCDS746.1	1	94354545	94374719
CCDS_v15	NTNG1	CCDS44180.1	1	107691215	108023462
CCDS_v15	NTNG1	CCDS44179.1	1	107691215	108023462
CCDS_v15	NTNG1	CCDS30785.1	1	107691215	108023462
CCDS_v15	GNAI3	CCDS802.1	1	110091342	110134855
CCDS_v15	RHOC	CCDS854.1	1	113244161	113246421
CCDS_v15	PHTF1	CCDS861.1	1	114240326	114301325
CCDS_v15	WDR3	CCDS898.1	1	118475942	118502070
CCDS_v15	NOTCH2	CCDS908.1	1	120457928	120612020
CCDS_v15	PDZK1	CCDS55629.1	1	145747043	145763623
CCDS_v15	PDZK1	CCDS924.1	1	145747043	145763623
CCDS_v15	OTUD7B	CCDS41389.1	1	149915755	149949445
CCDS_v15	TPM3	CCDS60274.1	1	154130114	154145673
CCDS_v15	TPM3	CCDS41400.1	1	154130114	154155595
CCDS_v15	TPM3	CCDS1060.1	1	154130114	154155595
CCDS_v15	TPM3	CCDS60275.1	1	154130193	154155595
CCDS_v15	TPM3	CCDS41402.1	1	154131444	154155595
CCDS_v15	TPM3	CCDS41401.1	1	154131444	154155595
CCDS_v15	TPM3	CCDS41403.1	1	154140412	154164494
CCDS_v15	SMG5	CCDS1137.1	1	156220377	156252471
CCDS_v15	FCGR2A	CCDS44264.1	1	161475257	161487938
CCDS_v15	FCGR2A	CCDS30922.1	1	161475257	161487938
CCDS_v15	PBX1	CCDS55654.1	1	164529059	164790820
CCDS_v15	PBX1	CCDS55653.1	1	164529059	164818639
CCDS_v15	PBX1	CCDS1246.1	1	164529059	164815913
CCDS_v15	MROH9	CCDS53429.1	1	170914697	171033481
CCDS_v15	MROH9	CCDS41436.1	1	170914697	170967541
CCDS_v15	DNM3	CCDS60356.1	1	171810796	172102037
CCDS_v15	DNM3	CCDS53431.1	1	171810796	172376981
CCDS_v15	DNM3	CCDS44276.1	1	171810796	172376981
CCDS_v15	TNFSF18	CCDS1305.2	1	173010506	173020102
CCDS_v15	TNN	CCDS30943.1	1	175046554	175116207
CCDS_v15	BRINP2	CCDS1320.1	1	177199012	177250664
CCDS_v15	RASAL2	CCDS1321.2	1	178063627	178442374
CCDS_v15	SOAT1	CCDS1330.1	1	179271819	179322776
CCDS_v15	SOAT1	CCDS58047.1	1	179271934	179322776
CCDS_v15	SOAT1	CCDS58048.1	1	179304658	179322776
CCDS_v15	ACBD6	CCDS1339.1	1	180257497	180471401
CCDS_v15	RGSL1	CCDS58049.1	1	182419300	182525192
CCDS_v15	SMG7	CCDS53444.1	1	183441755	183521066
CCDS_v15	SMG7	CCDS41445.2	1	183441755	183522336
CCDS_v15	SMG7	CCDS1355.1	1	183441755	183521066
CCDS_v15	SMG7	CCDS53445.1	1	183485073	183521066
CCDS_v15	PTGS2	CCDS1371.1	1	186643484	186649422
CCDS_v15	ZBTB41	CCDS30960.1	1	197128488	197169603
CCDS_v15	PPP1R12B	CCDS53459.1	1	202317979	202406968
CCDS_v15	PPP1R12B	CCDS53458.1	1	202317979	202407242
CCDS_v15	PPP1R12B	CCDS1426.1	1	202317979	202549688
CCDS_v15	HHAT	CCDS53471.1	1	210502354	210847721
CCDS_v15	HHAT	CCDS53473.1	1	210522319	210847721
CCDS_v15	HHAT	CCDS53472.1	1	210522319	210847721
CCDS_v15	HHAT	CCDS1495.1	1	210522319	210847721
CCDS_v15	BATF3	CCDS1508.1	1	212860132	212873104
CCDS_v15	USH2A	CCDS31025.1	1	215799122	216595678
CCDS_v15	EPRS	CCDS31027.1	1	220142147	220219730
CCDS_v15	TRIM11	CCDS31048.1	1	228582405	228594262
CCDS_v15	NUP133	CCDS1579.1	1	229577650	229643996
CCDS_v15	LYST	CCDS31062.1	1	235826239	235993717
CCDS_v15	MTR	CCDS1614.1	1	236959003	237060944
CCDS_v15	RGS7	CCDS60458.1	1	240939462	241519076
CCDS_v15	RGS7	CCDS31071.1	1	240939462	241519076
CCDS_v15	RGS7	CCDS60459.1	1	240963946	241519076
CCDS_v15	RGS7	CCDS60457.1	1	240963946	241519076
CCDS_v15	KIF26B	CCDS44342.1	1	245318726	245865908
CCDS_v15	SMYD3	CCDS53486.1	1	245912864	246670519
CCDS_v15	SMYD3	CCDS31083.1	1	245912864	246518383
CCDS_v15	ZNF496	CCDS1631.1	1	247463820	247492880
CCDS_v15	OR14C36	CCDS31112.1	1	248512076	248513015
CCDS_v15	FAM132A	CCDS30554.1	1	1177927	1182070
CCDS_v15	SKI	CCDS39.1	1	2160205	2238204
CCDS_v15	TNFRSF14	CCDS44046.1	1	2488103	2494712
CCDS_v15	TTC34	CCDS55565.1	1	2572806	2706156
CCDS_v15	MEGF6	CCDS41237.1	1	3407091	3527832
CCDS_v15	CCDC27	CCDS50.1	1	3669045	3688087
CCDS_v15	AJAP1	CCDS54.1	1	4715485	4834559
CCDS_v15	NPHP4	CCDS44052.1	1	5923324	6046349
CCDS_v15	ACOT7	CCDS30573.1	1	6324656	6453459
CCDS_v15	ACOT7	CCDS65.1	1	6324656	6445726
CCDS_v15	PLEKHG5	CCDS57969.1	1	6527622	6557091
CCDS_v15	PLEKHG5	CCDS41241.1	1	6527622	6557383
CCDS_v15	PLEKHG5	CCDS41240.1	1	6527622	6579571
CCDS_v15	CAMTA1	CCDS55575.1	1	6845590	6947785
CCDS_v15	PER3	CCDS89.1	1	7844937	7902815
CCDS_v15	TNFRSF9	CCDS92.1	1	7980894	8000054
CCDS_v15	RERE	CCDS95.1	1	8415146	8716356
CCDS_v15	GPR157	CCDS100.2	1	9164477	9189086
CCDS_v15	H6PD	CCDS101.1	1	9304993	9324928
CCDS_v15	CLSTN1	CCDS30580.1	1	9790565	9883791
CCDS_v15	CLSTN1	CCDS105.1	1	9790565	9883791
CCDS_v15	UBE4B	CCDS41245.1	1	10093728	10240014
CCDS_v15	UBE4B	CCDS110.1	1	10093728	10240014
CCDS_v15	KIF1B	CCDS112.1	1	10292386	10364705
CCDS_v15	KIF1B	CCDS111.1	1	10292386	10436645
CCDS_v15	PEX14	CCDS30582.1	1	10535023	10690044
CCDS_v15	CASZ1	CCDS41246.1	1	10698998	10753946
CCDS_v15	CASZ1	CCDS120.2	1	10707853	10753946
CCDS_v15	C1orf127	CCDS53267.1	1	11007719	11042094
CCDS_v15	EXOSC10	CCDS30584.1	1	11126774	11159888
CCDS_v15	EXOSC10	CCDS126.1	1	11126774	11159888
CCDS_v15	MTOR	CCDS127.1	1	11167541	11319466
CCDS_v15	AGTRAP	CCDS44056.1	1	11796265	11810161
CCDS_v15	AGTRAP	CCDS41248.1	1	11796265	11808650
CCDS_v15	AGTRAP	CCDS30586.1	1	11796265	11810161
CCDS_v15	AGTRAP	CCDS30585.1	1	11796265	11810249
CCDS_v15	AGTRAP	CCDS136.1	1	11796265	11810249
CCDS_v15	MFN2	CCDS30587.1	1	12049225	12071622
CCDS_v15	TNFRSF8	CCDS144.1	1	12123655	12202588
CCDS_v15	TNFRSF8	CCDS59989.1	1	12164500	12202588
CCDS_v15	VPS13D	CCDS30589.1	1	12294323	12569078
CCDS_v15	VPS13D	CCDS30588.1	1	12294323	12569078
CCDS_v15	AADACL4	CCDS30590.1	1	12704565	12726746
CCDS_v15	KAZN	CCDS41267.1	1	14925493	15392293
CCDS_v15	KAZN	CCDS152.2	1	14925493	15441131
CCDS_v15	KAZN	CCDS30604.1	1	15250860	15392293
CCDS_v15	KAZN	CCDS41268.1	1	15287235	15392293
CCDS_v15	DNAJC16	CCDS30606.1	1	15855600	15894672
CCDS_v15	SPEN	CCDS164.1	1	16174562	16265922
CCDS_v15	MFAP2	CCDS44071.1	1	17301414	17304768
CCDS_v15	MFAP2	CCDS174.1	1	17301414	17304768
CCDS_v15	PADI2	CCDS177.1	1	17395538	17445866
CCDS_v15	PADI1	CCDS178.1	1	17531712	17570738
CCDS_v15	ARHGEF10L	CCDS30617.1	1	17907090	18023875
CCDS_v15	ARHGEF10L	CCDS182.1	1	17907090	18023875
CCDS_v15	IGSF21	CCDS184.1	1	18434622	18704820
CCDS_v15	PAX7	CCDS44075.1	1	18958097	19062533
CCDS_v15	PAX7	CCDS44074.1	1	18958097	19071423
CCDS_v15	PAX7	CCDS186.1	1	18958097	19062533
CCDS_v15	IFFO2	CCDS44076.1	1	19235054	19282826
CCDS_v15	UBR4	CCDS189.1	1	19401325	19536742
CCDS_v15	CAPZB	CCDS41277.1	1	19666023	19811932
CCDS_v15	CAPZB	CCDS55579.1	1	19669255	19811932
CCDS_v15	TMCO4	CCDS198.1	1	20009532	20107251
CCDS_v15	HP1BP3	CCDS30621.1	1	21071289	21106933
CCDS_v15	EIF4G3	CCDS55580.1	1	21133811	21329235
CCDS_v15	EIF4G3	CCDS214.1	1	21133811	21329235
CCDS_v15	ECE1	CCDS44081.1	1	21546447	21671871
CCDS_v15	ALPL	CCDS217.1	1	21880574	21904141
CCDS_v15	ALPL	CCDS53274.1	1	21887172	21904141
CCDS_v15	ALPL	CCDS53275.1	1	21887222	21904141
CCDS_v15	HSPG2	CCDS30625.1	1	22149808	22263710
CCDS_v15	CDC42	CCDS222.1	1	22404971	22416525
CCDS_v15	CDC42	CCDS221.1	1	22404971	22418010
CCDS_v15	TCEA3	CCDS44086.1	1	23707958	23751126
CCDS_v15	E2F2	CCDS236.1	1	23836371	23857285
CCDS_v15	IFNLR1	CCDS249.1	1	24483619	24513738
CCDS_v15	IFNLR1	CCDS248.1	1	24483619	24513738
CCDS_v15	IFNLR1	CCDS250.1	1	24484316	24513738
CCDS_v15	NIPAL3	CCDS30631.1	1	24746037	24795675
CCDS_v15	RHCE	CCDS30635.1	1	25689017	25747277
CCDS_v15	RHCE	CCDS30634.1	1	25689017	25747277
CCDS_v15	TMEM57	CCDS60034.1	1	25757589	25824957
CCDS_v15	TMEM57	CCDS30638.1	1	25757589	25824957
CCDS_v15	MAN1C1	CCDS265.1	1	25944288	26110280
CCDS_v15	LIN28A	CCDS280.1	1	26737382	26752949
CCDS_v15	RPS6KA1	CCDS284.1	1	26856411	26900692
CCDS_v15	TMEM222	CCDS297.2	1	27648688	27661957
CCDS_v15	SRSF4	CCDS333.1	1	29474921	29508264
CCDS_v15	PTPRU	CCDS53290.1	1	29563156	29652173
CCDS_v15	PTPRU	CCDS44098.2	1	29563156	29652173
CCDS_v15	PTPRU	CCDS335.1	1	29563156	29652173
CCDS_v15	PTPRU	CCDS334.1	1	29563156	29652173
CCDS_v15	MATN1	CCDS336.1	1	31186428	31196398
CCDS_v15	PTP4A2	CCDS59193.1	1	32374452	32384666
CCDS_v15	PTP4A2	CCDS53292.1	1	32374452	32384666
CCDS_v15	PTP4A2	CCDS348.1	1	32374452	32384666
CCDS_v15	HDAC1	CCDS360.1	1	32757770	32798645
CCDS_v15	SYNC	CCDS53294.1	1	33147388	33168261
CCDS_v15	SYNC	CCDS367.2	1	33147450	33168261
CCDS_v15	S100PBP	CCDS30666.1	1	33291700	33321639
CCDS_v15	RNF19B	CCDS372.2	1	33402406	33430286
CCDS_v15	RNF19B	CCDS44107.1	1	33402888	33430286
CCDS_v15	PHC2	CCDS378.1	1	33790465	33841140
CCDS_v15	ZSCAN20	CCDS41300.1	1	33944889	33961076
CCDS_v15	ZMYM4	CCDS389.1	1	35734647	35885278
CCDS_v15	KIAA0319L	CCDS390.1	1	35900494	36020092
CCDS_v15	TFAP2E	CCDS393.2	1	36039178	36060277
CCDS_v15	AGO4	CCDS397.1	1	36274017	36319206
CCDS_v15	AGO3	CCDS399.1	1	36397027	36521346
CCDS_v15	GRIK3	CCDS416.1	1	37267451	37499709
CCDS_v15	SNIP1	CCDS419.1	1	38003348	38019830
CCDS_v15	YRDC	CCDS30675.1	1	38269596	38273852
CCDS_v15	INPP5B	CCDS41306.1	1	38327986	38411980
CCDS_v15	RRAGC	CCDS430.1	1	39305224	39325318
CCDS_v15	BMP8A	CCDS437.1	1	39957663	39991470
CCDS_v15	BMP8B	CCDS444.1	1	40226090	40254157
CCDS_v15	RLF	CCDS448.1	1	40627071	40706119
CCDS_v15	KCNQ4	CCDS456.1	1	41249765	41304195
CCDS_v15	SCMH1	CCDS53304.1	1	41493865	41651805
CCDS_v15	SCMH1	CCDS53303.1	1	41493865	41625402
CCDS_v15	SCMH1	CCDS53302.1	1	41493865	41608748
CCDS_v15	SCMH1	CCDS53301.1	1	41493865	41608748
CCDS_v15	SCMH1	CCDS30688.1	1	41493865	41618346
CCDS_v15	SCMH1	CCDS461.1	1	41493865	41625402
CCDS_v15	FOXJ3	CCDS55594.1	1	42645380	42776764
CCDS_v15	FOXJ3	CCDS30689.1	1	42645380	42776764
CCDS_v15	RIMKLA	CCDS466.2	1	42846605	42880645
CCDS_v15	WDR65	CCDS479.1	1	43638424	43675755
CCDS_v15	TIE1	CCDS482.1	1	43766742	43788393
CCDS_v15	SZT2	CCDS30694.2	1	43855639	43916151
CCDS_v15	ST3GAL3	CCDS57994.1	1	44201933	44364939
CCDS_v15	ST3GAL3	CCDS57993.1	1	44201933	44395855
CCDS_v15	ST3GAL3	CCDS57992.1	1	44201933	44395855
CCDS_v15	ST3GAL3	CCDS57991.1	1	44201933	44395855
CCDS_v15	ST3GAL3	CCDS57990.1	1	44201933	44395893
CCDS_v15	ST3GAL3	CCDS57989.1	1	44201933	44395893
CCDS_v15	ST3GAL3	CCDS57988.1	1	44201933	44395893
CCDS_v15	ST3GAL3	CCDS53310.1	1	44201933	44395874
CCDS_v15	ST3GAL3	CCDS500.1	1	44201933	44395874
CCDS_v15	ST3GAL3	CCDS499.1	1	44201933	44395874
CCDS_v15	ST3GAL3	CCDS498.1	1	44201933	44395893
CCDS_v15	ST3GAL3	CCDS497.1	1	44201933	44395893
CCDS_v15	ST3GAL3	CCDS496.1	1	44201933	44395893
CCDS_v15	ST3GAL3	CCDS495.1	1	44201933	44395893
CCDS_v15	ST3GAL3	CCDS494.1	1	44201933	44395893
CCDS_v15	ST3GAL3	CCDS493.1	1	44201933	44395893
CCDS_v15	ST3GAL3	CCDS492.1	1	44201933	44395893
CCDS_v15	ERI3	CCDS30696.1	1	44687229	44820698
CCDS_v15	KIF2C	CCDS512.1	1	45205604	45232851
CCDS_v15	EIF2B3	CCDS517.1	1	45316622	45446840
CCDS_v15	EIF2B3	CCDS53313.1	1	45340312	45446840
CCDS_v15	ZSWIM5	CCDS41319.1	1	45484125	45672022
CCDS_v15	TESK2	CCDS41323.1	1	45810511	45923457
CCDS_v15	MAST2	CCDS41326.1	1	46269567	46501738
CCDS_v15	PIK3R3	CCDS529.1	1	46509344	46597624
CCDS_v15	POMGNT1	CCDS57995.1	1	46654390	46663493
CCDS_v15	POMGNT1	CCDS531.1	1	46654941	46663493
CCDS_v15	MKNK1	CCDS44134.1	1	47024246	47059818
CCDS_v15	MKNK1	CCDS538.1	1	47024246	47059818
CCDS_v15	MKNK1	CCDS30705.1	1	47024433	47059818
CCDS_v15	CYP4Z1	CCDS545.1	1	47533162	47583606
CCDS_v15	CMPK1	CCDS44135.1	1	47799617	47842417
CCDS_v15	CMPK1	CCDS549.1	1	47799617	47842417
CCDS_v15	SPATA6	CCDS65535.1	1	48764384	48937680
CCDS_v15	SPATA6	CCDS551.1	1	48764384	48937680
CCDS_v15	ELAVL4	CCDS53315.1	1	50513836	50666850
CCDS_v15	ELAVL4	CCDS44138.1	1	50569663	50666850
CCDS_v15	ELAVL4	CCDS44139.1	1	50572005	50666850
CCDS_v15	ELAVL4	CCDS44140.1	1	50574861	50666850
CCDS_v15	ELAVL4	CCDS553.1	1	50574861	50666850
CCDS_v15	TTC39A	CCDS44144.1	1	51753828	51787833
CCDS_v15	TTC39A	CCDS44143.1	1	51753828	51810715
CCDS_v15	EPS15	CCDS557.1	1	51822371	51984903
CCDS_v15	OSBPL9	CCDS55598.1	1	52082782	52253461
CCDS_v15	OSBPL9	CCDS44145.1	1	52082782	52253461
CCDS_v15	OSBPL9	CCDS41333.2	1	52082782	52253461
CCDS_v15	OSBPL9	CCDS41332.3	1	52082782	52253461
CCDS_v15	NRD1	CCDS55599.1	1	52254907	52306131
CCDS_v15	NRD1	CCDS41335.1	1	52254907	52344287
CCDS_v15	NRD1	CCDS559.1	1	52254907	52344287
CCDS_v15	CC2D1B	CCDS30714.1	1	52819190	52830292
CCDS_v15	ZCCHC11	CCDS30716.1	1	52889606	52991952
CCDS_v15	ZCCHC11	CCDS30715.1	1	52889606	52991952
CCDS_v15	ZYG11B	CCDS30717.1	1	53192325	53287301
CCDS_v15	ZYG11A	CCDS44148.1	1	53308555	53358629
CCDS_v15	LRP8	CCDS30720.1	1	53712689	53793584
CCDS_v15	LRP8	CCDS580.1	1	53712689	53793584
CCDS_v15	LRP8	CCDS579.1	1	53712689	53793584
CCDS_v15	LRP8	CCDS578.1	1	53712689	53793584
CCDS_v15	GLIS1	CCDS582.1	1	53972291	54060575
CCDS_v15	NDC1	CCDS583.1	1	54233642	54303934
CCDS_v15	HSPB11	CCDS41341.1	1	54387323	54405755
CCDS_v15	CYB5RL	CCDS44151.1	1	54640291	54661289
CCDS_v15	SSBP3	CCDS30726.1	1	54692803	54871681
CCDS_v15	SSBP3	CCDS591.1	1	54692803	54871681
CCDS_v15	SSBP3	CCDS590.1	1	54692803	54871681
CCDS_v15	ACOT11	CCDS593.1	1	55013982	55074785
CCDS_v15	ACOT11	CCDS592.1	1	55013982	55100402
CCDS_v15	PPAP2B	CCDS604.1	1	56962222	57044689
CCDS_v15	PRKAA2	CCDS605.1	1	57111060	57173386
CCDS_v15	C1orf168	CCDS30729.1	1	57185343	57284963
CCDS_v15	C8B	CCDS60152.1	1	57395076	57425785
CCDS_v15	C8B	CCDS60151.1	1	57395076	57425264
CCDS_v15	C8B	CCDS30730.1	1	57395076	57431621
CCDS_v15	OMA1	CCDS608.1	1	58946636	59004966
CCDS_v15	FGGY	CCDS58003.1	1	59787221	60228256
CCDS_v15	FGGY	CCDS44155.1	1	59787221	60228256
CCDS_v15	FGGY	CCDS611.2	1	59787221	60228256
CCDS_v15	FGGY	CCDS60155.1	1	60019893	60228256
CCDS_v15	HOOK1	CCDS612.1	1	60280789	60338637
CCDS_v15	INADL	CCDS617.2	1	62228564	62626607
CCDS_v15	DOCK7	CCDS60156.1	1	62921084	63153935
CCDS_v15	DOCK7	CCDS30734.1	1	62921084	63153935
CCDS_v15	ATG4C	CCDS623.1	1	63269457	63329830
CCDS_v15	PGM1	CCDS625.1	1	64059159	64125346
CCDS_v15	PGM1	CCDS53323.1	1	64089131	64125346
CCDS_v15	ROR1	CCDS41344.1	1	64240088	64608341
CCDS_v15	ROR1	CCDS626.1	1	64240088	64644538
CCDS_v15	RAVER2	CCDS41345.1	1	65210855	65296668
CCDS_v15	AK4	CCDS629.1	1	65614090	65691860
CCDS_v15	DNAJC6	CCDS30739.1	1	65730593	65878708
CCDS_v15	DNAJC6	CCDS58004.1	1	65775428	65878708
CCDS_v15	PDE4B	CCDS632.1	1	66378997	66838361
CCDS_v15	PDE4B	CCDS30742.1	1	66458589	66838361
CCDS_v15	TCTEX1D1	CCDS633.1	1	67220341	67243137
CCDS_v15	WDR78	CCDS635.1	1	67279812	67390514
CCDS_v15	WDR78	CCDS44157.1	1	67303335	67390514
CCDS_v15	SLC35D1	CCDS636.1	1	67470022	67519696
CCDS_v15	SERBP1	CCDS30748.1	1	67878889	67895983
CCDS_v15	SERBP1	CCDS30747.1	1	67878889	67895983
CCDS_v15	SERBP1	CCDS30746.1	1	67878889	67895983
CCDS_v15	SERBP1	CCDS639.1	1	67878889	67895983
CCDS_v15	WLS	CCDS30750.1	1	68564314	68697982
CCDS_v15	WLS	CCDS53331.1	1	68591908	68697982
CCDS_v15	WLS	CCDS642.1	1	68591908	68697982
CCDS_v15	DEPDC1	CCDS44159.1	1	68942614	68962682
CCDS_v15	DEPDC1	CCDS644.1	1	68942614	68962682
CCDS_v15	LRRC40	CCDS646.1	1	70611482	70671223
CCDS_v15	ANKRD13C	CCDS648.2	1	70728399	70820091
CCDS_v15	PTGER3	CCDS44160.1	1	71318521	71513260
CCDS_v15	PTGER3	CCDS652.1	1	71318521	71513260
CCDS_v15	PTGER3	CCDS655.1	1	71418589	71513260
CCDS_v15	PTGER3	CCDS656.1	1	71419468	71513260
CCDS_v15	LRRIQ3	CCDS41350.1	1	74492496	74649368
CCDS_v15	FPGT-TNNI3K	CCDS44161.2	1	74663923	75009666
CCDS_v15	TNNI3K	CCDS664.1	1	74701135	75009666
CCDS_v15	ERICH3	CCDS30755.1	1	75036800	75139203
CCDS_v15	SLC44A5	CCDS44164.1	1	75669411	76007132
CCDS_v15	SLC44A5	CCDS667.1	1	75672291	76007132
CCDS_v15	MSH4	CCDS670.1	1	76262670	76378572
CCDS_v15	ST6GALNAC5	CCDS673.1	1	77333360	77528891
CCDS_v15	AK5	CCDS675.1	1	77747998	78024355
CCDS_v15	AK5	CCDS676.1	1	77752643	78024355
CCDS_v15	FAM73A	CCDS681.1	1	78245340	78340749
CCDS_v15	GIPC2	CCDS685.1	1	78511778	78601427
CCDS_v15	ELTD1	CCDS41352.1	1	79356838	79472339
CCDS_v15	LPHN2	CCDS689.1	1	82302669	82456829
CCDS_v15	TTLL7	CCDS690.2	1	84335644	84417894
CCDS_v15	PRKACB	CCDS691.1	1	84544008	84700988
CCDS_v15	PRKACB	CCDS693.1	1	84610044	84700988
CCDS_v15	PRKACB	CCDS55610.1	1	84630095	84700988
CCDS_v15	PRKACB	CCDS55609.1	1	84630095	84700988
CCDS_v15	PRKACB	CCDS55611.1	1	84630689	84700988
CCDS_v15	SAMD13	CCDS30760.1	1	84764240	84815457
CCDS_v15	SAMD13	CCDS44166.1	1	84768917	84815457
CCDS_v15	LPAR3	CCDS700.1	1	85279528	85331803
CCDS_v15	MCOLN2	CCDS30762.1	1	85392367	85462555
CCDS_v15	WDR63	CCDS702.1	1	85537624	85598681
CCDS_v15	C1orf52	CCDS703.1	1	85718311	85725316
CCDS_v15	DDAH1	CCDS705.1	1	85787134	85930728
CCDS_v15	COL24A1	CCDS41353.1	1	86196228	86622079
CCDS_v15	CLCA2	CCDS708.1	1	86889930	86921210
CCDS_v15	HS2ST1	CCDS44171.1	1	87380719	87563622
CCDS_v15	HS2ST1	CCDS711.1	1	87380719	87570379
CCDS_v15	PKN2	CCDS714.1	1	89150263	89299131
CCDS_v15	GBP1	CCDS718.1	1	89519037	89528917
CCDS_v15	GBP4	CCDS721.1	1	89650936	89664517
CCDS_v15	HFM1	CCDS30769.2	1	91726846	91866639
