datbase_from	type	gene_name	chr	start	end
reactome	SigTrans	GNG5	1	84964008	84972248
reactome	SigTrans	LPAR3	1	85277285	85331842
reactome	SigTrans	SYDE2	1	85622556	85666729
reactome	SigTrans	TMED5	1	93615299	93646285
reactome	SigTrans	ABCA4	1	94458393	94586688
reactome	SigTrans	ARHGAP29	1	94637307	94703121
reactome	SigTrans	ALG14	1	95448297	95538501
reactome	SigTrans	S1PR1	1	101702444	101707074
reactome	SigTrans	VAV3	1	108113782	108507766
reactome	SigTrans	PSMA5	1	109941653	109968973
reactome	SigTrans	GNAI3	1	110091233	110136975
reactome	SigTrans	GNAT2	1	110145889	110155679
reactome	SigTrans	PROK1	1	110993822	110999976
reactome	SigTrans	ADORA3	1	112025970	112046110
reactome	SigTrans	RAP1A	1	112084840	112255735
reactome	SigTrans	WNT2B	1	113010056	113063905
reactome	SigTrans	MOV10	1	113217043	113243368
reactome	Both	RHOC	1	113243728	113250025
reactome	SigTrans	TRIM33	1	114935399	115053781
reactome	Both	NRAS	1	115247090	115259515
reactome	SigTrans	TSHB	1	115575984	115576905
reactome	SigTrans	NGF	1	115828539	115880857
reactome	SigTrans	MAN1A2	1	117910071	118071494
reactome	SigTrans	NOTCH2	1	120454176	120612240
reactome	DevBio	HFE2	1	145413095	145417543
reactome	DevBio	ITGA10	1	145524891	145543868
reactome	SigTrans	PRKAB2	1	146626685	146644123
reactome	SigTrans	APH1A	1	150237804	150241399
reactome	SigTrans	PSMD4	1	151227179	151239955
reactome	SigTrans	PSMB4	1	151372010	151374420
reactome	SigTrans	CGN	1	151483873	151511168
reactome	SigTrans	THEM4	1	151846060	151882284
reactome	SigTrans	SHC1	1	154934774	154943217
reactome	SigTrans	DPM3	1	155112367	155112883
reactome	SigTrans	THBS3	1	155165379	155177688
reactome	DevBio	PKLR	1	155259630	155270792
reactome	SigTrans	RIT1	1	155867599	155881195
reactome	SigTrans	RXFP4	1	155911480	155912625
reactome	SigTrans	ARHGEF2	1	155916645	155947951
reactome	DevBio	SEMA4A	1	156119810	156147535
reactome	DevBio	MEF2D	1	156433519	156470620
reactome	SigTrans	NTRK1	1	156785448	156851586
reactome	Both	ARHGEF11	1	156904632	157015162
reactome	SigTrans	OR10T2	1	158368312	158369256
reactome	SigTrans	OR10K2	1	158389718	158390656
reactome	SigTrans	OR10K1	1	158435272	158436344
reactome	SigTrans	OR10R2	1	158449668	158450675
reactome	SigTrans	OR6Y1	1	158516918	158517895
reactome	SigTrans	OR6P1	1	158532441	158533394
reactome	SigTrans	OR10X1	1	158548709	158549689
reactome	SigTrans	OR10Z1	1	158576229	158577170
reactome	DevBio	SPTA1	1	158580278	158656488
reactome	SigTrans	OR6K2	1	158669369	158670486
reactome	SigTrans	OR6K3	1	158686958	158687905
reactome	SigTrans	OR6K6	1	158724510	158725681
reactome	SigTrans	OR6N1	1	158735466	158736492
reactome	SigTrans	OR6N2	1	158746472	158747425
reactome	SigTrans	DARC	1	159174071	159176290
reactome	SigTrans	OR10J3	1	159283460	159284449
reactome	SigTrans	OR10J1	1	159409512	159410600
reactome	SigTrans	OR10J5	1	159504793	159505842
reactome	SigTrans	NCSTN	1	160313062	160328742
reactome	SigTrans	F11R	1	160965001	160991138
reactome	SigTrans	ARHGAP30	1	161016738	161039456
reactome	SigTrans	B4GALT3	1	161141100	161147275
reactome	SigTrans	APOA2	1	161192082	161193418
reactome	SigTrans	UAP1	1	162531323	162569627
reactome	SigTrans	RGS4	1	163038565	163046592
reactome	SigTrans	XCL2	1	168510003	168513235
reactome	SigTrans	XCL1	1	168545711	168551315
reactome	Both	DNM3	1	171810640	172377494
reactome	DevBio	ABL2	1	179068462	179198736
reactome	SigTrans	RGS8	1	182615239	182641064
reactome	DevBio	LAMC1	1	182992595	183114727
reactome	SigTrans	EDEM3	1	184659365	184724047
reactome	SigTrans	PLA2G4A	1	186798085	186958113
reactome	SigTrans	RGS18	1	192127587	192154945
reactome	SigTrans	RGS21	1	192286122	192336415
reactome	SigTrans	RGS1	1	192544857	192549161
reactome	SigTrans	RGS2	1	192778171	192781403
reactome	SigTrans	UCHL5	1	192984889	193028626
reactome	SigTrans	ATP6V1G3	1	198492352	198509865
reactome	DevBio	PTPRC	1	198608146	198726545
reactome	DevBio	NR5A2	1	199996730	200146552
reactome	DevBio	CACNA1S	1	201008642	201081694
reactome	DevBio	MYOG	1	203052260	203055164
reactome	SigTrans	ADORA1	1	203059782	203136532
reactome	SigTrans	KISS1	1	204159469	204165614
reactome	DevBio	NFASC	1	204797804	204938015
reactome	DevBio	CNTN2	1	205012325	205047627
reactome	SigTrans	AVPR1B	1	206223976	206231639
reactome	SigTrans	MAPKAPK2	1	206858289	206906208
reactome	SigTrans	CD55	1	207494853	207534311
reactome	DevBio	PLXNA2	1	208195587	208417665
reactome	SigTrans	PPP2R5A	1	212458879	212535200
reactome	DevBio	ENAH	1	225680538	225840844
reactome	DevBio	LEFTY1	1	226073982	226076846
reactome	DevBio	LEFTY2	1	226124304	226129189
reactome	SigTrans	PARP1	1	226548392	226595774
reactome	SigTrans	PSEN2	1	227058264	227083799
reactome	SigTrans	WNT9A	1	228106357	228135599
reactome	SigTrans	WNT3A	1	228194752	228248961
reactome	SigTrans	OBSCN	1	228395831	228548951
reactome	SigTrans	RHOU	1	228870824	228882416
reactome	SigTrans	AGT	1	230838269	230850043
reactome	SigTrans	GNG4	1	235714132	235758779
reactome	SigTrans	CHRM3	1	239792373	240078750
reactome	SigTrans	GREM2	1	240652873	240775449
reactome	SigTrans	RGS7	1	240938815	241519076
reactome	SigTrans	OPN3	1	241756426	241803663
reactome	Both	AKT3	1	243651535	244006538
reactome	SigTrans	OR2B11	1	247614255	247615308
reactome	SigTrans	OR2C3	1	247693434	247697141
reactome	SigTrans	OR2G2	1	247751662	247752615
reactome	SigTrans	OR2G3	1	247768856	247769838
reactome	SigTrans	OR13G1	1	247835320	247836365
reactome	SigTrans	OR6F1	1	247875045	247876105
reactome	SigTrans	OR14A2	1	247886401	247887345
reactome	SigTrans	OR14K1	1	247901917	247902861
reactome	SigTrans	OR1C1	1	247920676	247921982
reactome	SigTrans	OR14A16	1	247978102	247979031
reactome	SigTrans	OR11L1	1	248004199	248005254
reactome	SigTrans	OR2W3	1	248058889	248059833
reactome	SigTrans	OR2T8	1	248084320	248085258
reactome	SigTrans	OR2AJ1	1	248097071	248098057
reactome	SigTrans	OR2L8	1	248112160	248113098
reactome	SigTrans	OR2AK2	1	248128535	248129641
reactome	SigTrans	OR2L5	1	248185250	248186188
reactome	SigTrans	OR2L2	1	248201474	248202607
reactome	SigTrans	OR2L3	1	248223984	248224922
reactome	SigTrans	OR2L13	1	248261951	248264224
reactome	SigTrans	OR2M5	1	248308450	248309388
reactome	SigTrans	OR2M2	1	248343288	248344331
reactome	SigTrans	OR2M3	1	248366332	248367392
reactome	SigTrans	OR2M4	1	248402231	248403166
reactome	SigTrans	OR2T33	1	248436073	248437138
reactome	SigTrans	OR2T12	1	248457918	248458880
reactome	SigTrans	OR2M7	1	248486894	248487899
reactome	SigTrans	OR14C36	1	248512077	248513015
reactome	SigTrans	OR2T4	1	248524883	248525929
reactome	SigTrans	OR2T6	1	248550910	248551836
reactome	SigTrans	OR2T1	1	248569296	248570405
reactome	SigTrans	OR2T7	1	248604508	248605434
reactome	SigTrans	OR2T2	1	248616077	248617130
reactome	SigTrans	OR2T3	1	248636627	248637634
reactome	SigTrans	OR2T5	1	248651885	248652898
reactome	SigTrans	OR2G6	1	248684916	248685964
reactome	SigTrans	OR2T29	1	248721784	248722797
reactome	SigTrans	OR2T34	1	248737022	248738080
reactome	SigTrans	OR2T10	1	248756052	248757100
reactome	SigTrans	OR2T11	1	248789420	248790491
reactome	SigTrans	OR2T35	1	248801588	248802559
reactome	SigTrans	OR2T27	1	248813232	248814185
reactome	SigTrans	OR14I1	1	248844628	248845629
reactome	SigTrans	KIDINS220	2	8868987	8977755
reactome	SigTrans	ADAM17	2	9628615	9695917
reactome	SigTrans	ATP6V1C2	2	10861775	10923561
reactome	Both	ROCK2	2	11319887	11484711
reactome	SigTrans	NTSR2	2	11798304	11810290
reactome	SigTrans	SDC1	2	20400558	20424873
reactome	Both	RHOB	2	20646835	20649200
reactome	SigTrans	APOB	2	21224301	21266945
reactome	DevBio	NCOA1	2	24714801	24993571
reactome	SigTrans	ADCY3	2	25042038	25142708
reactome	SigTrans	POMC	2	25383784	25391772
reactome	DevBio	DPYSL5	2	27070969	27173219
reactome	SigTrans	PREB	2	27353624	27357543
reactome	SigTrans	PLB1	2	28718938	28866613
reactome	SigTrans	PPP1CB	2	28974680	29024514
reactome	Both	SOS1	2	39208537	39348192
reactome	SigTrans	OXER1	2	42989642	42991401
reactome	SigTrans	PRKCE	2	45878913	46415129
reactome	SigTrans	ATP6V1E2	2	46738986	46747096
reactome	SigTrans	RHOQ	2	46769867	46810260
reactome	SigTrans	MCFD2	2	47129013	47142919
reactome	SigTrans	CALM2	2	47387221	47403740
reactome	SigTrans	LHCGR	2	48913914	48982832
reactome	SigTrans	FSHR	2	49189770	49381620
reactome	SigTrans	PSME4	2	54091204	54197977
reactome	DevBio	SPTBN1	2	54683422	54896812
reactome	SigTrans	RTN4	2	55199325	55237585
reactome	SigTrans	RPS27A	2	55459039	55462724
reactome	SigTrans	XPO1	2	61704984	61765418
reactome	SigTrans	PPP3R1	2	68405989	68479663
reactome	SigTrans	PROKR1	2	68870721	68882708
reactome	SigTrans	ARHGAP25	2	68961967	69053965
reactome	SigTrans	GFPT1	2	69552403	69614380
reactome	SigTrans	ATP6V1B1	2	71163012	71192527
reactome	SigTrans	MOB1A	2	74382165	74405995
reactome	SigTrans	MOGS	2	74688184	74692537
reactome	SigTrans	DOK1	2	74776153	74784663
reactome	SigTrans	TACR1	2	75276231	75426826
reactome	DevBio	CTNNA2	2	79412357	80875904
reactome	SigTrans	ADRA2B	2	96778707	96781984
reactome	SigTrans	MGAT4A	2	99240818	99343159
reactome	SigTrans	NMS	2	101086944	101099742
reactome	Both	NCK2	2	106361354	106510730
reactome	SigTrans	BCL2L11	2	111878491	111922625
reactome	SigTrans	SCTR	2	120197419	120282070
reactome	SigTrans	RALB	2	121010334	121052289
reactome	SigTrans	INHBB	2	121103719	121109384
reactome	DevBio	CLASP1	2	122095354	122407052
reactome	SigTrans	GPR17	2	128403747	128410213
reactome	SigTrans	UGGT1	2	128848885	128953251
reactome	DevBio	CFC1	2	131350339	131357123
reactome	SigTrans	ARHGEF4	2	131674224	131804826
reactome	DevBio	TUBA3D	2	132233666	132240507
reactome	SigTrans	GPR39	2	133174147	133404132
reactome	SigTrans	MGAT5	2	134877753	135212192
reactome	SigTrans	CCNT2	2	135676395	135714587
reactome	SigTrans	CXCR4	2	136871919	136873813
reactome	SigTrans	ARHGAP15	2	143886883	144525921
reactome	Both	ACVR2A	2	148602086	148688393
reactome	DevBio	CACNB4	2	152689290	152955593
reactome	SigTrans	STAM2	2	152973315	153032506
reactome	Both	ACVR1C	2	158388888	158485517
reactome	SigTrans	PSMD14	2	162164549	162268228
reactome	SigTrans	GCG	2	162999392	163008913
reactome	DevBio	SCN3A	2	165944040	166060553
reactome	DevBio	SCN2A	2	166150541	166248563
reactome	DevBio	SCN1A	2	166845673	166930131
reactome	DevBio	SCN9A	2	167051695	167232503
reactome	DevBio	SCN7A	2	167260083	167343478
reactome	SigTrans	DHRS9	2	169923545	169952677
reactome	SigTrans	LRP2	2	169983619	170219195
reactome	SigTrans	RAPGEF4	2	173600569	173917615
reactome	SigTrans	CHN1	2	175664091	175869954
reactome	SigTrans	PDE11A	2	178492797	178937482
reactome	DevBio	NEUROD1	2	182541194	182545603
reactome	SigTrans	PDE1A	2	183004763	183387304
reactome	DevBio	ITGAV	2	187454792	187545628
reactome	SigTrans	CALCRL	2	188207856	188313187
reactome	Both	COL3A1	2	189839046	189877472
reactome	Both	COL5A2	2	189896622	190044605
reactome	SigTrans	STAT1	2	191833760	191878976
reactome	SigTrans	STRADB	2	202316392	202345569
reactome	SigTrans	FZD7	2	202899310	202903160
reactome	SigTrans	BMPR2	2	203241659	203432474
reactome	SigTrans	CD28	2	204571271	204600421
reactome	Both	NRP2	2	206547224	206662857
reactome	Both	CREB1	2	208394461	208462513
reactome	SigTrans	FZD5	2	208627310	208634287
reactome	SigTrans	PTH2R	2	209271556	209359231
reactome	SigTrans	ERBB4	2	212240446	213403565
reactome	SigTrans	FN1	2	216225163	216300790
reactome	SigTrans	CXCR2	2	218990727	219001976
reactome	SigTrans	CXCR1	2	219027568	219031718
reactome	SigTrans	GPBAR1	2	219124219	219128582
reactome	SigTrans	PRKAG3	2	219687106	219696539
reactome	SigTrans	WNT6	2	219724544	219738955
reactome	SigTrans	WNT10A	2	219745085	219758653
reactome	SigTrans	IHH	2	219919146	219925189
reactome	DevBio	TUBA4A	2	220114433	220118754
reactome	SigTrans	GMPPA	2	220363589	220371709
reactome	SigTrans	IRS1	2	227599757	227664475
reactome	Both	COL4A4	2	227867427	228028829
reactome	Both	COL4A3	2	228029281	228179508
reactome	SigTrans	CCL20	2	228678558	228682272
reactome	SigTrans	DNER	2	230222345	230579274
reactome	SigTrans	CAB39	2	231577560	231685790
reactome	SigTrans	GPR55	2	231772033	231789941
reactome	SigTrans	PSMD1	2	231921578	232037541
reactome	SigTrans	HTR2B	2	231972944	231989832
reactome	SigTrans	NMUR1	2	232387871	232395206
reactome	SigTrans	NGEF	2	233743396	233877982
reactome	SigTrans	SAG	2	234216467	234255701
reactome	SigTrans	DGKD	2	234263153	234380746
reactome	SigTrans	ACKR3	2	237478284	237491001
reactome	Both	COL6A3	2	238232655	238323018
reactome	SigTrans	PRLH	2	238475217	238475818
reactome	SigTrans	RAMP1	2	238768187	238820756
reactome	SigTrans	HDAC4	2	239969864	240322643
reactome	SigTrans	OR6B2	2	240968841	240969906
reactome	SigTrans	OR6B3	2	240984494	240985489
reactome	Both	GPC1	2	241375088	241407493
reactome	DevBio	FARP2	2	242295658	242434256
reactome	DevBio	CHL1	3	238279	451090
reactome	DevBio	CNTN6	3	1134260	1445901
reactome	SigTrans	ITPR1	3	4535034	4889286
reactome	SigTrans	EDEM1	3	5229358	5261642
reactome	SigTrans	GRM7	3	6902802	7735357
reactome	SigTrans	OXTR	3	8792094	8811303
reactome	Both	SRGAP3	3	9022275	9291063
reactome	SigTrans	GHRL	3	10327359	10334631
reactome	SigTrans	SEC13	3	10342615	10362725
reactome	SigTrans	HRH1	3	11178779	11302461
reactome	DevBio	PPARG	3	12328867	12475843
reactome	Both	RAF1	3	12625100	12705725
reactome	SigTrans	HDAC11	3	13521665	13547916
reactome	SigTrans	WNT7A	3	13857755	13921618
reactome	SigTrans	KAT2B	3	20081515	20195896
reactome	SigTrans	TGFBR2	3	30647994	30735626
reactome	SigTrans	CCR4	3	32993066	32997841
reactome	DevBio	CLASP2	3	33643905	33686984
reactome	DevBio	ITGA9	3	37493610	37865005
reactome	SigTrans	MYD88	3	38180148	38183134
reactome	Both	ACVR2B	3	38495342	38524948
reactome	DevBio	SCN5A	3	38589553	38674853
reactome	SigTrans	CX3CR1	3	39304985	39321525
reactome	SigTrans	CCR8	3	39371197	39374937
reactome	Both	CTNNB1	3	41236401	41280844
reactome	SigTrans	CCK	3	42299317	42306395
reactome	SigTrans	VIPR1	3	42530791	42579059
reactome	SigTrans	ACKR2	3	42850964	42908775
reactome	SigTrans	CCR9	3	45927996	45944667
reactome	SigTrans	CXCR6	3	45982425	45989829
reactome	SigTrans	XCR1	3	46058516	46069234
reactome	SigTrans	CCR3	3	46205096	46308106
reactome	SigTrans	CCR1	3	46243200	46249887
reactome	SigTrans	CCR2	3	46395225	46400909
reactome	SigTrans	CCR5	3	46412345	46417697
reactome	SigTrans	ACKR5	3	46448654	46451014
reactome	DevBio	TDGF1	3	46618727	46623953
reactome	SigTrans	PTH1R	3	46919236	46945284
reactome	Both	PLXNB1	3	48445261	48471460
reactome	SigTrans	PRKAR2A	3	48784012	48885279
reactome	Both	RHOA	3	49396578	49449635
reactome	SigTrans	GMPPB	3	49754277	49761384
reactome	SigTrans	GNAT1	3	50229045	50233949
reactome	SigTrans	GNAI2	3	50273384	50296787
reactome	SigTrans	MAPKAPK3	3	50649339	50686720
reactome	SigTrans	GRM2	3	51741086	51752426
reactome	SigTrans	DUSP7	3	52082935	52090566
reactome	SigTrans	TLR9	3	52255096	52260179
reactome	SigTrans	RFT1	3	53122499	53164478
reactome	SigTrans	PRKCD	3	53195136	53226733
reactome	DevBio	CACNA1D	3	53528683	53846072
reactome	SigTrans	WNT5A	3	55499743	55523973
reactome	SigTrans	ARHGEF3	3	56761446	56835995
reactome	SigTrans	IL17RD	3	57124010	57199403
reactome	SigTrans	PSMD6	3	63996225	64009236
reactome	SigTrans	LRIG1	3	66429221	66551356
reactome	SigTrans	PROK2	3	71820807	71834357
reactome	DevBio	ROBO2	3	75955846	77696661
reactome	DevBio	ROBO1	3	78646391	79816965
reactome	SigTrans	HTR1F	3	88039846	88042919
reactome	SigTrans	OR5AC2	3	97806017	97806946
reactome	SigTrans	OR5H1	3	97851542	97852483
reactome	SigTrans	OR5H14	3	97868170	97869249
reactome	SigTrans	OR5H15	3	97887544	97888485
reactome	SigTrans	OR5H6	3	97983088	97984200
reactome	SigTrans	OR5H2	3	98001732	98002676
reactome	SigTrans	OR5K4	3	98072698	98073663
reactome	SigTrans	OR5K3	3	98109510	98110475
reactome	SigTrans	OR5K1	3	98188324	98189420
reactome	SigTrans	OR5K2	3	98216448	98217496
reactome	SigTrans	ST3GAL6	3	98451099	98513206
reactome	DevBio	ALCAM	3	105085753	105295744
reactome	SigTrans	TRAT1	3	108541545	108573852
reactome	SigTrans	GUCA1C	3	108626650	108672742
reactome	DevBio	BOC	3	112930329	113006298
reactome	SigTrans	ATP6V1A	3	113465866	113530903
reactome	SigTrans	DRD3	3	113847499	113918254
reactome	SigTrans	B4GALT4	3	118930579	118959486
reactome	SigTrans	ARHGAP31	3	119013220	119139561
reactome	SigTrans	POGLUT1	3	119187785	119213555
reactome	SigTrans	CD80	3	119243140	119278449
reactome	Both	GSK3B	3	119540170	119813264
reactome	SigTrans	FSTL1	3	120111140	120170100
reactome	SigTrans	CD86	3	121774213	121838921
reactome	SigTrans	CASR	3	121902530	122004212
reactome	SigTrans	ADCY5	3	123001143	123168605
reactome	SigTrans	KALRN	3	123813528	124238697
reactome	DevBio	PLXNA1	3	126707437	126756235
reactome	SigTrans	MGLL	3	127407909	127542028
reactome	SigTrans	RPN1	3	128338817	128369692
reactome	SigTrans	RHO	3	129247483	129254012
reactome	DevBio	PLXND1	3	129274018	129325661
reactome	SigTrans	TRH	3	129693148	129696781
reactome	Both	COL6A5	3	130064359	130203688
reactome	Both	COL6A6	3	130279178	130396999
reactome	SigTrans	PIK3R4	3	130397779	130465673
reactome	SigTrans	ACKR4	3	132316081	132321059
reactome	SigTrans	AMOTL2	3	134074716	134093436
reactome	Both	NCK1	3	136581050	136667968
reactome	SigTrans	PIK3CB	3	138372860	138553594
reactome	SigTrans	RBP2	3	139171726	139195358
reactome	SigTrans	RBP1	3	139243249	139258561
reactome	SigTrans	TFDP2	3	141669989	141868363
reactome	DevBio	TRPC1	3	142442916	142525270
reactome	SigTrans	AGTR1	3	148415571	148460790
reactome	SigTrans	WWTR1	3	149235022	149421060
reactome	DevBio	PFN2	3	149682691	149688737
reactome	DevBio	SIAH2	3	150458914	150481164
reactome	SigTrans	P2RY14	3	150929905	150996255
reactome	SigTrans	P2RY13	3	151044100	151047336
reactome	SigTrans	P2RY12	3	151055168	151102600
reactome	SigTrans	SUCNR1	3	151591431	151599665
reactome	SigTrans	P2RY1	3	152552736	152555841
reactome	SigTrans	PRKCI	3	169940153	170023769
reactome	SigTrans	SKIL	3	170075514	170110536
reactome	DevBio	SLC2A2	3	170714137	170744539
reactome	SigTrans	GHSR	3	172162923	172166246
reactome	SigTrans	ECT2	3	172468472	172539264
reactome	Both	TBL1XR1	3	176737143	176914266
reactome	SigTrans	PIK3CA	3	178866311	178957881
reactome	SigTrans	GNB4	3	179116990	179169378
reactome	Both	AP2M1	3	183892477	183901879
reactome	SigTrans	ALG3	3	183960122	183966759
reactome	SigTrans	PSMD2	3	184016497	184026842
reactome	SigTrans	EIF4G1	3	184032283	184053141
reactome	SigTrans	DGKG	3	185864990	186080026
reactome	SigTrans	KNG1	3	186435065	186461743
reactome	DevBio	ADIPOQ	3	186560479	186576252
reactome	SigTrans	ST6GAL1	3	186648274	186796341
reactome	SigTrans	SST	3	187386694	187388187
reactome	SigTrans	UTS2B	3	190984957	191048325
reactome	Both	HES1	3	193853934	193856521
reactome	DevBio	PAK2	3	196466728	196559518
reactome	DevBio	DLG1	3	196769431	197025447
reactome	SigTrans	PDE6B	4	619373	664571
reactome	SigTrans	DGKQ	4	952675	967344
reactome	SigTrans	FGFR3	4	1795560	1810598
reactome	SigTrans	RGS12	4	3315874	3441632
reactome	SigTrans	ADRA2C	4	3768125	3770251
reactome	DevBio	CRMP1	4	5822491	5894785
reactome	DevBio	ABLIM2	4	7967039	8160538
reactome	SigTrans	DRD5	4	9783258	9785632
reactome	DevBio	SLIT2	4	20254883	20620743
reactome	DevBio	PPARGC1A	4	23793644	23891700
reactome	Both	RBPJ	4	26321332	26432688
reactome	SigTrans	CCKAR	4	26483022	26492084
reactome	SigTrans	ARAP2	4	36067620	36246131
reactome	SigTrans	KLB	4	39408473	39453156
reactome	SigTrans	RHOH	4	40192673	40245615
reactome	SigTrans	CNGA1	4	47937994	47983552
reactome	SigTrans	TEC	4	48137800	48271881
reactome	SigTrans	PDGFRA	4	55095264	55164414
reactome	SigTrans	KIT	4	55524085	55605177
reactome	SigTrans	KDR	4	55944644	55991756
reactome	SigTrans	NMU	4	56461398	56502465
reactome	SigTrans	GNRHR	4	68605046	68620078
reactome	SigTrans	CSN2	4	70820974	70826725
reactome	SigTrans	MOB1B	4	71768053	71853885
reactome	SigTrans	NPFFR2	4	72897521	73013784
reactome	SigTrans	IL8	4	74606223	74609433
reactome	SigTrans	CXCL6	4	74702214	74704477
reactome	SigTrans	CXCL1	4	74735121	74736959
reactome	SigTrans	PF4	4	74846794	74847841
reactome	SigTrans	PPBP	4	74852755	74853914
reactome	SigTrans	CXCL5	4	74861359	74864496
reactome	SigTrans	CXCL3	4	74902306	74904406
reactome	SigTrans	CXCL2	4	74962752	74965010
reactome	SigTrans	EREG	4	75230860	75254468
reactome	SigTrans	BTC	4	75669969	75719896
reactome	SigTrans	CXCL9	4	76922428	76928641
reactome	SigTrans	CXCL10	4	76942273	76944650
reactome	SigTrans	CXCL11	4	76954835	76957350
reactome	SigTrans	CXCL13	4	78432907	78532988
reactome	SigTrans	FGF5	4	81187753	81211348
reactome	SigTrans	SEC31A	4	83739814	83812289
reactome	DevBio	NKX6-1	4	85413140	85419603
reactome	SigTrans	ARHGAP24	4	86396267	86923823
reactome	SigTrans	SPP1	4	88896819	88904562
reactome	SigTrans	FAM13A	4	89647106	89744512
reactome	SigTrans	BMPR1B	4	95679119	96079599
reactome	DevBio	UNC5C	4	96083655	96470357
reactome	SigTrans	EIF4E	4	99792835	99851788
reactome	SigTrans	METAP1	4	99916771	99983964
reactome	SigTrans	PPP3CA	4	101944587	102268637
reactome	Both	NFKB1	4	103422486	103538459
reactome	SigTrans	UBE2D3	4	103715540	103748969
reactome	SigTrans	TACR3	4	104507188	104640973
reactome	SigTrans	SEC24B	4	110354969	110460852
reactome	SigTrans	RRH	4	110749150	110765760
reactome	SigTrans	EGF	4	110834040	110933150
reactome	DevBio	ANK2	4	113739265	114304891
reactome	SigTrans	SEC24D	4	119643978	119757293
reactome	SigTrans	QRFPR	4	122250469	122302214
reactome	Both	TRPC3	4	122800182	122854612
reactome	SigTrans	FGF2	4	123747863	123819391
reactome	SigTrans	SPRY1	4	124317956	124324907
reactome	SigTrans	MAML3	4	140637907	141075338
reactome	SigTrans	GAB1	4	144257915	144395721
reactome	SigTrans	SMAD1	4	146402944	146479231
reactome	SigTrans	EDNRA	4	148402084	148464030
reactome	SigTrans	ARHGAP10	4	148653214	148993931
