database_from	name	id	chr	start	end
CCDS	TNFRSF8	CCDS144.1	1	12123655	12202588
CCDS	TNFRSF8	CCDS59989.1	1	12164500	12202588
CCDS	VPS13D	CCDS30589.1	1	12294323	12569078
CCDS	VPS13D	CCDS30588.1	1	12294323	12569078
CCDS	AADACL4	CCDS30590.1	1	12704565	12726746
CCDS	KAZN	CCDS41267.1	1	14925493	15392293
CCDS	KAZN	CCDS152.2	1	14925493	15441131
CCDS	KAZN	CCDS30604.1	1	15250860	15392293
CCDS	KAZN	CCDS41268.1	1	15287235	15392293
CCDS	DNAJC16	CCDS30606.1	1	15855600	15894672
CCDS	SPEN	CCDS164.1	1	16174562	16265922
CCDS	MFAP2	CCDS44071.1	1	17301414	17304768
CCDS	MFAP2	CCDS174.1	1	17301414	17304768
CCDS	PADI2	CCDS177.1	1	17395538	17445866
CCDS	PADI1	CCDS178.1	1	17531712	17570738
CCDS	ARHGEF10L	CCDS30617.1	1	17907090	18023875
CCDS	ARHGEF10L	CCDS182.1	1	17907090	18023875
CCDS	IGSF21	CCDS184.1	1	18434622	18704820
CCDS	PAX7	CCDS44075.1	1	18958097	19062533
CCDS	PAX7	CCDS44074.1	1	18958097	19071423
CCDS	PAX7	CCDS186.1	1	18958097	19062533
CCDS	IFFO2	CCDS44076.1	1	19235054	19282826
CCDS	UBR4	CCDS189.1	1	19401325	19536742
CCDS	CAPZB	CCDS41277.1	1	19666023	19811932
CCDS	CAPZB	CCDS55579.1	1	19669255	19811932
CCDS	TMCO4	CCDS198.1	1	20009532	20107251
CCDS	HP1BP3	CCDS30621.1	1	21071289	21106933
CCDS	EIF4G3	CCDS55580.1	1	21133811	21329235
CCDS	EIF4G3	CCDS214.1	1	21133811	21329235
CCDS	ECE1	CCDS44081.1	1	21546447	21671871
CCDS	ALPL	CCDS217.1	1	21880574	21904141
CCDS	ALPL	CCDS53274.1	1	21887172	21904141
CCDS	ALPL	CCDS53275.1	1	21887222	21904141
CCDS	HSPG2	CCDS30625.1	1	22149808	22263710
CCDS	CDC42	CCDS222.1	1	22404971	22416525
CCDS	CDC42	CCDS221.1	1	22404971	22418010
CCDS	TCEA3	CCDS44086.1	1	23707958	23751126
CCDS	E2F2	CCDS236.1	1	23836371	23857285
CCDS	IFNLR1	CCDS249.1	1	24483619	24513738
CCDS	IFNLR1	CCDS248.1	1	24483619	24513738
CCDS	IFNLR1	CCDS250.1	1	24484316	24513738
CCDS	NIPAL3	CCDS30631.1	1	24746037	24795675
CCDS	RHCE	CCDS30635.1	1	25689017	25747277
CCDS	RHCE	CCDS30634.1	1	25689017	25747277
CCDS	TMEM57	CCDS60034.1	1	25757589	25824957
CCDS	TMEM57	CCDS30638.1	1	25757589	25824957
CCDS	MAN1C1	CCDS265.1	1	25944288	26110280
CCDS	LIN28A	CCDS280.1	1	26737382	26752949
CCDS	RPS6KA1	CCDS284.1	1	26856411	26900692
CCDS	TMEM222	CCDS297.2	1	27648688	27661957
CCDS	SRSF4	CCDS333.1	1	29474921	29508264
CCDS	PTPRU	CCDS53290.1	1	29563156	29652173
CCDS	PTPRU	CCDS44098.2	1	29563156	29652173
CCDS	PTPRU	CCDS335.1	1	29563156	29652173
CCDS	PTPRU	CCDS334.1	1	29563156	29652173
CCDS	MATN1	CCDS336.1	1	31186428	31196398
CCDS	PTP4A2	CCDS59193.1	1	32374452	32384666
CCDS	PTP4A2	CCDS53292.1	1	32374452	32384666
CCDS	PTP4A2	CCDS348.1	1	32374452	32384666
CCDS	HDAC1	CCDS360.1	1	32757770	32798645
CCDS	SYNC	CCDS53294.1	1	33147388	33168261
CCDS	SYNC	CCDS367.2	1	33147450	33168261
CCDS	S100PBP	CCDS30666.1	1	33291700	33321639
CCDS	RNF19B	CCDS372.2	1	33402406	33430286
CCDS	RNF19B	CCDS44107.1	1	33402888	33430286
CCDS	PHC2	CCDS378.1	1	33790465	33841140
CCDS	ZSCAN20	CCDS41300.1	1	33944889	33961076
CCDS	ZMYM4	CCDS389.1	1	35734647	35885278
CCDS	KIAA0319L	CCDS390.1	1	35900494	36020092
CCDS	TFAP2E	CCDS393.2	1	36039178	36060277
CCDS	AGO4	CCDS397.1	1	36274017	36319206
CCDS	AGO3	CCDS399.1	1	36397027	36521346
CCDS	GRIK3	CCDS416.1	1	37267451	37499709
CCDS	SNIP1	CCDS419.1	1	38003348	38019830
CCDS	YRDC	CCDS30675.1	1	38269596	38273852
CCDS	INPP5B	CCDS41306.1	1	38327986	38411980
CCDS	RRAGC	CCDS430.1	1	39305224	39325318
CCDS	BMP8A	CCDS437.1	1	39957663	39991470
CCDS	BMP8B	CCDS444.1	1	40226090	40254157
CCDS	RLF	CCDS448.1	1	40627071	40706119
CCDS	KCNQ4	CCDS456.1	1	41249765	41304195
CCDS	SCMH1	CCDS53304.1	1	41493865	41651805
CCDS	SCMH1	CCDS53303.1	1	41493865	41625402
CCDS	SCMH1	CCDS53302.1	1	41493865	41608748
CCDS	SCMH1	CCDS53301.1	1	41493865	41608748
CCDS	SCMH1	CCDS30688.1	1	41493865	41618346
CCDS	SCMH1	CCDS461.1	1	41493865	41625402
CCDS	FOXJ3	CCDS55594.1	1	42645380	42776764
CCDS	FOXJ3	CCDS30689.1	1	42645380	42776764
CCDS	RIMKLA	CCDS466.2	1	42846605	42880645
CCDS	WDR65	CCDS479.1	1	43638424	43675755
CCDS	TIE1	CCDS482.1	1	43766742	43788393
CCDS	SZT2	CCDS30694.2	1	43855639	43916151
CCDS	ST3GAL3	CCDS57994.1	1	44201933	44364939
CCDS	ST3GAL3	CCDS57993.1	1	44201933	44395855
CCDS	ST3GAL3	CCDS57992.1	1	44201933	44395855
CCDS	ST3GAL3	CCDS57991.1	1	44201933	44395855
CCDS	ST3GAL3	CCDS57990.1	1	44201933	44395893
CCDS	ST3GAL3	CCDS57989.1	1	44201933	44395893
CCDS	ST3GAL3	CCDS57988.1	1	44201933	44395893
CCDS	ST3GAL3	CCDS53310.1	1	44201933	44395874
CCDS	ST3GAL3	CCDS500.1	1	44201933	44395874
CCDS	ST3GAL3	CCDS499.1	1	44201933	44395874
CCDS	ST3GAL3	CCDS498.1	1	44201933	44395893
CCDS	ST3GAL3	CCDS497.1	1	44201933	44395893
CCDS	ST3GAL3	CCDS496.1	1	44201933	44395893
CCDS	ST3GAL3	CCDS495.1	1	44201933	44395893
CCDS	ST3GAL3	CCDS494.1	1	44201933	44395893
CCDS	ST3GAL3	CCDS493.1	1	44201933	44395893
CCDS	ST3GAL3	CCDS492.1	1	44201933	44395893
CCDS	ERI3	CCDS30696.1	1	44687229	44820698
CCDS	KIF2C	CCDS512.1	1	45205604	45232851
CCDS	EIF2B3	CCDS517.1	1	45316622	45446840
CCDS	EIF2B3	CCDS53313.1	1	45340312	45446840
CCDS	ZSWIM5	CCDS41319.1	1	45484125	45672022
CCDS	TESK2	CCDS41323.1	1	45810511	45923457
CCDS	MAST2	CCDS41326.1	1	46269567	46501738
CCDS	PIK3R3	CCDS529.1	1	46509344	46597624
CCDS	POMGNT1	CCDS57995.1	1	46654390	46663493
CCDS	POMGNT1	CCDS531.1	1	46654941	46663493
CCDS	MKNK1	CCDS44134.1	1	47024246	47059818
CCDS	MKNK1	CCDS538.1	1	47024246	47059818
CCDS	MKNK1	CCDS30705.1	1	47024433	47059818
CCDS	CYP4Z1	CCDS545.1	1	47533162	47583606
CCDS	CMPK1	CCDS44135.1	1	47799617	47842417
CCDS	CMPK1	CCDS549.1	1	47799617	47842417
CCDS	SPATA6	CCDS551.1	1	48764384	48937680
CCDS	ELAVL4	CCDS53315.1	1	50513836	50666850
CCDS	ELAVL4	CCDS44138.1	1	50569663	50666850
CCDS	ELAVL4	CCDS44139.1	1	50572005	50666850
CCDS	ELAVL4	CCDS44140.1	1	50574861	50666850
CCDS	ELAVL4	CCDS553.1	1	50574861	50666850
CCDS	TTC39A	CCDS44144.1	1	51753828	51787833
CCDS	TTC39A	CCDS44143.1	1	51753828	51810715
CCDS	EPS15	CCDS557.1	1	51822371	51984903
CCDS	OSBPL9	CCDS55598.1	1	52082782	52253461
CCDS	OSBPL9	CCDS44145.1	1	52082782	52253461
CCDS	OSBPL9	CCDS41333.2	1	52082782	52253461
CCDS	OSBPL9	CCDS41332.3	1	52082782	52253461
CCDS	NRD1	CCDS55599.1	1	52254907	52306131
CCDS	NRD1	CCDS41335.1	1	52254907	52344287
CCDS	NRD1	CCDS559.1	1	52254907	52344287
CCDS	CC2D1B	CCDS30714.1	1	52819190	52830292
CCDS	ZCCHC11	CCDS30716.1	1	52889606	52991952
CCDS	ZCCHC11	CCDS30715.1	1	52889606	52991952
CCDS	ZYG11B	CCDS30717.1	1	53192325	53287301
CCDS	ZYG11A	CCDS44148.1	1	53308555	53358629
CCDS	LRP8	CCDS30720.1	1	53712689	53793584
CCDS	LRP8	CCDS580.1	1	53712689	53793584
CCDS	LRP8	CCDS579.1	1	53712689	53793584
CCDS	LRP8	CCDS578.1	1	53712689	53793584
CCDS	GLIS1	CCDS582.1	1	53972291	54060575
CCDS	NDC1	CCDS583.1	1	54233642	54303934
CCDS	HSPB11	CCDS41341.1	1	54387323	54405755
CCDS	CYB5RL	CCDS44151.1	1	54640291	54661289
CCDS	SSBP3	CCDS30726.1	1	54692803	54871681
CCDS	SSBP3	CCDS591.1	1	54692803	54871681
CCDS	SSBP3	CCDS590.1	1	54692803	54871681
CCDS	ACOT11	CCDS593.1	1	55013982	55074785
CCDS	ACOT11	CCDS592.1	1	55013982	55100402
CCDS	PPAP2B	CCDS604.1	1	56962222	57044689
CCDS	PRKAA2	CCDS605.1	1	57111060	57173386
CCDS	C1orf168	CCDS30729.1	1	57185343	57284963
CCDS	C8B	CCDS60152.1	1	57395076	57425785
CCDS	C8B	CCDS60151.1	1	57395076	57425264
CCDS	C8B	CCDS30730.1	1	57395076	57431621
CCDS	OMA1	CCDS608.1	1	58946636	59004966
CCDS	FGGY	CCDS58003.1	1	59787221	60228256
CCDS	FGGY	CCDS44155.1	1	59787221	60228256
CCDS	FGGY	CCDS611.2	1	59787221	60228256
CCDS	FGGY	CCDS60155.1	1	60019893	60228256
CCDS	HOOK1	CCDS612.1	1	60280789	60338637
CCDS	INADL	CCDS617.2	1	62228564	62626607
CCDS	DOCK7	CCDS60156.1	1	62921084	63153935
CCDS	DOCK7	CCDS30734.1	1	62921084	63153935
CCDS	ATG4C	CCDS623.1	1	63269457	63329830
CCDS	PGM1	CCDS625.1	1	64059159	64125346
CCDS	PGM1	CCDS53323.1	1	64089131	64125346
CCDS	ROR1	CCDS41344.1	1	64240088	64608341
CCDS	ROR1	CCDS626.1	1	64240088	64644538
CCDS	RAVER2	CCDS41345.1	1	65210855	65296668
CCDS	AK4	CCDS629.1	1	65614090	65691860
CCDS	DNAJC6	CCDS30739.1	1	65730593	65878708
CCDS	DNAJC6	CCDS58004.1	1	65775428	65878708
CCDS	PDE4B	CCDS632.1	1	66378997	66838361
CCDS	PDE4B	CCDS30742.1	1	66458589	66838361
CCDS	TCTEX1D1	CCDS633.1	1	67220341	67243137
CCDS	WDR78	CCDS635.1	1	67279812	67390514
CCDS	WDR78	CCDS44157.1	1	67303335	67390514
CCDS	SLC35D1	CCDS636.1	1	67470022	67519696
CCDS	SERBP1	CCDS30748.1	1	67878889	67895983
CCDS	SERBP1	CCDS30747.1	1	67878889	67895983
CCDS	SERBP1	CCDS30746.1	1	67878889	67895983
CCDS	SERBP1	CCDS639.1	1	67878889	67895983
CCDS	WLS	CCDS30750.1	1	68564314	68697982
CCDS	WLS	CCDS53331.1	1	68591908	68697982
CCDS	WLS	CCDS642.1	1	68591908	68697982
CCDS	DEPDC1	CCDS44159.1	1	68942614	68962682
CCDS	DEPDC1	CCDS644.1	1	68942614	68962682
CCDS	LRRC40	CCDS646.1	1	70611482	70671223
CCDS	ANKRD13C	CCDS648.2	1	70728399	70820091
CCDS	PTGER3	CCDS44160.1	1	71318521	71513260
CCDS	PTGER3	CCDS652.1	1	71318521	71513260
CCDS	PTGER3	CCDS655.1	1	71418589	71513260
CCDS	PTGER3	CCDS656.1	1	71419468	71513260
CCDS	LRRIQ3	CCDS41350.1	1	74492496	74649368
CCDS	TNNI3K	CCDS664.1	1	74701135	75009666
CCDS	C1orf173	CCDS30755.1	1	75036800	75139203
CCDS	SLC44A5	CCDS44164.1	1	75669411	76007132
CCDS	SLC44A5	CCDS667.1	1	75672291	76007132
CCDS	MSH4	CCDS670.1	1	76262670	76378572
CCDS	ST6GALNAC5	CCDS673.1	1	77333360	77528891
CCDS	AK5	CCDS675.1	1	77747998	78024355
CCDS	AK5	CCDS676.1	1	77752643	78024355
CCDS	FAM73A	CCDS681.1	1	78245340	78340749
CCDS	GIPC2	CCDS685.1	1	78511778	78601427
CCDS	ELTD1	CCDS41352.1	1	79356838	79472339
CCDS	LPHN2	CCDS689.1	1	82302669	82456829
CCDS	TTLL7	CCDS690.2	1	84335644	84417894
CCDS	PRKACB	CCDS691.1	1	84544008	84700988
CCDS	PRKACB	CCDS693.1	1	84610044	84700988
CCDS	PRKACB	CCDS55610.1	1	84630095	84700988
CCDS	PRKACB	CCDS55609.1	1	84630095	84700988
CCDS	PRKACB	CCDS55611.1	1	84630689	84700988
CCDS	SAMD13	CCDS30760.1	1	84764240	84815457
CCDS	SAMD13	CCDS44166.1	1	84768917	84815457
CCDS	LPAR3	CCDS700.1	1	85279528	85331803
CCDS	MCOLN2	CCDS30762.1	1	85392367	85462555
CCDS	WDR63	CCDS702.1	1	85537624	85598681
CCDS	C1orf52	CCDS703.1	1	85718311	85725316
CCDS	DDAH1	CCDS705.1	1	85787134	85930728
CCDS	COL24A1	CCDS41353.1	1	86196228	86622079
CCDS	CLCA2	CCDS708.1	1	86889930	86921210
CCDS	HS2ST1	CCDS44171.1	1	87380719	87563622
CCDS	HS2ST1	CCDS711.1	1	87380719	87570379
CCDS	PKN2	CCDS714.1	1	89150263	89299131
CCDS	GBP1	CCDS718.1	1	89519037	89528917
CCDS	GBP4	CCDS721.1	1	89650936	89664517
CCDS	HFM1	CCDS30769.2	1	91726846	91866639
CCDS	RPAP2	CCDS740.1	1	92764630	92852568
CCDS	EVI5	CCDS30774.1	1	92979212	93257951
CCDS	MTF2	CCDS53340.1	1	93545083	93602584
CCDS	MTF2	CCDS742.1	1	93545083	93602584
CCDS	MTF2	CCDS53341.1	1	93580264	93602584
CCDS	FNBP1L	CCDS60192.1	1	93913838	94017973
CCDS	FNBP1L	CCDS53344.1	1	93913838	94016682
CCDS	FNBP1L	CCDS53343.1	1	93913838	94017973
CCDS	BCAR3	CCDS745.1	1	94027797	94140486
CCDS	ABCA4	CCDS747.1	1	94458792	94586601
CCDS	ABCD3	CCDS44175.1	1	94884034	94944106
CCDS	ABCD3	CCDS749.1	1	94884034	94982685
CCDS	SLC44A3	CCDS58013.1	1	95286007	95360478
CCDS	SLC44A3	CCDS58012.1	1	95286007	95360478
CCDS	SLC44A3	CCDS58011.1	1	95286007	95360478
CCDS	SLC44A3	CCDS44176.1	1	95286007	95360478
CCDS	RP11-57H12.6	CCDS60199.1	1	95609457	95709806
CCDS	PTBP2	CCDS754.1	1	97187420	97278961
CCDS	DPYD	CCDS30777.1	1	97544531	98386478
CCDS	DPYD	CCDS53346.1	1	98186443	98386478
CCDS	SNX7	CCDS756.2	1	99127287	99225687
CCDS	SNX7	CCDS755.2	1	99127287	99225687
CCDS	LPPR4	CCDS53347.1	1	99730005	99772566
CCDS	LPPR4	CCDS757.1	1	99730005	99772566
CCDS	PALMD	CCDS758.1	1	100111873	100159618
CCDS	HIAT1	CCDS763.1	1	100503788	100547765
CCDS	CDC14A	CCDS771.1	1	100818510	100950022
CCDS	CDC14A	CCDS770.1	1	100818510	100964935
CCDS	CDC14A	CCDS769.1	1	100818510	100983836
CCDS	VCAM1	CCDS55617.1	1	101185416	101203839
CCDS	VCAM1	CCDS774.1	1	101185416	101203839
CCDS	VCAM1	CCDS773.1	1	101185416	101203839
CCDS	OLFM3	CCDS30781.1	1	102269793	102462372
CCDS	COL11A1	CCDS53348.1	1	103343574	103573734
CCDS	COL11A1	CCDS780.2	1	103343574	103573734
CCDS	COL11A1	CCDS778.1	1	103343574	103573734
CCDS	RNPC3	CCDS781.1	1	104068692	104094402
CCDS	AMY1A	CCDS30782.1	1	104198952	104207142
CCDS	VAV3	CCDS44181.1	1	108115952	108231053
CCDS	VAV3	CCDS785.1	1	108115952	108507491
CCDS	STXBP3	CCDS790.1	1	109289359	109351499
CCDS	GPSM2	CCDS792.2	1	109428144	109472562
CCDS	KIAA1324	CCDS58015.1	1	109656805	109745634
CCDS	KIAA1324	CCDS794.1	1	109656805	109745634
CCDS	MYBPHL	CCDS30793.1	1	109836860	109849613
CCDS	GSTM1	CCDS810.1	1	110230495	110235917
CCDS	GSTM1	CCDS809.1	1	110230495	110235917
CCDS	KCNC4	CCDS44193.1	1	110754121	110775594
CCDS	KCNC4	CCDS821.1	1	110754121	110774931
