Database_From	name	type	chr	chromStart	chromEnd
wgRNA	hsa-mir-10b	miRNA	2	177015030	177015140
wgRNA	hsa-mir-1246	miRNA	2	177465707	177465780
wgRNA	hsa-mir-3128	miRNA	2	178120672	178120738
wgRNA	hsa-mir-1258	miRNA	2	180725562	180725635
wgRNA	hsa-mir-561	miRNA	2	189162218	189162315
wgRNA	hsa-mir-1245	miRNA	2	189842817	189842887
wgRNA	hsa-mir-3129	miRNA	2	189997761	189997837
wgRNA	HBII-234	CDBox	2	203141153	203141241
wgRNA	HBII-95B	CDBox	2	203156054	203156144
wgRNA	HBII-95	CDBox	2	203157773	203157857
wgRNA	U51	CDBox	2	207026604	207026674
wgRNA	ACA41	HAcaBox	2	207026951	207027083
wgRNA	hsa-mir-3130-1	miRNA	2	207647957	207648032
wgRNA	hsa-mir-3130-2	miRNA	2	207647957	207648032
wgRNA	hsa-mir-3130-3	miRNA	2	207647959	207648030
wgRNA	hsa-mir-3130-4	miRNA	2	207647959	207648030
wgRNA	hsa-mir-2355	miRNA	2	207974710	207974797
wgRNA	hsa-mir-1302-4	miRNA	2	208133998	208134148
wgRNA	hsa-mir-548f-2	miRNA	2	213290986	213291084
wgRNA	hsa-mir-26b	miRNA	2	219267368	219267445
wgRNA	hsa-mir-375	miRNA	2	219866366	219866430
wgRNA	hsa-mir-3131	miRNA	2	219923409	219923472
wgRNA	hsa-mir-153-1	miRNA	2	220158832	220158922
wgRNA	hsa-mir-3132	miRNA	2	220413794	220413869
wgRNA	hsa-mir-4268	miRNA	2	220771222	220771286
wgRNA	U23	HAcaBox	2	232320510	232320647
wgRNA	U20	CDBox	2	232321154	232321234
wgRNA	U82	CDBox	2	232325078	232325153
wgRNA	hsa-mir-1244-1	miRNA	2	232578023	232578108
wgRNA	hsa-mir-1471	miRNA	2	232756951	232757008
wgRNA	hsa-mir-562	miRNA	2	233037362	233037457
wgRNA	U87	scaRna	2	234184371	234184649
wgRNA	U88	scaRna	2	234197321	234197587
wgRNA	hsa-mir-4269	miRNA	2	240227156	240227240
wgRNA	hsa-mir-149	miRNA	2	241395417	241395506
wgRNA	hsa-mir-3133	miRNA	2	242417319	242417397
wgRNA	hsa-mir-378b	miRNA	3	10371912	10371969
wgRNA	hsa-mir-885	miRNA	3	10436172	10436246
wgRNA	ACA7	HAcaBox	3	12881810	12881949
wgRNA	hsa-mir-4270	miRNA	3	15537745	15537815
wgRNA	hsa-mir-3134	miRNA	3	15738804	15738878
wgRNA	hsa-mir-563	miRNA	3	15915277	15915356
wgRNA	hsa-mir-3135	miRNA	3	20179056	20179133
wgRNA	hsa-mir-466	miRNA	3	31203195	31203279
wgRNA	hsa-mir-128-2	miRNA	3	35785967	35786051
wgRNA	hsa-mir-26a-1	miRNA	3	38010894	38010971
wgRNA	ACA6	HAcaBox	3	39449881	39450030
wgRNA	E2	HAcaBox	3	39452544	39452698
wgRNA	hsa-mir-138-1	miRNA	3	44155703	44155802
wgRNA	hsa-mir-564	miRNA	3	44903379	44903473
wgRNA	hsa-mir-1226	miRNA	3	47891044	47891119
wgRNA	hsa-mir-2115	miRNA	3	48357849	48357949
wgRNA	hsa-mir-711	miRNA	3	48616334	48616410
wgRNA	hsa-mir-425	miRNA	3	49057580	49057667
wgRNA	hsa-mir-191	miRNA	3	49058050	49058142
wgRNA	hsa-mir-4271	miRNA	3	49311552	49311619
wgRNA	hsa-mir-566	miRNA	3	50210758	50210852
wgRNA	hsa-let-7g	miRNA	3	52302293	52302377
wgRNA	hsa-mir-135a-1	miRNA	3	52328234	52328324
wgRNA	HBII-108	CDBox	3	52723255	52723331
wgRNA	HBII-108B	CDBox	3	52724759	52724843
wgRNA	HBII-210	CDBox	3	52726751	52726828
wgRNA	hsa-mir-4272	miRNA	3	67275887	67275951
wgRNA	hsa-mir-3136	miRNA	3	69098108	69098186
wgRNA	hsa-mir-1284	miRNA	3	71591120	71591240
wgRNA	hsa-mir-1324	miRNA	3	75679913	75680009
wgRNA	hsa-mir-4273	miRNA	3	75787430	75787514
wgRNA	hsa-mir-567	miRNA	3	111831647	111831745
wgRNA	hsa-mir-568	miRNA	3	114035321	114035416
wgRNA	hsa-mir-198	miRNA	3	120114514	120114576
wgRNA	hsa-mir-544b	miRNA	3	124451285	124451363
wgRNA	hsa-mir-548i-1	miRNA	3	125509246	125509395
wgRNA	hsa-mir-1280	miRNA	3	128081007	128081101
wgRNA	ACA7B	HAcaBox	3	129116052	129116191
wgRNA	ACA58	HAcaBox	3	131197940	131198077
wgRNA	hsa-mir-15b	miRNA	3	160122375	160122473
wgRNA	hsa-mir-16-2	miRNA	3	160122532	160122613
wgRNA	U90	scaRna	3	160232694	160233024
wgRNA	hsa-mir-1263	miRNA	3	163889258	163889344
wgRNA	hsa-mir-720	miRNA	3	164059128	164059238
wgRNA	hsa-mir-551b	miRNA	3	168269641	168269737
wgRNA	hTR	scaRna	3	169482397	169482945
wgRNA	hsa-mir-569	miRNA	3	170824452	170824548
wgRNA	hsa-mir-1224	miRNA	3	183959192	183959277
wgRNA	HBII-142	CDBox	3	184043483	184043559
wgRNA	snR39B	CDBox	3	186502584	186502654
wgRNA	hsa-mir-1248	miRNA	3	186504460	186504566
wgRNA	HBI-61	HAcaBox	3	186504463	186504641
wgRNA	E3	HAcaBox	3	186505087	186505222
wgRNA	ACA4	HAcaBox	3	186505401	186505538
wgRNA	hsa-mir-28	miRNA	3	188406568	188406654
wgRNA	hsa-mir-944	miRNA	3	189547710	189547798
wgRNA	hsa-mir-3137	miRNA	3	194855234	194855309
wgRNA	hsa-mir-570	miRNA	3	195426271	195426368
wgRNA	hsa-mir-922	miRNA	3	197401366	197401447
wgRNA	hsa-mir-571	miRNA	4	343945	344041
wgRNA	ACA11	HAcaBox	4	1976362	1976487
wgRNA	hsa-mir-943	miRNA	4	1988110	1988204
wgRNA	hsa-mir-4274	miRNA	4	7461754	7461845
wgRNA	hsa-mir-95	miRNA	4	8007027	8007108
wgRNA	hsa-mir-548i-2	miRNA	4	9557788	9557937
wgRNA	hsa-mir-3138	miRNA	4	10080234	10080316
wgRNA	hsa-mir-572	miRNA	4	11370450	11370545
wgRNA	hsa-mir-218-1	miRNA	4	20529897	20530007
wgRNA	hsa-mir-573	miRNA	4	24521814	24521913
wgRNA	hsa-mir-4275	miRNA	4	28821203	28821290
wgRNA	hsa-mir-1255b-1	miRNA	4	36427987	36428050
wgRNA	hsa-mir-574	miRNA	4	38869652	38869748
wgRNA	HBI-6	HAcaBox	4	53579415	53579537
wgRNA	hsa-mir-1269	miRNA	4	67142541	67142646
wgRNA	hsa-mir-575	miRNA	4	83674489	83674583
wgRNA	hsa-mir-1255a	miRNA	4	102251458	102251571
wgRNA	hsa-mir-576	miRNA	4	110409853	110409951
wgRNA	hsa-mir-297	miRNA	4	111781737	111781803
wgRNA	hsa-mir-367	miRNA	4	113569029	113569097
wgRNA	hsa-mir-302d	miRNA	4	113569159	113569227
wgRNA	hsa-mir-302a	miRNA	4	113569338	113569407
wgRNA	hsa-mir-302c	miRNA	4	113569518	113569586
wgRNA	hsa-mir-302b	miRNA	4	113569640	113569713
wgRNA	hsa-mir-1243	miRNA	4	114028018	114028111
wgRNA	hsa-mir-577	miRNA	4	115577914	115578010
wgRNA	hsa-mir-1973	miRNA	4	117220880	117220924
wgRNA	ACA24	HAcaBox	4	119200344	119200475
wgRNA	hsa-mir-2054	miRNA	4	126428413	126428462
wgRNA	hsa-mir-3139	miRNA	4	144264612	144264688
wgRNA	hsa-mir-548g	miRNA	4	148265780	148265869
wgRNA	U73b	CDBox	4	152023208	152023283
wgRNA	U73a	CDBox	4	152024978	152025043
wgRNA	hsa-mir-3140	miRNA	4	153410478	153410568
wgRNA	hsa-mir-578	miRNA	4	166307393	166307489
wgRNA	hsa-mir-1979	miRNA	4	166321813	166321889
wgRNA	hsa-mir-548t	miRNA	4	174189310	174189384
wgRNA	hsa-mir-4276	miRNA	4	175344945	175345015
wgRNA	hsa-mir-1305	miRNA	4	183090445	183090531
wgRNA	hsa-mir-4277	miRNA	5	1708899	1708983
wgRNA	hsa-mir-4278	miRNA	5	6827965	6828034
wgRNA	SNORD123	CDBox	5	9548947	9549017
wgRNA	hsa-mir-887	miRNA	5	15935290	15935369
wgRNA	hsa-mir-4279	miRNA	5	31936207	31936265
wgRNA	hsa-mir-579	miRNA	5	32394483	32394581
wgRNA	hsa-mir-580	miRNA	5	36147993	36148090
wgRNA	HBII-240	CDBox	5	40832757	40832837
wgRNA	hsa-mir-1274a	miRNA	5	41475733	41475804
wgRNA	hsa-mir-581	miRNA	5	53247333	53247429
wgRNA	hsa-mir-449a	miRNA	5	54466359	54466450
wgRNA	hsa-mir-449b	miRNA	5	54466473	54466570
wgRNA	hsa-mir-449c	miRNA	5	54468089	54468181
wgRNA	hsa-mir-582	miRNA	5	58999431	58999529
wgRNA	HBI-115	HAcaBox	5	76376258	76376396
wgRNA	U109	scaRna	5	82360022	82360156
wgRNA	hsa-mir-4280	miRNA	5	86410695	86410771
wgRNA	hsa-mir-9-2	miRNA	5	87962670	87962757
wgRNA	hsa-mir-2277	miRNA	5	92956401	92956494
wgRNA	hsa-mir-583	miRNA	5	95414841	95414916
wgRNA	hsa-mir-548p	miRNA	5	100152185	100152269
wgRNA	hsa-mir-548f-3	miRNA	5	109849529	109849616
wgRNA	ACA13	HAcaBox	5	111497181	111497314
wgRNA	hsa-mir-1244-2	miRNA	5	118310280	118310365
wgRNA	hsa-mir-1289-2	miRNA	5	132763287	132763398
wgRNA	hsa-mir-886	miRNA	5	135416176	135416297
wgRNA	hsa-mir-874	miRNA	5	136983260	136983338
wgRNA	U63	CDBox	5	137896731	137896799
wgRNA	U19	HAcaBox	5	138614468	138614668
wgRNA	hsa-mir-584	miRNA	5	148441875	148441972
wgRNA	hsa-mir-143	miRNA	5	148808480	148808586
wgRNA	hsa-mir-145	miRNA	5	148810208	148810296
wgRNA	hsa-mir-378	miRNA	5	149112387	149112453
wgRNA	hsa-mir-1294	miRNA	5	153726665	153726807
wgRNA	hsa-mir-3141	miRNA	5	153975571	153975632
wgRNA	hsa-mir-1303	miRNA	5	154065335	154065421
wgRNA	hsa-mir-3142	miRNA	5	159901408	159901490
wgRNA	hsa-mir-146a	miRNA	5	159912358	159912457
wgRNA	hsa-mir-103-1	miRNA	5	167987900	167987978
wgRNA	hsa-mir-103-1-as	miRNA	5	167987908	167987970
wgRNA	hsa-mir-218-2	miRNA	5	168195150	168195260
wgRNA	hsa-mir-585	miRNA	5	168690604	168690698
wgRNA	U19-2	HAcaBox	5	172447728	172447932
wgRNA	hsa-mir-1271	miRNA	5	175794948	175795034
wgRNA	hsa-mir-4281	miRNA	5	176056439	176056501
wgRNA	hsa-mir-1229	miRNA	5	179225277	179225346
wgRNA	hsa-mir-340	miRNA	5	179442302	179442397
wgRNA	U96a	CDBox	5	180668817	180668889
wgRNA	U95	CDBox	5	180670313	180670376
wgRNA	hsa-mir-548a-1	miRNA	6	18572014	18572111
wgRNA	hsa-mir-3143	miRNA	6	27115404	27115467
wgRNA	U32B	CDBox	6	29550028	29550105
wgRNA	hsa-mir-877	miRNA	6	30552108	30552194
wgRNA	U83	CDBox	6	31504150	31504226
wgRNA	U84	CDBox	6	31508877	31508955
wgRNA	ACA38	HAcaBox	6	31590855	31590987
wgRNA	U48	CDBox	6	31803039	31803103
wgRNA	U52	CDBox	6	31804852	31804916
wgRNA	hsa-mir-1236	miRNA	6	31924615	31924717
wgRNA	hsa-mir-219-1	miRNA	6	33175611	33175721
wgRNA	hsa-mir-1275	miRNA	6	33967748	33967828
wgRNA	hsa-mir-586	miRNA	6	45165410	45165507
wgRNA	hsa-mir-206	miRNA	6	52009146	52009232
wgRNA	hsa-mir-133b	miRNA	6	52013720	52013839
wgRNA	hsa-mir-548u	miRNA	6	57254929	57255010
wgRNA	hsa-mir-30c-2	miRNA	6	72086662	72086734
wgRNA	hsa-mir-30a	miRNA	6	72113253	72113324
wgRNA	hsa-mir-4282	miRNA	6	73677409	73677476
wgRNA	U50	CDBox	6	86387011	86387086
wgRNA	U50B	CDBox	6	86387306	86387377
wgRNA	hsa-mir-2113	miRNA	6	98472406	98472497
wgRNA	hsa-mir-587	miRNA	6	107231999	107232095
wgRNA	hsa-mir-548b	miRNA	6	119390211	119390308
wgRNA	hsa-mir-3144	miRNA	6	120336324	120336403
wgRNA	hsa-mir-588	miRNA	6	126805776	126805859
wgRNA	U101	CDBox	6	133136445	133136518
wgRNA	HBII-429	CDBox	6	133137940	133138016
wgRNA	ACA33	HAcaBox	6	133138357	133138490
wgRNA	hsa-mir-548a-2	miRNA	6	135560297	135560394
wgRNA	hsa-mir-3145	miRNA	6	138756349	138756431
wgRNA	hsa-mir-1273c	miRNA	6	155174493	155174570
wgRNA	hsa-mir-1202	miRNA	6	156267930	156268013
wgRNA	ACA20	HAcaBox	6	160201281	160201413
wgRNA	ACA29	HAcaBox	6	160206625	160206765
wgRNA	hsa-mir-1913	miRNA	6	166922841	166922921
wgRNA	hsa-mir-339	miRNA	7	1062568	1062662
wgRNA	hsa-mir-589	miRNA	7	5535449	5535548
wgRNA	hsa-mir-1302-6	miRNA	7	18166842	18166932
wgRNA	hsa-mir-3146	miRNA	7	19744980	19745059
wgRNA	hsa-mir-1183	miRNA	7	21510675	21510764
wgRNA	HBII-336	CDBox	7	22896231	22896305
wgRNA	hsa-mir-148a	miRNA	7	25989538	25989606
wgRNA	hsa-mir-196b	miRNA	7	27209098	27209182
wgRNA	hsa-mir-550-1	miRNA	7	30329409	30329506
wgRNA	hsa-mir-550-2	miRNA	7	32772592	32772689
wgRNA	hsa-mir-548n	miRNA	7	34980371	34980446
wgRNA	hsa-mir-1200	miRNA	7	36958961	36959037
wgRNA	ACA9	HAcaBox	7	45024976	45025109
wgRNA	ACA5	HAcaBox	7	45143947	45144081
wgRNA	ACA5c	HAcaBox	7	45144504	45144641
wgRNA	ACA5b	HAcaBox	7	45145566	45145698
wgRNA	ACA15	HAcaBox	7	56128162	56128295
wgRNA	hsa-mir-4283-1	miRNA	7	57023491	57023571
wgRNA	hsa-mir-3147	miRNA	7	57472730	57472796
wgRNA	hsa-mir-4283-2	miRNA	7	63081467	63081547
wgRNA	ACA22	HAcaBox	7	65220512	65220646
wgRNA	hsa-mir-4284	miRNA	7	73125646	73125727
wgRNA	hsa-mir-590	miRNA	7	73605527	73605624
wgRNA	ACA14a	HAcaBox	7	75573100	75573234
wgRNA	hsa-mir-1285-1	miRNA	7	91833328	91833412
wgRNA	hsa-mir-653	miRNA	7	93112071	93112167
wgRNA	hsa-mir-489	miRNA	7	93113247	93113331
wgRNA	hsa-mir-591	miRNA	7	95848973	95849068
wgRNA	hsa-mir-25	miRNA	7	99691182	99691266
wgRNA	hsa-mir-93	miRNA	7	99691390	99691470
wgRNA	hsa-mir-106b	miRNA	7	99691615	99691697
wgRNA	hsa-mir-4285	miRNA	7	101936368	101936453
wgRNA	hsa-mir-548o	miRNA	7	102046188	102046302
wgRNA	hsa-mir-592	miRNA	7	126698141	126698238
wgRNA	hsa-mir-593	miRNA	7	127721912	127722012
wgRNA	hsa-mir-129-1	miRNA	7	127847924	127847996
wgRNA	hsa-mir-182	miRNA	7	129410222	129410332
wgRNA	hsa-mir-96	miRNA	7	129414531	129414609
wgRNA	hsa-mir-183	miRNA	7	129414744	129414854
wgRNA	hsa-mir-335	miRNA	7	130135951	130136045
wgRNA	hsa-mir-29a	miRNA	7	130561505	130561569
wgRNA	hsa-mir-29b-1	miRNA	7	130562217	130562298
wgRNA	hsa-mir-490	miRNA	7	136587913	136588041
wgRNA	hsa-mir-548f-4	miRNA	7	147075108	147075213
wgRNA	hsa-mir-1975	miRNA	7	148638579	148638654
wgRNA	hsa-mir-671	miRNA	7	150935506	150935624
wgRNA	hsa-mir-153-2	miRNA	7	157367027	157367114
wgRNA	hsa-mir-595	miRNA	7	158325409	158325505
wgRNA	hsa-mir-596	miRNA	8	1765396	1765473
wgRNA	hsa-mir-548i-3	miRNA	8	7946462	7946611
wgRNA	hsa-mir-597	miRNA	8	9599181	9599278
wgRNA	hsa-mir-124-1	miRNA	8	9760897	9760982
wgRNA	hsa-mir-4286	miRNA	8	10524487	10524580
wgRNA	hsa-mir-1322	miRNA	8	10682882	10682953
wgRNA	hsa-mir-598	miRNA	8	10892715	10892812
wgRNA	hsa-mir-383	miRNA	8	14710946	14711019
wgRNA	hsa-mir-548v	miRNA	8	17539086	17539166
wgRNA	hsa-mir-320a	miRNA	8	22102474	22102556
wgRNA	hsa-mir-548h-4	miRNA	8	26906369	26906480
wgRNA	hsa-mir-4287	miRNA	8	27743555	27743633
wgRNA	hsa-mir-4288	miRNA	8	28362632	28362699
wgRNA	hsa-mir-3148	miRNA	8	29814787	29814864
wgRNA	U13	CDBox	8	33370991	33371096
wgRNA	hsa-mir-486	miRNA	8	41517958	41518026
wgRNA	U54	CDBox	8	56986397	56986460
wgRNA	hsa-mir-124-2	miRNA	8	65291705	65291814
wgRNA	HBII-276	CDBox	8	67834708	67834784
wgRNA	hsa-mir-2052	miRNA	8	75617927	75617982
wgRNA	hsa-mir-3149	miRNA	8	77879003	77879086
wgRNA	hsa-mir-3150	miRNA	8	96085141	96085221
wgRNA	U72	HAcaBox	8	99054313	99054445
wgRNA	hsa-mir-599	miRNA	8	100548863	100548958
wgRNA	hsa-mir-875	miRNA	8	100549013	100549089
wgRNA	hsa-mir-1273	miRNA	8	101036209	101036312
wgRNA	hsa-mir-3151	miRNA	8	104166841	104166917
wgRNA	hsa-mir-548a-3	miRNA	8	105496596	105496693
wgRNA	hsa-mir-2053	miRNA	8	113655721	113655812
wgRNA	hsa-mir-548d-1	miRNA	8	124360273	124360370
wgRNA	hsa-mir-1204	miRNA	8	128808207	128808274
wgRNA	hsa-mir-1205	miRNA	8	128972878	128972941
wgRNA	hsa-mir-1206	miRNA	8	129021143	129021202
wgRNA	hsa-mir-1207	miRNA	8	129061397	129061484
wgRNA	hsa-mir-1208	miRNA	8	129162361	129162434
wgRNA	hsa-mir-30b	miRNA	8	135812762	135812850
wgRNA	hsa-mir-30d	miRNA	8	135817118	135817188
wgRNA	hsa-mir-151	miRNA	8	141742662	141742752
wgRNA	hsa-mir-1302-7	miRNA	8	142867602	142867674
wgRNA	hsa-mir-937	miRNA	8	144895126	144895212
wgRNA	hsa-mir-661	miRNA	8	145019358	145019447
wgRNA	hsa-mir-939	miRNA	8	145619363	145619445
wgRNA	hsa-mir-1234	miRNA	8	145625475	145625559
wgRNA	hsa-mir-1302-9	miRNA	9	30143	30281
wgRNA	hsa-mir-101-2	miRNA	9	4850296	4850375
wgRNA	hsa-mir-3152	miRNA	9	18573303	18573377
wgRNA	U92	scaRna	9	19063653	19063784
wgRNA	hsa-mir-491	miRNA	9	20716103	20716187
wgRNA	hsa-mir-31	miRNA	9	21512113	21512184
wgRNA	hsa-mir-876	miRNA	9	28863623	28863704
wgRNA	hsa-mir-873	miRNA	9	28888876	28888953
wgRNA	SNORD121B	CDBox	9	33934294	33934373
wgRNA	SNORD121A	CDBox	9	33952762	33952852
wgRNA	hsa-mir-1299	miRNA	9	69002238	69002321
wgRNA	hsa-mir-204	miRNA	9	73424890	73425000
