database_from	OMIM_gene_ids_Gene	Omim_Number	chr	txStart	txEnd
omim	CSMD2	608398	1	34065713	34175104
omim	GJB5	604493	1	35220647	35224113
omim	GJB4	605425	1	35225341	35229325
omim	GJB3	603324	1	35246789	35251965
omim	GJA4	121012	1	35258598	35261348
omim	DLGAP3	611413	1	35331036	35395186
omim	ZMYM6	613567	1	35451765	35497312
omim	SFPQ	605199	1	35648532	35658749
omim	ZMYM4	613568	1	35734567	35887545
omim	KIAA0319L	613535	1	35932208	36023000
omim	NCDN	608458	1	36023431	36026444
omim	TFAP2E	614428	1	36038970	36060929
omim	PSMB2	602175	1	36067184	36107445
omim	CLSPN	605434	1	36201881	36203444
omim	AGO4	607356	1	36307273	36316796
omim	AGO1	606228	1	36335408	36386559
omim	AGO3	607355	1	36508864	36520863
omim	TEKT2	608953	1	36549675	36553876
omim	ADPRHL2	610624	1	36554475	36559533
omim	COL8A2	120252	1	36560836	36565850
omim	TRAPPC3	610955	1	36603496	36615097
omim	THRAP3	603809	1	36690016	36770958
omim	STK40	609437	1	36805224	36851497
omim	OSCP1	608854	1	36883506	36889072
omim	MRPS15	611979	1	36921372	36925304
omim	CSF3R	138971	1	36931718	36945097
omim	GRIK3	138243	1	37315274	37324737
omim	ZC3H12A	610562	1	37940152	37949980
omim	MEAF6	611001	1	37958911	37979870
omim	SNIP1	608241	1	38002141	38019903
omim	DNALI1	602135	1	38022606	38031234
omim	GNL2	609365	1	38032416	38061522
omim	RSPO1	609595	1	38076950	38100337
omim	C1orf109	614799	1	38147241	38157888
omim	CDCA8	609977	1	38158152	38175385
omim	EPHA10	611123	1	38179560	38218578
omim	YRDC	612276	1	38268615	38273857
omim	MTF1	600172	1	38323020	38324211
omim	INPP5B	147264	1	38339675	38355345
omim	SF3A3	605596	1	38423688	38455659
omim	FHL3	602790	1	38462441	38471174
omim	UTP11L	609440	1	38478450	38489520
omim	POU3F1	602479	1	38509522	38512450
omim	RRAGC	608267	1	39303869	39325495
omim	MYCBP	606535	1	39330172	39347269
omim	GJA9	611923	1	39340122	39342023
omim	RHBDL2	608962	1	39351978	39392509
omim	AKIRIN1	615164	1	39456894	39471731
omim	NDUFS5	603847	1	39491989	39500308
omim	MACF1	608271	1	39546987	39568653
omim	PABPC4	603407	1	40026487	40042073
omim	HEYL	609034	1	40089824	40105617
omim	NT5C1A	610525	1	40124792	40137710
omim	PPIE	602435	1	40204556	40229586
omim	BMP8B	602284	1	40229222	40254521
omim	OXCT2	610289	1	40235194	40237020
omim	MFSD2A	614397	1	40429882	40435638
omim	PPT1	600722	1	40539487	40544507
omim	RLF	180610	1	40627044	40706593
omim	ZMPSTE24	606480	1	40723778	40759856
omim	COL9A2	120260	1	40766158	40782966
omim	RIMS3	611600	1	41086350	41131329
omim	NFYC	605344	1	41157387	41236811
omim	MIR30C1	615151	1	41222955	41223044
omim	KCNQ4	603537	1	41249765	41304195
omim	CITED4	606815	1	41326728	41328018
omim	CTPS1	123860	1	41445006	41478235
omim	FOXO6	611457	1	41827593	41849262
omim	EDN2	131241	1	41944797	41950344
omim	HIVEP3	606649	1	41975683	42166672
omim	GUCA2B	601271	1	42619091	42621495
omim	GUCA2A	139392	1	42628361	42630389
omim	PPCS	609853	1	42922231	42926085
omim	PPIH	606095	1	43124126	43133111
omim	YBX1	154030	1	43148826	43162882
omim	CLDN19	610036	1	43198763	43205925
omim	LEPRE1	610339	1	43212005	43232755
omim	ERMAP	609017	1	43282794	43310654
omim	SLC2A1	138140	1	43395989	43424530
omim	EBNA1BP2	614443	1	43629854	43637931
omim	WDR65	614259	1	43638000	43676549
omim	TIE1	600222	1	43766663	43788779
omim	MPL	159530	1	43803477	43818443
omim	CDC20	603618	1	43824683	43828874
omim	ELOVL1	611813	1	43829072	43833682
omim	MED8	607956	1	43849587	43855479
omim	SZT2	615463	1	43888796	43918304
omim	PTPRF	179590	1	43996560	44088028
omim	KDM4A	609764	1	44115828	44171186
omim	ST3GAL3	606494	1	44201933	44395893
omim	ARTN	603886	1	44398991	44402911
omim	IPO13	610411	1	44418888	44423221
omim	DPH2	603456	1	44435696	44439012
omim	ATP6V0B	603717	1	44440319	44443966
omim	B4GALT2	604013	1	44445107	44456840
omim	SLC6A9	601019	1	44466478	44497134
omim	KLF17	609602	1	44584541	44596388
omim	DMAP1	605077	1	44679126	44686353
omim	ERI3	609917	1	44750501	44820910
omim	KIF2C	604538	1	45212077	45233439
omim	RPS8	600357	1	45241307	45244451
omim	BEST4	607336	1	45249256	45253377
omim	PLK3	602913	1	45265896	45271662
omim	TCTEX1D4	611713	1	45271587	45272957
omim	PTCH2	603673	1	45287604	45308735
omim	EIF2B3	606273	1	45316449	45452282
omim	UROD	613521	1	45477923	45481247
omim	MUTYH	604933	1	45794834	45806119
omim	TOE1	613931	1	45805892	45809636
omim	TESK2	604746	1	45809970	45956815
omim	MMACHC	609831	1	45975104	45976177
omim	PRDX1	176763	1	45976707	45987609
omim	AKR1A1	103830	1	46016739	46033260
omim	NASP	603185	1	46049736	46083919
omim	IPP	147485	1	46162730	46179924
omim	MAST2	612257	1	46379259	46501795
omim	PIK3R3	606076	1	46505813	46598708
omim	TSPAN1	613170	1	46640758	46651630
omim	POMGNT1	606822	1	46654356	46663147
omim	RAD54L	603615	1	46713366	46744145
omim	UQCRH	613844	1	46769378	46775345
omim	NSUN4	615394	1	46806875	46827782
omim	FAAH	602935	1	46859936	46879517
omim	DMBX1	607410	1	46972668	46979898
omim	KNCN	611455	1	47013099	47016887
omim	MKNK1	606724	1	47023089	47069886
omim	ATPAF1	608917	1	47101379	47131527
omim	CYP4B1	124075	1	47276744	47284514
omim	CYP4A11	601310	1	47398102	47407136
omim	CYP4X1	614999	1	47489239	47516423
omim	CYP4A22	615341	1	47603126	47612155
omim	PDZK1IP1	607178	1	47649264	47655727
omim	TAL1	187040	1	47681963	47695443
omim	STIL	181590	1	47716293	47778807
omim	CMPK1	191710	1	47799585	47842795
omim	FOXE3	601094	1	47881743	47883723
omim	FOXD2	602211	1	47901688	47906363
omim	TRABD2B	614913	1	48231307	48462567
omim	SPATA6	613947	1	48761043	48937845
omim	ELAVL4	168360	1	50513685	50667540
omim	DMRTA2	614804	1	50883221	50887304
omim	FAF1	604460	1	51005263	51072616
omim	CDKN2C	603369	1	51434366	51440305
omim	RNF11	612598	1	51702010	51737234
omim	EPS15	600051	1	51819934	51985000
omim	OSBPL9	606737	1	52195575	52254141
omim	NRD1	602651	1	52254862	52344477
omim	RAB3B	179510	1	52373627	52456436
omim	TXNDC12	609448	1	52486585	52520848
omim	ZFYVE9	603755	1	52608045	52812187
omim	ORC1	601902	1	52838502	52870059
omim	ZCCHC11	613692	1	52980449	53018666
omim	SCP2	184755	1	53392900	53517375
omim	PODN	608661	1	53527853	53551174
omim	SLC1A7	604471	1	53552854	53608249
omim	CPT2	600650	1	53662530	53668408
omim	MAGOH	602603	1	53692563	53704282
omim	LRP8	602600	1	53711216	53793686
omim	DMRTB1	614805	1	53925648	53930352
omim	GLIS1	610378	1	53971909	54199877
omim	DIO1	147892	1	54359883	54375672
omim	CDCP2	612320	1	54598746	54605522
omim	MRPL37	611843	1	54665891	54684049
omim	SSBP3	607390	1	54692592	54871896
omim	ACOT11	606803	1	55007929	55075797
omim	TTC4	606753	1	55181540	55207980
omim	PARS2	612036	1	55222570	55230187
omim	DHCR24	606418	1	55317395	55341668
omim	BSND	606412	1	55464605	55476556
omim	PCSK9	607786	1	55516606	55530523
omim	USP24	610569	1	55532040	55680762
omim	PPAP2B	607125	1	56960418	57045241
omim	PRKAA2	600497	1	57110994	57181008
omim	C8A	120950	1	57320478	57383894
omim	C8B	120960	1	57425735	57431813
omim	DAB1	603448	1	57463697	57756738
omim	TACSTD2	137290	1	59041098	59043166
omim	MYSM1	612176	1	59120411	59155334
omim	JUN	165160	1	59246464	59249785
omim	FGGY	611370	1	60019589	60228400
omim	HOOK1	607820	1	60282303	60338642
omim	CYP2J2	601258	1	60358979	60392462
omim	NFIA	600727	1	61330930	61921197
omim	TM2D1	610080	1	62146916	62190785
omim	INADL	603199	1	62586544	62594129
omim	KANK4	614612	1	62703215	62784972
omim	USP1	603478	1	62902325	62917475
omim	ANGPTL3	604774	1	63067990	63070329
omim	ATG4C	611339	1	63249805	63331184
omim	FOXD3	611539	1	63788729	63790797
omim	ALG6	604566	1	63893908	63902804
omim	ITGB3BP	605494	1	63906443	63988865
omim	PGM1	171900	1	64058946	64125916
omim	ROR1	602336	1	64239692	64609068
omim	RAVER2	609953	1	65210777	65298915
omim	JAK1	147795	1	65307156	65313790
omim	MIR101-1	612511	1	65524116	65524191
omim	AK4	103030	1	65613351	65690520
omim	DNAJC6	608375	1	65730423	65878970
omim	LEPR	601007	1	65886247	66091853
omim	LEPROT	613461	1	65886269	65901690
omim	PDE4B	600127	1	66797686	66840259
omim	SGIP1	611540	1	66999964	67210768
omim	INSL5	606413	1	67263423	67266939
omim	SLC35D1	610804	1	67465014	67519782
omim	IL23R	607562	1	67632082	67725662
omim	IL12RB2	601642	1	67845610	67861446
omim	SERBP1	607378	1	67878067	67896082
omim	GADD45A	126335	1	68150883	68153570
omim	GNG12	615405	1	68242820	68299119
omim	GNG12-AS1	615406	1	68421087	68492445
omim	DIRAS3	605193	1	68511644	68517314
omim	WLS	611514	1	68659540	68698206
omim	RPE65	180069	1	68894504	68915642
omim	DEPDC1	612002	1	68939834	68962904
omim	LRRC7	614453	1	70034132	70340687
omim	PIN1P1	602051	1	70385004	70386000
omim	SRSF11	602010	1	70671417	70697253
omim	ANKRD13C	615125	1	70726270	70820405
omim	HHLA3	604372	1	70820487	70833594
omim	CTH	607657	1	70877065	70904887
omim	PTGER3	176806	1	71472313	71513491
omim	ZRANB2	604347	1	71528979	71533196
omim	NEGR1	613173	1	71868626	72566613
omim	TNNI3K	613932	1	74663946	75010108
omim	FPGT	603609	1	74663950	74671907
omim	CRYZ	123691	1	75171173	75199092
omim	TYW3	611245	1	75198857	75230141
omim	LHX8	604425	1	75600566	75627218
omim	ACADM	607008	1	76190451	76228853
omim	RABGGTB	179080	1	76251878	76260350
omim	MSH4	602105	1	76262566	76378923
omim	ST6GALNAC3	610133	1	76540403	77100286
omim	ST6GALNAC5	610134	1	77333125	77531396
omim	PIGK	605087	1	77554674	77685115
omim	AK5	608009	1	77747735	78025651
omim	USP33	615146	1	78161675	78225537
omim	NEXN	613121	1	78354312	78408909
omim	FUBP1	603444	1	78414367	78444745
omim	DNAJB4	611327	1	78470537	78483648
omim	PTGFR	600563	1	78956756	79005434
omim	IFI44L	613975	1	79086066	79107653
omim	IFI44	610468	1	79115515	79129763
omim	LPHN2	607018	1	82266081	82458106
omim	PRKACB	176892	1	84630377	84670980
omim	UOX	191540	1	84833343	84850435
omim	DNASE2B	608057	1	84873912	84880691
omim	GNG5	600874	1	84964011	84972248
omim	CTBS	600873	1	85018806	85040147
omim	SSX2IP	608690	1	85113058	85156127
omim	LPAR3	605106	1	85279598	85331827
omim	MCOLN2	607399	1	85392367	85462795
omim	MCOLN3	607400	1	85484590	85514129
omim	BCL10	603517	1	85731930	85742773
omim	DDAH1	604743	1	85786740	85870180
omim	CYR61	602369	1	86046882	86047782
omim	COL24A1	610025	1	86194915	86622446
omim	CLCA2	604003	1	86913816	86919285
omim	CLCA1	603906	1	86934525	86965972
omim	CLCA3P	604337	1	87099958	87121059
omim	SH3GLB1	609287	1	87170299	87209071
omim	HS2ST1	604844	1	87458691	87634884
omim	LMO4	603129	1	87797463	87810698
omim	PKN2	602549	1	89149904	89301938
omim	GTF2B	189963	1	89322947	89357210
omim	CCBL2	610656	1	89401455	89454038
omim	GBP3	600413	1	89472348	89488565
omim	GBP1	600411	1	89518001	89531043
omim	GBP2	600412	1	89575869	89585903
omim	GBP7	612468	1	89597433	89641723
omim	GBP4	612466	1	89647455	89651081
omim	GBP5	611467	1	89724632	89732262
omim	GBP6	612467	1	89829616	89852020
omim	LRRC8B	612888	1	90033799	90063418
omim	LRRC8C	612889	1	90098630	90230077
omim	LRRC8D	612890	1	90287479	90401560
omim	ZNF326	614601	1	90460695	90494097
omim	BARHL2	605212	1	91177095	91182794
omim	ZNF644	614159	1	91381946	91487571
omim	CDC7	603311	1	91966449	91991321
omim	TGFBR3	600742	1	92145901	92351787
omim	BRDT	602144	1	92442637	92445160
omim	GLMN	601749	1	92711959	92764544
omim	RPAP2	611476	1	92764521	92853730
omim	GFI1	600871	1	92948546	92950239
omim	EVI5	602942	1	92979212	93257951
omim	RPL5	603634	1	93297581	93307481
omim	SNORD21	603635	1	93302845	93302940
omim	FAM69A	614542	1	93307723	93427057
omim	MTF2	609882	1	93544866	93602646
omim	DR1	601482	1	93811491	93826725
omim	FNBP1L	608848	1	93913687	94020216
omim	BCAR3	604704	1	94027350	94146926
omim	DNTTIP2	611199	1	94341221	94345474
omim	GCLM	601176	1	94360199	94374346
omim	ABCA4	601691	1	94458392	94586688
omim	ARHGAP29	610496	1	94642168	94661496
omim	ABCD3	170995	1	94884034	94944279
omim	F3	134390	1	94994780	95007356
omim	CNN3	602374	1	95362900	95392699
omim	ALG14	612866	1	95501376	95538430
omim	PTBP2	608449	1	97187377	97280349
omim	DPYD	612779	1	97543298	98386579
omim	MIR137	614304	1	98511625	98511727
omim	SNX7	614904	1	99127278	99226056
omim	PALMD	610182	1	100111498	100160097
omim	FRRS1	611578	1	100174258	100231349
omim	AGL	610860	1	100316044	100389576
omim	SLC35A3	605632	1	100435344	100492448
omim	SASS6	609321	1	100549118	100598511
omim	DBT	248610	1	100659735	100715390
omim	RTCA	611286	1	100731844	100732485
omim	CDC14A	603504	1	100889287	100908670
omim	GPR88	607468	1	101003692	101007574
omim	VCAM1	192225	1	101185319	101204594
omim	EXTL2	602411	1	101337942	101361554
omim	SLC30A7	611149	1	101361631	101447309
omim	DPH5	611075	1	101455178	101491318
omim	S1PR1	601974	1	101702443	101707074
omim	OLFM3	607567	1	102269041	102302585
omim	COL11A1	120280	1	103342022	103574047
omim	AMY2B	104660	1	104110955	104122152
omim	AMY2A	104650	1	104159998	104168402
omim	AMY1A	104700	1	104205365	104207171
omim	AMY1B	104701	1	104230039	104238912
omim	AMY1C	104702	1	104293027	104301312
omim	PRMT6	608274	1	107599266	107601905
omim	NTNG1	608818	1	107682628	108024450
omim	VAV3	605541	1	108114210	108507631
omim	SLC25A24	608744	1	108676657	108742980
omim	NBPF4	613994	1	108765962	108786689
omim	NBPF5P	613995	1	108918459	108953436
omim	NBPF6	613996	1	108992903	109013260
omim	HENMT1	612178	1	109190911	109203744
omim	STXBP3	608339	1	109302674	109324164
omim	GPSM2	609245	1	109419602	109473043
omim	TAF13	600774	1	109606761	109618624
