Database_from	ID	Chromosome	Start_Coordinate	Stop_Coordinate
PseudoGene	PGOHUM00000244002	1	46111491	46111869
PseudoGene	PGOHUM00000244003	1	46116711	46117498
PseudoGene	PGOHUM00000244004	1	46312667	46313280
PseudoGene	PGOHUM00000244005	1	47131582	47132067
PseudoGene	PGOHUM00000244006	1	47309005	47366106
PseudoGene	PGOHUM00000244007	1	47433349	47466766
PseudoGene	PGOHUM00000244008	1	47540450	47541641
PseudoGene	PGOHUM00000244009	1	47630164	47631544
PseudoGene	PGOHUM00000244010	1	47949370	47949834
PseudoGene	PGOHUM00000244011	1	47963567	47964011
PseudoGene	PGOHUM00000244014	1	48630463	48630522
PseudoGene	PGOHUM00000244015	1	48632140	48632538
PseudoGene	PGOHUM00000244016	1	48790753	48791795
PseudoGene	PGOHUM00000244017	1	48962940	48963408
PseudoGene	PGOHUM00000244018	1	49894332	49894811
PseudoGene	PGOHUM00000244019	1	50156937	50157196
PseudoGene	PGOHUM00000244020	1	50864534	50865042
PseudoGene	PGOHUM00000244021	1	50871104	50871696
PseudoGene	PGOHUM00000244022	1	51623646	51624143
PseudoGene	PGOHUM00000244023	1	51716273	51717144
PseudoGene	PGOHUM00000244025	1	52172810	52173818
PseudoGene	PGOHUM00000244026	1	52625936	52626280
PseudoGene	PGOHUM00000244027	1	52627856	52628393
PseudoGene	PGOHUM00000244028	1	52628824	52628996
PseudoGene	PGOHUM00000244029	1	52655577	52655981
PseudoGene	PGOHUM00000244030	1	52717735	52717978
PseudoGene	PGOHUM00000244031	1	53237869	53238320
PseudoGene	PGOHUM00000244032	1	53390922	53391104
PseudoGene	PGOHUM00000244033	1	53409224	53409603
PseudoGene	PGOHUM00000244035	1	53538785	53539083
PseudoGene	PGOHUM00000244036	1	53904048	53904982
PseudoGene	PGOHUM00000244038	1	55838405	55839030
PseudoGene	PGOHUM00000244039	1	56404811	56404954
PseudoGene	PGOHUM00000244040	1	56673245	56674128
PseudoGene	PGOHUM00000244042	1	57085085	57085260
PseudoGene	PGOHUM00000244043	1	58071522	58071878
PseudoGene	PGOHUM00000244046	1	58694358	58694687
PseudoGene	PGOHUM00000244047	1	59018585	59019005
PseudoGene	PGOHUM00000244050	1	60695189	60695427
PseudoGene	PGOHUM00000244051	1	62673804	62674112
PseudoGene	PGOHUM00000244052	1	63106791	63107364
PseudoGene	PGOHUM00000244053	1	63825469	63826850
PseudoGene	PGOHUM00000244054	1	64254389	64254975
PseudoGene	PGOHUM00000244055	1	64308865	64309347
PseudoGene	PGOHUM00000244056	1	65450292	65451772
PseudoGene	PGOHUM00000244057	1	65543095	65543305
PseudoGene	PGOHUM00000244058	1	65558040	65558298
PseudoGene	PGOHUM00000244062	1	68515088	68515431
PseudoGene	PGOHUM00000244063	1	68627440	68628716
PseudoGene	PGOHUM00000244064	1	68708160	68708738
PseudoGene	PGOHUM00000244065	1	68841008	68841345
PseudoGene	PGOHUM00000244066	1	68847121	68847341
PseudoGene	PGOHUM00000244067	1	68980056	68980356
PseudoGene	PGOHUM00000244068	1	70072538	70073984
PseudoGene	PGOHUM00000244069	1	71126337	71126944
PseudoGene	PGOHUM00000244070	1	71832737	71833010
PseudoGene	PGOHUM00000244071	1	76107023	76107772
PseudoGene	PGOHUM00000244072	1	76209106	76210259
PseudoGene	PGOHUM00000244073	1	76819265	76819924
PseudoGene	PGOHUM00000244074	1	78239553	78240564
PseudoGene	PGOHUM00000244075	1	78509067	78509855
PseudoGene	PGOHUM00000244076	1	78636154	78636927
PseudoGene	PGOHUM00000244077	1	78782822	78782953
PseudoGene	PGOHUM00000244078	1	79520633	79521740
PseudoGene	PGOHUM00000244079	1	80557791	80558924
PseudoGene	PGOHUM00000244080	1	80916833	80917682
PseudoGene	PGOHUM00000244081	1	80929992	80930438
PseudoGene	PGOHUM00000244082	1	81563949	81564691
PseudoGene	PGOHUM00000244084	1	82061839	82062191
PseudoGene	PGOHUM00000244085	1	85101844	85101957
PseudoGene	PGOHUM00000244086	1	86869862	86870585
PseudoGene	PGOHUM00000244088	1	87510616	87511691
PseudoGene	PGOHUM00000244090	1	88964031	88964359
PseudoGene	PGOHUM00000244092	1	89590084	89590260
PseudoGene	PGOHUM00000244093	1	89755362	89756020
PseudoGene	PGOHUM00000244094	1	90126773	90127016
PseudoGene	PGOHUM00000244095	1	90459155	90459880
PseudoGene	PGOHUM00000244096	1	91358543	91359169
PseudoGene	PGOHUM00000244097	1	92000225	92001163
PseudoGene	PGOHUM00000244098	1	92540093	92540968
PseudoGene	PGOHUM00000244099	1	92580362	92581362
PseudoGene	PGOHUM00000244100	1	92694573	92695013
PseudoGene	PGOHUM00000244101	1	93046036	93046380
PseudoGene	PGOHUM00000244102	1	93112621	93113199
PseudoGene	PGOHUM00000244103	1	93214723	93214848
PseudoGene	PGOHUM00000244105	1	93665311	93665496
PseudoGene	PGOHUM00000244106	1	93744521	93744686
PseudoGene	PGOHUM00000244107	1	93850044	93850555
PseudoGene	PGOHUM00000244108	1	94386825	94387225
PseudoGene	PGOHUM00000244109	1	94388131	94389113
PseudoGene	PGOHUM00000244110	1	94390962	94391627
PseudoGene	PGOHUM00000244111	1	94392192	94392675
PseudoGene	PGOHUM00000244112	1	94393274	94393865
PseudoGene	PGOHUM00000244113	1	94871953	94872438
PseudoGene	PGOHUM00000244114	1	95116108	95116990
PseudoGene	PGOHUM00000244115	1	95138477	95139725
PseudoGene	PGOHUM00000244117	1	97049976	97050290
PseudoGene	PGOHUM00000244119	1	100797356	100798172
PseudoGene	PGOHUM00000244120	1	100858592	100859214
PseudoGene	PGOHUM00000244121	1	101052205	101052990
PseudoGene	PGOHUM00000244123	1	101736434	101736924
PseudoGene	PGOHUM00000244124	1	103565696	103566263
PseudoGene	PGOHUM00000244125	1	104210687	104210890
PseudoGene	PGOHUM00000244126	1	104695931	104696452
PseudoGene	PGOHUM00000244127	1	106434361	106435947
PseudoGene	PGOHUM00000244128	1	106623382	106624001
PseudoGene	PGOHUM00000244129	1	107086964	107087366
PseudoGene	PGOHUM00000244130	1	107345247	107345372
PseudoGene	PGOHUM00000244131	1	107345375	107346048
PseudoGene	PGOHUM00000244132	1	107346302	107346949
PseudoGene	PGOHUM00000244133	1	107347096	107348654
PseudoGene	PGOHUM00000244134	1	108778893	108779042
PseudoGene	PGOHUM00000244135	1	108926311	108963861
PseudoGene	PGOHUM00000244136	1	109309465	109310206
PseudoGene	PGOHUM00000244138	1	109646068	109647398
PseudoGene	PGOHUM00000244139	1	110353265	110353614
PseudoGene	PGOHUM00000244140	1	111390702	111391562
PseudoGene	PGOHUM00000244141	1	111550315	111558141
PseudoGene	PGOHUM00000244143	1	111925638	111925799
PseudoGene	PGOHUM00000244144	1	111930878	111931075
PseudoGene	PGOHUM00000244145	1	112190914	112192169
PseudoGene	PGOHUM00000244146	1	113168522	113168847
PseudoGene	PGOHUM00000244147	1	113433392	113433544
PseudoGene	PGOHUM00000244148	1	113668114	113669577
PseudoGene	PGOHUM00000244149	1	114119373	114119516
PseudoGene	PGOHUM00000244150	1	114241506	114242231
PseudoGene	PGOHUM00000244151	1	114544058	114544505
PseudoGene	PGOHUM00000244152	1	114821633	114821897
PseudoGene	PGOHUM00000244153	1	116119847	116120406
PseudoGene	PGOHUM00000244154	1	116399532	116400440
PseudoGene	PGOHUM00000244155	1	117075600	117076714
PseudoGene	PGOHUM00000244156	1	117256458	117257457
PseudoGene	PGOHUM00000244157	1	117282606	117285231
PseudoGene	PGOHUM00000244158	1	117317700	117318189
PseudoGene	PGOHUM00000244159	1	118183437	118184294
PseudoGene	PGOHUM00000244160	1	118242654	118242864
PseudoGene	PGOHUM00000244161	1	119156958	119158269
PseudoGene	PGOHUM00000244162	1	119627624	119628577
PseudoGene	PGOHUM00000244163	1	119669165	119669914
PseudoGene	PGOHUM00000244164	1	119761932	119762719
PseudoGene	PGOHUM00000244165	1	119977083	119977712
PseudoGene	PGOHUM00000244166	1	120004655	120005644
PseudoGene	PGOHUM00000244167	1	120038462	120039464
PseudoGene	PGOHUM00000244169	1	120101381	120102397
PseudoGene	PGOHUM00000244170	1	120138793	120139802
PseudoGene	PGOHUM00000244171	1	120378133	120378339
PseudoGene	PGOHUM00000244173	1	142660008	142660761
PseudoGene	PGOHUM00000244175	1	142688145	142689733
PseudoGene	PGOHUM00000244178	1	142712913	142716793
PseudoGene	PGOHUM00000244179	1	142718905	142719588
PseudoGene	PGOHUM00000244180	1	142790583	142791295
PseudoGene	PGOHUM00000244181	1	142850772	142851522
PseudoGene	PGOHUM00000244182	1	143156455	143157208
PseudoGene	PGOHUM00000244184	1	143184614	143186190
PseudoGene	PGOHUM00000244187	1	143209382	143213259
PseudoGene	PGOHUM00000244188	1	143215009	143216056
PseudoGene	PGOHUM00000244189	1	143236902	143237057
PseudoGene	PGOHUM00000244190	1	143243801	143244859
PseudoGene	PGOHUM00000244191	1	143342824	143343247
PseudoGene	PGOHUM00000244192	1	143402934	143403677
PseudoGene	PGOHUM00000244196	1	144392161	144392429
PseudoGene	PGOHUM00000244198	1	144612265	144612672
PseudoGene	PGOHUM00000244200	1	145088048	145088544
PseudoGene	PGOHUM00000244201	1	145139028	145139569
PseudoGene	PGOHUM00000244202	1	145926122	145940113
PseudoGene	PGOHUM00000244208	1	146392454	146392861
PseudoGene	PGOHUM00000244210	1	146549376	146549732
PseudoGene	PGOHUM00000244211	1	146550929	146551285
PseudoGene	PGOHUM00000244212	1	146553890	146555127
PseudoGene	PGOHUM00000244217	1	146586831	146587082
PseudoGene	PGOHUM00000244223	1	147467828	147481824
PseudoGene	PGOHUM00000244226	1	147760828	147761057
PseudoGene	PGOHUM00000244228	1	147983325	147983593
PseudoGene	PGOHUM00000244233	1	148229970	148230238
PseudoGene	PGOHUM00000244252	1	148736689	148737096
PseudoGene	PGOHUM00000244253	1	148864593	148865164
PseudoGene	PGOHUM00000244254	1	149089878	149090128
PseudoGene	PGOHUM00000244258	1	149096395	149096631
PseudoGene	PGOHUM00000244259	1	149101170	149106071
PseudoGene	PGOHUM00000244260	1	149307439	149315619
PseudoGene	PGOHUM00000244261	1	149340661	149341066
PseudoGene	PGOHUM00000244263	1	149424568	149424954
PseudoGene	PGOHUM00000244264	1	149692963	149701150
PseudoGene	PGOHUM00000244265	1	149725852	149726258
PseudoGene	PGOHUM00000244266	1	149821964	149822340
PseudoGene	PGOHUM00000244267	1	150853708	150854165
PseudoGene	PGOHUM00000244268	1	151085107	151085204
PseudoGene	PGOHUM00000244270	1	151921993	151923389
PseudoGene	PGOHUM00000244271	1	152096917	152097589
PseudoGene	PGOHUM00000244273	1	153689793	153690803
PseudoGene	PGOHUM00000244274	1	153824578	153825888
PseudoGene	PGOHUM00000244275	1	154350438	154350584
PseudoGene	PGOHUM00000244276	1	154350679	154351563
PseudoGene	PGOHUM00000244278	1	154922242	154922406
PseudoGene	PGOHUM00000244281	1	155560395	155561053
PseudoGene	PGOHUM00000244283	1	155619491	155620058
PseudoGene	PGOHUM00000244288	1	157599694	157599987
PseudoGene	PGOHUM00000244289	1	157600184	157600527
PseudoGene	PGOHUM00000244290	1	157605996	157610106
PseudoGene	PGOHUM00000244291	1	157694006	157694811
PseudoGene	PGOHUM00000244292	1	157846177	157846666
PseudoGene	PGOHUM00000244293	1	158145640	158147538
PseudoGene	PGOHUM00000244294	1	158165460	158165920
PseudoGene	PGOHUM00000244295	1	158236236	158236708
PseudoGene	PGOHUM00000244296	1	158414884	158415795
PseudoGene	PGOHUM00000244297	1	158664365	158665215
PseudoGene	PGOHUM00000244298	1	158693918	158694826
PseudoGene	PGOHUM00000244299	1	158712354	158713208
PseudoGene	PGOHUM00000244300	1	158778219	158779032
PseudoGene	PGOHUM00000244302	1	159050925	159051588
PseudoGene	PGOHUM00000244304	1	159375244	159376154
PseudoGene	PGOHUM00000244305	1	159674776	159675413
PseudoGene	PGOHUM00000244306	1	159942341	159943858
PseudoGene	PGOHUM00000244307	1	160236132	160237016
PseudoGene	PGOHUM00000244308	1	160745744	160746398
PseudoGene	PGOHUM00000244309	1	160746765	160746935
PseudoGene	PGOHUM00000244310	1	161348484	161349164
PseudoGene	PGOHUM00000244311	1	161381390	161381592
PseudoGene	PGOHUM00000244312	1	161506361	161507950
PseudoGene	PGOHUM00000244313	1	161587785	161589375
PseudoGene	PGOHUM00000244314	1	161654631	161654999
PseudoGene	PGOHUM00000244315	1	162369680	162411086
PseudoGene	PGOHUM00000244317	1	162949344	162949583
PseudoGene	PGOHUM00000244319	1	163738576	163738931
PseudoGene	PGOHUM00000244320	1	164890557	164890866
PseudoGene	PGOHUM00000244321	1	165910475	165911006
PseudoGene	PGOHUM00000244322	1	166244869	166246726
PseudoGene	PGOHUM00000244323	1	167131663	167132074
PseudoGene	PGOHUM00000244326	1	168418908	168420449
PseudoGene	PGOHUM00000244327	1	168547892	168548678
PseudoGene	PGOHUM00000244328	1	170180151	170180538
PseudoGene	PGOHUM00000244329	1	170338370	170339259
PseudoGene	PGOHUM00000244330	1	171240102	171240727
PseudoGene	PGOHUM00000244331	1	171314228	171314452
PseudoGene	PGOHUM00000244332	1	171413836	171414102
PseudoGene	PGOHUM00000244333	1	171639658	171640078
PseudoGene	PGOHUM00000244334	1	171652296	171653578
PseudoGene	PGOHUM00000244335	1	171720576	171721168
PseudoGene	PGOHUM00000244336	1	171724943	171725563
PseudoGene	PGOHUM00000244337	1	171793769	171794101
PseudoGene	PGOHUM00000244338	1	172855087	172855398
PseudoGene	PGOHUM00000244339	1	173110242	173111466
PseudoGene	PGOHUM00000244341	1	174059272	174059610
PseudoGene	PGOHUM00000244342	1	174334278	174337178
PseudoGene	PGOHUM00000244343	1	174725991	174726257
PseudoGene	PGOHUM00000244344	1	174818811	174819306
PseudoGene	PGOHUM00000244345	1	174891249	174891571
PseudoGene	PGOHUM00000244346	1	175013765	175014848
PseudoGene	PGOHUM00000244347	1	176200335	176200966
PseudoGene	PGOHUM00000244348	1	176274805	176275207
PseudoGene	PGOHUM00000244349	1	176336842	176337771
PseudoGene	PGOHUM00000244350	1	176585407	176585919
PseudoGene	PGOHUM00000244353	1	178715821	178716889
PseudoGene	PGOHUM00000244354	1	179004445	179004787
PseudoGene	PGOHUM00000244355	1	179240254	179240401
PseudoGene	PGOHUM00000244358	1	179793298	179793720
PseudoGene	PGOHUM00000244359	1	179969575	179969943
PseudoGene	PGOHUM00000244360	1	182151864	182152231
PseudoGene	PGOHUM00000244361	1	182403493	182403596
PseudoGene	PGOHUM00000244362	1	182910929	182911413
PseudoGene	PGOHUM00000244363	1	182924513	182924934
PseudoGene	PGOHUM00000244364	1	182928212	182929497
PseudoGene	PGOHUM00000244365	1	183678440	183679352
PseudoGene	PGOHUM00000244368	1	185195940	185196832
PseudoGene	PGOHUM00000244369	1	185302038	185302412
PseudoGene	PGOHUM00000244372	1	187683371	187684453
PseudoGene	PGOHUM00000244374	1	188211218	188211836
PseudoGene	PGOHUM00000244375	1	189005095	189005575
PseudoGene	PGOHUM00000244377	1	189958667	189962227
PseudoGene	PGOHUM00000244378	1	191115153	191116091
PseudoGene	PGOHUM00000244379	1	191148651	191148869
PseudoGene	PGOHUM00000244380	1	192215839	192216625
PseudoGene	PGOHUM00000244381	1	192962582	192963807
PseudoGene	PGOHUM00000244382	1	193725946	193726373
PseudoGene	PGOHUM00000244383	1	197107881	197108445
PseudoGene	PGOHUM00000244384	1	197715885	197716581
PseudoGene	PGOHUM00000244386	1	198648679	198649170
PseudoGene	PGOHUM00000244387	1	200116660	200117407
PseudoGene	PGOHUM00000244388	1	201084066	201084375
PseudoGene	PGOHUM00000244389	1	202338657	202338930
PseudoGene	PGOHUM00000244390	1	202736360	202736548
PseudoGene	PGOHUM00000244392	1	202955703	202956749
PseudoGene	PGOHUM00000244393	1	203322503	203322861
PseudoGene	PGOHUM00000244394	1	203369397	203369709
PseudoGene	PGOHUM00000244395	1	203626098	203626888
PseudoGene	PGOHUM00000244396	1	203774749	203775382
PseudoGene	PGOHUM00000244397	1	203804711	203805040
PseudoGene	PGOHUM00000244398	1	203841807	203843375
PseudoGene	PGOHUM00000244399	1	203872857	203873141
PseudoGene	PGOHUM00000244400	1	204175231	204176417
PseudoGene	PGOHUM00000244401	1	204497976	204498820
PseudoGene	PGOHUM00000244402	1	205444483	205444653
PseudoGene	PGOHUM00000244405	1	206869182	206869614
PseudoGene	PGOHUM00000244406	1	208870700	208871043
PseudoGene	PGOHUM00000244407	1	209441146	209441598
PseudoGene	PGOHUM00000244408	1	210438982	210440584
PseudoGene	PGOHUM00000244409	1	210635689	210636356
PseudoGene	PGOHUM00000244411	1	211833534	211834618
PseudoGene	PGOHUM00000244412	1	212482393	212482836
PseudoGene	PGOHUM00000244413	1	213028416	213028640
PseudoGene	PGOHUM00000244415	1	214656153	214656730
PseudoGene	PGOHUM00000244417	1	214786304	214786740
PseudoGene	PGOHUM00000244418	1	217027107	217027403
PseudoGene	PGOHUM00000244419	1	218023746	218023975
PseudoGene	PGOHUM00000244420	1	218474604	218475400
PseudoGene	PGOHUM00000244422	1	219373254	219374040
PseudoGene	PGOHUM00000244423	1	219782972	219785404
PseudoGene	PGOHUM00000244424	1	220131953	220132360
PseudoGene	PGOHUM00000244425	1	220317303	220317692
PseudoGene	PGOHUM00000244426	1	220440049	220441255
PseudoGene	PGOHUM00000244427	1	220487280	220489030
PseudoGene	PGOHUM00000244428	1	220490015	220490941
PseudoGene	PGOHUM00000244430	1	220628479	220628597
PseudoGene	PGOHUM00000244431	1	220738526	220738745
PseudoGene	PGOHUM00000244432	1	221307210	221307563
PseudoGene	PGOHUM00000244433	1	221723130	221723991
PseudoGene	PGOHUM00000244434	1	222376652	222376975
PseudoGene	PGOHUM00000244435	1	222384961	222385280
PseudoGene	PGOHUM00000244436	1	222435175	222436137
PseudoGene	PGOHUM00000244439	1	222645506	222646545
PseudoGene	PGOHUM00000244442	1	222692983	222693084
PseudoGene	PGOHUM00000244443	1	222814762	222815200
PseudoGene	PGOHUM00000244444	1	223741880	223742862
PseudoGene	PGOHUM00000244445	1	223831814	223832085
PseudoGene	PGOHUM00000244447	1	224044284	224045089
PseudoGene	PGOHUM00000244448	1	224051431	224052553
PseudoGene	PGOHUM00000244451	1	224175765	224175866
PseudoGene	PGOHUM00000244452	1	224218385	224218507
PseudoGene	PGOHUM00000244453	1	224848926	224849586
PseudoGene	PGOHUM00000244454	1	226376572	226376922
PseudoGene	PGOHUM00000244456	1	226521014	226521356
PseudoGene	PGOHUM00000244457	1	226599463	226599915
PseudoGene	PGOHUM00000244458	1	226680892	226681203
PseudoGene	PGOHUM00000244459	1	227452436	227452903
PseudoGene	PGOHUM00000244463	1	227697794	227698336
PseudoGene	PGOHUM00000244464	1	227786131	227786834
PseudoGene	PGOHUM00000244465	1	227884449	227894394
PseudoGene	PGOHUM00000244468	1	228163473	228165863
PseudoGene	PGOHUM00000244469	1	228302699	228303157
PseudoGene	PGOHUM00000244470	1	228322404	228322607
PseudoGene	PGOHUM00000244471	1	228636865	228637294
PseudoGene	PGOHUM00000244472	1	228651917	228652295
PseudoGene	PGOHUM00000244473	1	229824747	229825651
PseudoGene	PGOHUM00000244475	1	230747755	230748158
PseudoGene	PGOHUM00000244478	1	231611715	231612034
PseudoGene	PGOHUM00000244479	1	232357619	232357943
PseudoGene	PGOHUM00000244480	1	233424612	233425193
PseudoGene	PGOHUM00000244482	1	233971826	233972174
PseudoGene	PGOHUM00000244483	1	234162619	234162973
PseudoGene	PGOHUM00000244484	1	234492453	234492887
PseudoGene	PGOHUM00000244485	1	235260500	235260691
PseudoGene	PGOHUM00000244486	1	235701351	235703112
PseudoGene	PGOHUM00000244487	1	235703345	235704716
PseudoGene	PGOHUM00000244488	1	235704713	235704988
PseudoGene	PGOHUM00000244489	1	235705057	235705392
PseudoGene	PGOHUM00000244490	1	235705459	235705685
PseudoGene	PGOHUM00000244492	1	236449273	236450258
PseudoGene	PGOHUM00000244494	1	238104062	238104361
PseudoGene	PGOHUM00000244495	1	238104758	238105792
PseudoGene	PGOHUM00000244496	1	238106001	238106953
PseudoGene	PGOHUM00000244497	1	238111340	238112444
PseudoGene	PGOHUM00000244498	1	238113042	238114803
PseudoGene	PGOHUM00000244499	1	238271507	238271888
PseudoGene	PGOHUM00000244500	1	238431794	238431904
PseudoGene	PGOHUM00000244501	1	238940425	238942029
PseudoGene	PGOHUM00000244502	1	239216051	239216203
PseudoGene	PGOHUM00000244503	1	240305970	240308191
PseudoGene	PGOHUM00000244504	1	240799894	240800340
PseudoGene	PGOHUM00000244506	1	240986279	240986733
PseudoGene	PGOHUM00000244507	1	241161749	241162094
PseudoGene	PGOHUM00000244508	1	241468885	241469189
PseudoGene	PGOHUM00000244509	1	242225372	242225896
PseudoGene	PGOHUM00000244510	1	242301896	242303184
PseudoGene	PGOHUM00000244511	1	242540227	242540772
PseudoGene	PGOHUM00000244513	1	243045356	243046833
PseudoGene	PGOHUM00000244518	1	243218163	243219251
PseudoGene	PGOHUM00000244519	1	243251431	243251535
PseudoGene	PGOHUM00000244520	1	243260510	243260611
PseudoGene	PGOHUM00000244521	1	243430920	243431421
PseudoGene	PGOHUM00000244522	1	243788013	243788352
PseudoGene	PGOHUM00000244523	1	244558286	244558964
PseudoGene	PGOHUM00000244524	1	244761707	244761989
PseudoGene	PGOHUM00000244525	1	244857735	244858022
PseudoGene	PGOHUM00000244527	1	245446112	245446391
PseudoGene	PGOHUM00000244528	1	246673350	246673951
PseudoGene	PGOHUM00000244529	1	246674289	246674470
