database	gene_symbol	cnv_score	chr	start	end
exac_v3	SLK	0.186544251	10	105726959	105788991
exac_v3	COL17A1	0.079215651	10	105791044	105845760
exac_v3	SFR1	0.26389668	10	105881816	105886143
exac_v3	WDR96	-0.304978254	10	105889646	105992120
exac_v3	GSTO1	0.337746211	10	105995114	106027217
exac_v3	GSTO2	0.684305715	10	106028631	106064703
exac_v3	ITPRIP	0.1340648	10	106071894	106098162
exac_v3	CCDC147	0.780092884	10	106113522	106214848
exac_v3	SORCS3	0.302208428	10	106400859	107024993
exac_v3	IDI2	-1.071538408	10	1064847	1071799
exac_v3	SORCS1	0.285166901	10	108333421	108924292
exac_v3	IDI1	-1.360951007	10	1085848	1095110
exac_v3	WDR37	-1.203914179	10	1095478	1178237
exac_v3	CELF2	0.835768869	10	11047259	11378674
exac_v3	XPNPEP1	0.786089357	10	111624524	111683311
exac_v3	ADD3	1.477487019	10	111756126	111895323
exac_v3	MXI1	0.787043138	10	111967363	112047123
exac_v3	SMNDC1	1.054376236	10	112050488	112064709
exac_v3	DUSP5	0.569870713	10	112257596	112271302
exac_v3	SMC3	1.577041102	10	112327449	112364394
exac_v3	PDCD4	1.459091849	10	112631565	112659764
exac_v3	SHOC2	1.122648579	10	112679301	112773425
exac_v3	ADRA2A	0.207799361	10	112836790	112840658
exac_v3	GPAM	0.147184418	10	113909624	113975135
exac_v3	TECTB	-0.009918356	10	114043493	114064793
exac_v3	ACSL5	0.166685887	10	114133776	114188138
exac_v3	ZDHHC6	1.206616115	10	114190058	114206672
exac_v3	VTI1A	1.056151897	10	114206756	114578503
exac_v3	TCF7L2	-0.523697083	10	114710009	114927437
exac_v3	USP6NL	0.714860352	10	11495945	11653753
exac_v3	HABP2	0.609786241	10	115310596	115349361
exac_v3	NRAP	0.58657573	10	115348475	115423886
exac_v3	CASP7	0.804578503	10	115438942	115490662
exac_v3	PLEKHS1	0.934624086	10	115511213	115543188
exac_v3	DCLRE1A	1.047913834	10	115594488	115614142
exac_v3	NHLRC2	1.33789409	10	115614420	115676953
exac_v3	ADRB1	0.245531078	10	115803806	115806667
exac_v3	C10orf118	-0.363534845	10	115880621	115933979
exac_v3	TDRD1	1.391082946	10	115939029	115992063
exac_v3	VWA2	-2.213415611	10	115999018	116051272
exac_v3	AFAP1L2	1.106547528	10	116054583	116164515
exac_v3	ABLIM1	1.876142433	10	116190872	116444762
exac_v3	FAM160B1	1.086226958	10	116581503	116659591
exac_v3	TRUB1	-0.135889025	10	116697952	116737430
exac_v3	ATRNL1	0.111085788	10	116853124	117708503
exac_v3	GFRA1	0.930605108	10	117816444	118032979
exac_v3	ECHDC3	-0.399920301	10	11784365	11806069
exac_v3	CCDC172	1.075154199	10	118083940	118139541
exac_v3	PNLIPRP3	1.096291274	10	118187379	118237469
exac_v3	PNLIP	1.318279194	10	118305443	118327367
exac_v3	PNLIPRP1	0.777654185	10	118349897	118368687
exac_v3	C10orf82	0.371979663	10	118423207	118429775
exac_v3	HSPA12A	0.946074895	10	118430703	118502085
exac_v3	KIAA1598	0.55441787	10	118643742	118886097
exac_v3	PROSER2	0.235457511	10	11865338	11914276
exac_v3	VAX1	0.310980687	10	118888032	118897812
exac_v3	KCNK18	0.550354975	10	118957000	118969810
exac_v3	SLC18A2	0.42278518	10	119000604	119038941
exac_v3	PDZD8	-0.363285392	10	119040000	119134978
exac_v3	EMX2	0.288573692	10	119301955	119309056
exac_v3	UPF2	-0.304693257	10	11962021	12085169
exac_v3	RAB11FIP2	0.238982365	10	119764427	119806114
exac_v3	FAM204A	0.923515465	10	120065401	120101840
exac_v3	PRLHR	0.33991065	10	120352916	120355160
exac_v3	CACUL1	0.903019042	10	120433679	120514761
exac_v3	EIF3A	-0.637480965	10	120794356	120840316
exac_v3	FAM45A	-0.153380071	10	120863598	120897496
exac_v3	SFXN4	-0.249637638	10	120900279	120925179
exac_v3	PRDX3	-0.638899095	10	120927215	120938345
exac_v3	GRK5	0.442358287	10	120967101	121215131
exac_v3	DHTKD1	-2.471627899	10	12110971	12165224
exac_v3	RGS10	-0.127633095	10	121259340	121302220
exac_v3	TIAL1	0.739401016	10	121334199	121356541
exac_v3	BAG3	0.3372718	10	121410882	121437331
exac_v3	INPP5F	0.884744933	10	121485609	121588652
exac_v3	MCMBP	0.420060489	10	121588972	121652068
exac_v3	SEC23IP	0.365082733	10	121652223	121702014
exac_v3	SEC61A2	-1.234886833	10	12171636	12211960
exac_v3	NUDT5	-1.200071963	10	12207324	12238143
exac_v3	PPAPDC1A	-0.022376955	10	122216466	122349367
exac_v3	CDC123	-1.794504865	10	12237964	12292588
exac_v3	WDR11	-0.127434856	10	122610687	122669036
exac_v3	ADARB2	-2.422225978	10	1228073	1779670
exac_v3	FGFR2	0.128478413	10	123237848	123357972
exac_v3	ATE1	-0.64949766	10	123499939	123688316
exac_v3	NSMCE4A	-0.77632946	10	123716603	123734732
exac_v3	TACC2	-0.610980044	10	123748689	124014060
exac_v3	CAMK1D	-0.334198029	10	12391481	12877545
exac_v3	BTBD16	0.051058252	10	124030821	124097677
exac_v3	PLEKHA1	0.617562568	10	124134212	124191867
exac_v3	HTRA1	0.647998685	10	124221041	124274424
exac_v3	C10orf120	-0.221052844	10	124457225	124459338
exac_v3	CUZD1	-0.491429941	10	124591665	124639146
exac_v3	FAM24B	-0.501035854	10	124608594	124639157
exac_v3	FAM24A	0.779789561	10	124670217	124672627
exac_v3	C10orf88	0.277375285	10	124690419	124713919
exac_v3	PSTK	0.235601796	10	124713897	124757029
exac_v3	IKZF5	0.43246083	10	124750322	124768333
exac_v3	ACADSB	0.689238912	10	124768495	124817827
exac_v3	HMX2	-0.002740594	10	124907638	124910188
exac_v3	BUB3	0.693265998	10	124913793	124924886
exac_v3	GPR26	0.262793104	10	125425871	125454123
exac_v3	CPXM2	0.269836912	10	125465723	125699783
exac_v3	CHST15	0.524010456	10	125767184	125853206
exac_v3	OAT	0.638013275	10	126085872	126107545
exac_v3	LHPP	0.009010732	10	126150403	126306457
exac_v3	RP11-12J10.3	-0.128635825	10	126305649	126480296
exac_v3	FAM53B	0.699458259	10	126307861	126432838
exac_v3	METTL10	-0.320230578	10	126436718	126480439
exac_v3	FAM175B	0.066529674	10	126490354	126525239
exac_v3	ZRANB1	0.244839898	10	126630692	126676758
exac_v3	CTBP2	0.648362098	10	126676421	126849739
exac_v3	C10orf137	0.697530873	10	127408084	127452712
exac_v3	MMP21	-0.268936173	10	127455022	127464390
exac_v3	UROS	-0.088518291	10	127477146	127511817
exac_v3	BCCIP	0.24503739	10	127512115	127542264
exac_v3	DHX32	0.574219047	10	127524906	127585005
exac_v3	FANK1	0.416968208	10	127585108	127698161
exac_v3	ADAM12	-0.255812707	10	127700950	128077024
exac_v3	C10orf90	-0.837043727	10	128113566	128359079
exac_v3	DOCK1	-0.668241737	10	128593978	129250781
exac_v3	FAM196A	0.491314637	10	128933694	128994422
exac_v3	NPS	1.107786845	10	129347613	129350935
exac_v3	CCDC3	0.363879398	10	12938627	13141652
exac_v3	CLRN3	0.363569036	10	129676105	129691211
exac_v3	PTPRE	-0.810980528	10	129705325	129884119
exac_v3	MKI67	-0.224067346	10	129894923	129924649
exac_v3	MGMT	0.18279873	10	131265448	131566271
exac_v3	OPTN	-0.280777093	10	13141449	13180291
exac_v3	EBF3	-0.236343747	10	131633547	131762105
exac_v3	GLRX3	-0.219157456	10	131934663	131982785
exac_v3	MCM10	0.971518204	10	13203554	13253104
exac_v3	UCMA	-2.471627899	10	13263767	13276334
exac_v3	TCERG1L	-0.202851369	10	132890654	133109984
exac_v3	PHYH	1.040423606	10	13319796	13344412
exac_v3	SEPHS1	-1.642065409	10	13359424	13390297
exac_v3	PPP2R2D	-1.257628938	10	133747955	133773331
exac_v3	BNIP3	-0.438468974	10	133781578	133795435
exac_v3	JAKMIP3	-0.403305443	10	133918175	133998313
exac_v3	DPYSL4	0.169339188	10	134000404	134019280
exac_v3	STK32C	-0.375958907	10	134020996	134145351
exac_v3	LRRC27	-1.005236046	10	134145614	134195010
exac_v3	PWWP2B	-0.636788693	10	134210672	134231367
exac_v3	C10orf91	-1.364077273	10	134257831	134262912
exac_v3	INPP5A	-1.396616972	10	134351324	134596979
exac_v3	NKX6-2	-2.056737738	10	134598297	134599556
exac_v3	BEND7	1.32125644	10	13480484	13570974
exac_v3	GPR123	-0.735120956	10	134884433	134945179
exac_v3	ZNF511	-2.471627899	10	135121979	135166033
exac_v3	PRAP1	-2.471627899	10	135160650	135166187
exac_v3	FUOM	-2.471627899	10	135168658	135171529
exac_v3	ECHS1	-2.418128865	10	135175984	135187193
exac_v3	PAOX	-2.471627899	10	135192695	135205198
exac_v3	PRPF18	-0.49221579	10	13628927	13672868
exac_v3	RP11-295P9.3	-0.686466189	10	13652047	13710299
exac_v3	FRMD4A	0.2678122	10	13685706	14504141
exac_v3	FAM107B	0.732899011	10	14560556	14816896
exac_v3	CDNF	1.143663583	10	14861249	14880574
exac_v3	HSPA14	1.377300309	10	14880163	14913740
exac_v3	SUV39H2	1.10371211	10	14920819	14946314
exac_v3	DCLRE1C	-2.471627899	10	14939358	14996431
exac_v3	MEIG1	-2.471627899	10	15001438	15030049
exac_v3	OLAH	0.010783204	10	15074226	15115851
exac_v3	ACBD7	0.437506539	10	15119522	15130775
exac_v3	C10orf111	0.306931025	10	15137384	15139318
exac_v3	NMT2	0.861787693	10	15144583	15210692
exac_v3	FAM171A1	0.259250747	10	15253642	15413061
exac_v3	ITGA8	-1.734475306	10	15555948	15762124
exac_v3	FAM188A	-0.155535404	10	15820169	15902519
exac_v3	PTER	0.509126803	10	16478942	16555736
exac_v3	C1QL3	0.240034468	10	16555742	16564004
exac_v3	RSU1	-0.163174569	10	16632610	16859527
exac_v3	CUBN	0.052544782	10	16865963	17171830
exac_v3	TRDMT1	0.553929454	10	17184253	17244053
exac_v3	VIM	0.613347061	10	17270258	17279592
exac_v3	ST8SIA6	-0.420027626	10	17360382	17496329
exac_v3	PTPLA	0.244981408	10	17631958	17659376
exac_v3	ZMYND11	-1.818863935	10	180405	300577
exac_v3	CACNB2	-0.428233718	10	18429606	18830798
exac_v3	NSUN6	-0.716591485	10	18834490	18940551
exac_v3	RP11-139J15.7	0.157873792	10	18931405	18944123
exac_v3	ARL5B	0.03108779	10	18948334	18970568
exac_v3	PLXDC2	0.487533876	10	20105168	20578785
exac_v3	NEBL	0.601789098	10	21068902	21463116
exac_v3	C10orf113	1.169168843	10	21414692	21435488
exac_v3	CASC10	0.650931519	10	21781587	21786191
exac_v3	SKIDA1	-0.107599594	10	21802407	21814611
exac_v3	MLLT10	0.358007855	10	21823094	22032559
exac_v3	DNAJC1	0.416739108	10	22045466	22292698
exac_v3	COMMD3	-1.396028206	10	22604903	22609235
exac_v3	COMMD3-BMI1	-1.787994501	10	22605317	22618471
exac_v3	BMI1	-1.402005517	10	22610140	22620413
exac_v3	SPAG6	0.71722297	10	22634399	22743153
exac_v3	PIP4K2A	0.361386044	10	22823778	23003484
exac_v3	ARMC3	0.70459671	10	23216953	23326518
exac_v3	MSRB2	0.859242985	10	23384435	23410942
exac_v3	PTF1A	0.858798076	10	23481256	23483181
exac_v3	KIAA1217	0.953811828	10	23983675	24836772
exac_v3	ARHGAP21	1.260818199	10	24872538	25012597
exac_v3	PRTFDC1	-0.277527987	10	25137536	25241533
exac_v3	ENKUR	1.020460527	10	25270908	25305089
exac_v3	THNSL1	0.406287986	10	25305587	25315593
exac_v3	GPR158	0.881376447	10	25463991	25891155
exac_v3	MYO3A	0.088328664	10	26223196	26501456
exac_v3	GAD2	0.593319493	10	26505236	26593487
exac_v3	APBB1IP	-0.468998521	10	26727132	26856732
exac_v3	PDSS1	1.284077481	10	26986588	27035727
exac_v3	ABI1	0.353451858	10	27035522	27150016
exac_v3	ANKRD26	0.219152636	10	27280843	27389421
exac_v3	YME1L1	0.214881163	10	27399383	27444195
exac_v3	MASTL	-0.504809568	10	27443753	27475853
exac_v3	ACBD5	-0.585242246	10	27484146	27531059
exac_v3	PTCHD3	-2.471627899	10	27687116	27703297
exac_v3	RAB18	-0.722681734	10	27793197	27831143
exac_v3	MKX	0.554877481	10	27961804	28034989
exac_v3	ARMC4	0.562708708	10	28064115	28287977
exac_v3	MPP7	0.310320634	10	28339922	28623415
exac_v3	WAC	1.356646266	10	28821422	28912041
exac_v3	BAMBI	0.580252253	10	28966271	28971868
exac_v3	LYZL1	0.334964141	10	29577990	29607257
exac_v3	KIAA1462	0.803536775	10	30301729	30404423
exac_v3	MTPAP	0.757580262	10	30598730	30663377
exac_v3	MAP3K8	0.303321759	10	30722866	30750762
exac_v3	LYZL2	-0.48038636	10	30900718	30918691
exac_v3	ZNF438	-0.733376908	10	31109136	31320866
exac_v3	ZEB1	0.848047194	10	31607424	31818742
exac_v3	PITRM1	-0.752499632	10	3179920	3215003
exac_v3	DIP2C	-0.70278279	10	320130	735683
exac_v3	ARHGAP12	1.222825702	10	32094365	32217742
exac_v3	KIF5B	1.425232637	10	32297938	32345359
exac_v3	EPC1	0.501512026	10	32556679	32667726
exac_v3	CCDC7	-0.339584268	10	32735068	32863492
exac_v3	C10orf68	-1.22912691	10	32832297	33171802
exac_v3	ITGB1	-0.089049713	10	33189247	33294720
exac_v3	NRP1	-0.767449514	10	33466420	33625190
exac_v3	PARD3	-1.38456787	10	34398488	35104253
exac_v3	CUL2	-1.854802246	10	35297479	35379570
exac_v3	CREM	-2.352714347	10	35415719	35501886
exac_v3	CCNY	0.363424822	10	35535953	35860852
exac_v3	GJD4	0.548570829	10	35894338	35897863
exac_v3	FZD8	0.023102487	10	35927177	35930362
exac_v3	NAMPTL	1.41550937	10	36810649	36813162
exac_v3	ZNF248	-0.407803591	10	38091751	38147034
exac_v3	KLF6	0.741078114	10	3818188	3827473
exac_v3	ZNF25	-0.131356759	10	38238500	38265561
exac_v3	ZNF33A	-0.332143225	10	38299578	38354016
exac_v3	ZNF37A	-0.920444769	10	38383264	38414472
exac_v3	ZNF33B	-0.743511707	10	43084555	43133992
exac_v3	BMS1	-2.471627899	10	43278249	43330385
exac_v3	RET	0.956469604	10	43572475	43625799
exac_v3	CSGALNACT2	1.204711522	10	43633934	43680756
exac_v3	RASGEF1A	1.433599106	10	43689983	43762367
exac_v3	FXYD4	1.236460779	10	43867090	43871783
exac_v3	HNRNPF	0.679713519	10	43881065	43904614
exac_v3	ZNF239	0.735053142	10	44051792	44070066
exac_v3	ZNF485	0.602272053	10	44101855	44113351
exac_v3	ZNF32	1.048068961	10	44139307	44144304
exac_v3	CXCL12	0.116269035	10	44793038	44881941
exac_v3	TMEM72	0.948298707	10	45406648	45432450
exac_v3	RASSF4	0.751793019	10	45454855	45491339
exac_v3	C10orf10	0.537458779	10	45466429	45474258
exac_v3	OR13A1	0.101733917	10	45798102	45811056
exac_v3	ALOX5	0.561532416	10	45869661	45941561
exac_v3	MARCH8	0.081682703	10	45950035	46090354
exac_v3	ZFAND4	-1.490794339	10	46111043	46168228
exac_v3	AKR1E2	-0.17732792	10	4828821	4890254
exac_v3	ZNF488	1.589004756	10	48355024	48373866
exac_v3	RBP3	-0.775325829	10	48381487	48390991
exac_v3	GDF2	-0.617273644	10	48413092	48416853
exac_v3	GDF10	-0.199641951	10	48425815	48438976
exac_v3	AKR1C1	-2.471627899	10	4934796	5025475
exac_v3	MAPK8	-1.396401697	10	49514698	49647403
exac_v3	ARHGAP22	-1.615795089	10	49654077	49864310
exac_v3	LRRC18	-0.404638641	10	50117528	50143242
exac_v3	AKR1C2	-2.471627899	10	5029967	5060223
exac_v3	C10orf128	-1.992551098	10	50362773	50396630
exac_v3	DRGX	-1.973011636	10	50572237	50603497
exac_v3	ERCC6	-0.733759515	10	50663414	50747584
exac_v3	PGBD3	-1.394328109	10	50723151	50747086
exac_v3	ERCC6-PGBD3	-1.394360428	10	50723247	50747584
exac_v3	AKR1C3	-1.110118098	10	5077546	5149878
exac_v3	CHAT	-0.889680165	10	50817141	50901925
exac_v3	SLC18A3	-1.947030161	10	50818347	50820765
exac_v3	OGDHL	-1.397336861	10	50942689	50970425
exac_v3	MSMB	-0.664686913	10	51549498	51562517
exac_v3	NCOA4	-0.754829136	10	51565108	51590734
exac_v3	AKR1CL1	-2.471627899	10	5196335	5244449
exac_v3	SGMS1	-2.471627899	10	52065360	52384923
exac_v3	AKR1C4	-1.306802826	10	5237425	5260912
exac_v3	PRKG1	-0.153471125	10	52750945	54058110
exac_v3	CSTF2T	0.013135626	10	53455247	53459355
exac_v3	UCN3	0.169880023	10	5406972	5416169
exac_v3	DKK1	-0.896387563	10	54074056	54077802
exac_v3	TUBAL3	0.49674826	10	5435061	5446793
exac_v3	MBL2	-2.471627899	10	54525140	54531460
exac_v3	NET1	0.543527281	10	5454514	5500426
exac_v3	CALML5	-0.148498996	10	5540658	5541533
exac_v3	PCDH15	-0.270961846	10	55562531	57387702
exac_v3	CALML3	-0.114534049	10	5566924	5568225
exac_v3	ASB13	-2.471627899	10	5680830	5708558
exac_v3	FAM208B	1.149952936	10	5726801	5805703
exac_v3	GDI2	1.075526583	10	5807186	5884095
exac_v3	ZWINT	-0.580132448	10	58116989	58121036
exac_v3	ANKRD16	-0.304101007	10	5903580	5931869
exac_v3	FBXO18	0.882925306	10	5931535	5979556
exac_v3	IL15RA	0.569697272	10	5990855	6020150
exac_v3	IPMK	0.932024329	10	59951278	60027694
exac_v3	CISD1	0.732968086	10	60028818	60049346
exac_v3	UBE2D1	0.812597902	10	60094735	60130513
exac_v3	TFAM	1.094144647	10	60144782	60158981
exac_v3	BICC1	0.459014599	10	60272900	60591195
exac_v3	IL2RA	0.433404384	10	6052652	6104288
exac_v3	PHYHIPL	0.004977384	10	60936350	61007534
exac_v3	FAM13C	0.725844558	10	61005890	61122939
exac_v3	RBM17	-0.498509527	10	6130950	6159420
exac_v3	SLC16A9	1.054775058	10	61410523	61495760
exac_v3	CCDC6	0.513854343	10	61548521	61666414
exac_v3	ANK3	1.663077806	10	61786056	62493248
exac_v3	PFKFB3	-0.30348317	10	6186881	6277495
exac_v3	CDK1	0.887988809	10	62538089	62554610
exac_v3	RHOBTB1	0.917132158	10	62629196	62761198
exac_v3	TMEM26	1.003313557	10	63166401	63213208
exac_v3	C10orf107	1.06448827	10	63422719	63526524
exac_v3	ARID5B	1.116162573	10	63661059	63856703
exac_v3	RTKN2	0.123340172	10	63942794	64028466
exac_v3	ZNF365	-2.471627899	10	64133951	64431771
exac_v3	EGR2	0.92697671	10	64571756	64679660
exac_v3	PRKCQ	0.919853687	10	6469105	6622263
exac_v3	NRBF2	0.363056198	10	64893050	64914783
exac_v3	JMJD1C	1.124965742	10	64926981	65225722
exac_v3	REEP3	0.556901357	10	65281123	65384883
exac_v3	CTNNA3	-2.471627899	10	67672276	69455927
exac_v3	LRRTM3	-0.16099861	10	68685764	68859588
exac_v3	DNAJC12	0.290538413	10	69556427	69597924
exac_v3	SIRT1	0.630583046	10	69644427	69678147
exac_v3	HERC4	0.717144702	10	69681665	69835105
exac_v3	MYPN	0.157469747	10	69865912	69971774
exac_v3	PBLD	0.560665267	10	70042417	70092806
exac_v3	HNRNPH3	1.377403997	10	70090931	70102948
exac_v3	RUFY2	0.500772887	10	70100864	70167051
exac_v3	DNA2	-0.798475666	10	70173821	70231879
exac_v3	SLC25A16	-1.088345906	10	70237756	70287231
exac_v3	TET1	1.113142276	10	70320413	70454239
exac_v3	CCAR1	1.368384836	10	70480769	70552134
exac_v3	STOX1	0.611466815	10	70587298	70655188
exac_v3	DDX50	1.165677051	10	70661034	70706603
exac_v3	DDX21	-0.468210497	10	70715884	70744829
exac_v3	KIAA1279	0.546698987	10	70748487	70776738
exac_v3	SRGN	0.952145756	10	70847862	70864567
exac_v3	VPS26A	0.826598368	10	70883268	70932617
exac_v3	SUPV3L1	0.36625704	10	70939988	70968855
exac_v3	HKDC1	0.275583854	10	70980059	71027315
exac_v3	HK1	1.320979981	10	71029740	71161638
exac_v3	TACR2	0.478884912	10	71163659	71176623
exac_v3	TSPAN15	0.99638901	10	71211229	71267425
exac_v3	NEUROG3	0.466261326	10	71331454	71332994
exac_v3	C10orf35	0.621519698	10	71390007	71393352
exac_v3	COL13A1	-0.391314475	10	71561644	71724031
exac_v3	H2AFY2	1.080226263	10	71812552	71872036
exac_v3	AIFM2	1.094925339	10	71857979	71892690
exac_v3	TYSND1	0.558484617	10	71897737	71906432
exac_v3	SAR1A	1.347412037	10	71907045	71930279
exac_v3	PPA1	0.420721823	10	71962586	71993667
exac_v3	SFMBT2	0.793142177	10	7200586	7453450
exac_v3	NPFFR1	0.427069495	10	72007085	72043432
exac_v3	LRRC20	0.685446928	10	72058729	72142382
exac_v3	EIF4EBP2	0.362855804	10	72164135	72188374
exac_v3	NODAL	0.740932827	10	72192071	72207707
exac_v3	AC022532.1	0.544147583	10	72194585	72196314
exac_v3	PALD1	0.078400116	10	72238577	72328205
exac_v3	PRF1	0.477110486	10	72357104	72362531
exac_v3	ADAMTS14	0.250319998	10	72432559	72522197
exac_v3	TBATA	-0.227133164	10	72530995	72545157
exac_v3	SGPL1	0.805423647	10	72575717	72640930
exac_v3	PCBD1	0.743603839	10	72642037	72648541
exac_v3	UNC5B	0.287105411	10	72972327	73062621
exac_v3	SLC29A3	-0.752324162	10	73079015	73123142
exac_v3	CDH23	0.775122203	10	73156691	73575702
exac_v3	C10orf54	0.426515763	10	73507316	73533255
exac_v3	PSAP	0.465791985	10	73576055	73611126
exac_v3	CHST3	0.309586805	10	73724123	73773322
exac_v3	SPOCK2	0.872001988	10	73818793	73848790
exac_v3	ASCC1	-0.715383589	10	73856278	73976892
exac_v3	ANAPC16	1.041178585	10	73975787	73995618
exac_v3	DDIT4	0.970965421	10	74033678	74035794
exac_v3	DNAJB12	1.224659498	10	74092588	74114988
exac_v3	MICU1	0.919318645	10	74127098	74385899
exac_v3	OIT3	0.703365357	10	74653339	74692791
exac_v3	PLA2G12B	0.688148457	10	74694928	74714536
exac_v3	P4HA1	0.257875466	10	74766975	74856732
exac_v3	NUDT13	-0.081885652	10	74870217	74891586
exac_v3	ECD	0.428067799	10	74889913	74928813
exac_v3	DNAJC9	-0.374451087	10	74943120	75008620
exac_v3	MRPS16	-2.471627899	10	75006510	75012451
exac_v3	TTC18	-2.471627899	10	75013517	75118617
exac_v3	ANXA7	0.755771364	10	75134859	75173834
exac_v3	MSS51	1.000487397	10	75183339	75193319
exac_v3	PPP3CB	0.813011364	10	75196186	75255782
exac_v3	MYOZ1	0.214852968	10	75391412	75401515
exac_v3	AGAP5	-0.001428324	10	75434033	75457639
exac_v3	SEC24C	0.887579557	10	75504120	75531919
exac_v3	FUT11	0.328016525	10	75532049	75540009
exac_v3	CHCHD1	0.984236346	10	75541805	75543410
exac_v3	ZSWIM8	1.049777069	10	75545340	75561551
exac_v3	RP11-574K11.31	1.181968296	10	75556272	75571409
exac_v3	NDST2	1.19291329	10	75561669	75571589
exac_v3	CAMK2G	0.365013786	10	75572259	75634343
exac_v3	PLAU	0.47303052	10	75668935	75677255
exac_v3	C10orf55	0.05548817	10	75669727	75682535
exac_v3	VCL	0.968182272	10	75757872	75879918
exac_v3	AP3M1	0.637707918	10	75881524	75910821
exac_v3	ADK	1.235488411	10	75910960	76469061
exac_v3	ITIH5	0.227137831	10	7601232	7708961
exac_v3	KAT6B	0.224684178	10	76585340	76792380
exac_v3	DUPD1	-0.18035045	10	76797594	76818272
