database	gene	score	chr	start	stop
haploins_v3	LY6K	0.000240504	8	143781529	143786545
haploins_v3	C10orf111	0.000240658	10	15137384	15139318
haploins_v3	PRR21	0.000242527	2	240981230	240982399
haploins_v3	CMTM1	0.000243175	16	66600294	66613040
haploins_v3	FAM187B	0.000243224	19	35715703	35719632
haploins_v3	DNAH10OS	0.000246035	12	124410971	124419531
haploins_v3	CCL23	0.000246136	17	34340096	34345005
haploins_v3	IFNA5	0.000247304	9	21304613	21305312
haploins_v3	C1orf220	0.000249046	1	178511887	178518024
haploins_v3	AHNAK2	0.000253171	14	105403581	105444694
haploins_v3	CD46	0.000253388	1	207925402	207968858
haploins_v3	RGL4	0.000254175	22	24030323	24041363
haploins_v3	C14orf132	0.000254661	14	96505661	96560417
haploins_v3	SECTM1	0.000255021	17	80278900	80291950
haploins_v3	TARM1	0.000256299	19	54573149	54584634
haploins_v3	IZUMO1	0.000257299	19	49244109	49250166
haploins_v3	SPANXN1	0.000260128	X	144328348	144337632
haploins_v3	CEACAM3	0.000261401	19	42300369	42315591
haploins_v3	APOBEC3A	0.000261531	22	39348746	39359188
haploins_v3	SPATA31D1	0.000261549	9	84603687	84610171
haploins_v3	WFDC11	0.000262446	20	44277202	44298909
haploins_v3	APOL2	0.000262519	22	36622256	36636000
haploins_v3	SCML1	0.000266841	X	17755588	17773105
haploins_v3	C11orf45	0.000267075	11	128769460	128775930
haploins_v3	CCL15	0.000268944	17	34324617	34329084
haploins_v3	STATH	0.000270162	4	70861647	70868287
haploins_v3	FBXW12	0.000273371	3	48413709	48442666
haploins_v3	CMTM2	0.000274735	16	66613351	66622178
haploins_v3	BLACE	0.00027534	7	155149680	155160629
haploins_v3	TCL1B	0.000276263	14	96152754	96158980
haploins_v3	MAS1L	0.000276805	6	29454474	29455738
haploins_v3	ZSCAN5A	0.000278912	19	56732681	56879752
haploins_v3	C10orf25	0.000278924	10	45493146	45496336
haploins_v3	CT47B1	0.000279084	X	120006457	120009779
haploins_v3	OR14I1	0.000279387	1	248844628	248845629
haploins_v3	ULBP2	0.000282598	6	150263136	150270371
haploins_v3	TNFRSF10A	0.000282843	8	23047965	23082639
haploins_v3	MAP7D3	0.000285035	X	135295381	135338641
haploins_v3	FAM24A	0.000286766	10	124670217	124672627
haploins_v3	CXorf66	0.000287232	X	139037884	139047679
haploins_v3	APOBEC3D	0.000290532	22	39410368	39429281
haploins_v3	RLN1	0.000291515	9	5334969	5339873
haploins_v3	TCEB3CL	0.000292282	18	44548658	44550534
haploins_v3	SLFN12	0.000293128	17	33738079	33760302
haploins_v3	MIR1-1HG	0.000293671	20	61147660	61167971
haploins_v3	RFPL4B	0.00029538	6	112668532	112672498
haploins_v3	OR14K1	0.000295551	1	247901917	247902861
haploins_v3	GLT6D1	0.000296693	9	138515502	138531386
haploins_v3	C14orf177	0.000297765	14	99177950	99184098
haploins_v3	KIAA1683	0.000297901	19	18367908	18385319
haploins_v3	NPAP1	0.000297949	15	24920541	24928593
haploins_v3	TCEB3B	0.000300747	18	44558943	44561988
haploins_v3	MUC7	0.000300846	4	71296209	71348714
haploins_v3	C9orf47	0.000303211	9	91605778	91611055
haploins_v3	APOBEC3C	0.000308257	22	39410088	39416357
haploins_v3	LINC01600	0.000309699	6	2622147	2634837
haploins_v3	FAM153A	0.000309836	5	177134982	177210399
haploins_v3	GYPB	0.000311955	4	144917257	145061844
haploins_v3	ZNF665	0.000313928	19	53662466	53696639
haploins_v3	C8orf17	0.00031734	8	140943416	140946190
haploins_v3	NLRP9	0.000317938	19	56219798	56249768
haploins_v3	MUC21	0.000319297	6	30951495	30957680
haploins_v3	CT62	0.000320452	15	71402583	71407833
haploins_v3	PRAMEF12	0.000322758	1	12834984	12838049
haploins_v3	OR14A16	0.000324308	1	247978102	247979031
haploins_v3	PROL1	0.00032461	4	71263599	71275911
haploins_v3	CD300LB	0.000325377	17	72517313	72527613
haploins_v3	APOBEC3B	0.000325736	22	39378352	39388809
haploins_v3	GLYATL2	0.000328807	11	58601542	58671688
haploins_v3	APOL1	0.000329557	22	36649056	36663576
haploins_v3	LCN1	0.000331729	9	138413284	138418378
haploins_v3	LCN12	0.000332469	9	139844003	139849949
haploins_v3	ZNF266	0.000333006	19	9523272	9546254
haploins_v3	OBP2A	0.000333312	9	138437985	138441815
haploins_v3	C1orf147	0.000333634	1	206664449	206671061
haploins_v3	LENG9	0.000334699	19	54972981	54974894
haploins_v3	TAS2R19	0.000335865	12	11174218	11175219
haploins_v3	HSFX1	0.000336056	X	148855726	148858525
haploins_v3	IDI2	0.000337441	10	1064847	1071799
haploins_v3	SATL1	0.000341371	X	84347293	84364054
haploins_v3	ZNF749	0.000341563	19	57946697	57956853
haploins_v3	GTSCR1	0.000345697	18	68297755	68317980
haploins_v3	MCEMP1	0.000349414	19	7741514	7744712
haploins_v3	FAM153B	0.000349648	5	175487692	175559261
haploins_v3	LAIR1	0.000351242	19	54865362	54882165
haploins_v3	SCGB1D4	0.000351394	11	62063754	62066536
haploins_v3	C20orf197	0.000355428	20	58630980	58648008
haploins_v3	IL36B	0.00035586	2	113779668	113810444
haploins_v3	KRTAP25-1	0.000356616	21	31661463	31661832
haploins_v3	FAM153C	0.000358771	5	177433406	177482560
haploins_v3	SPANXB1	0.000361481	X	140096761	140097876
haploins_v3	BTNL8	0.000363507	5	180326077	180377906
haploins_v3	ZNF256	0.000363545	19	58452201	58459043
haploins_v3	CXCL16	0.000363765	17	4636821	4643217
haploins_v3	BST2	0.000364798	19	17513748	17516457
haploins_v3	IGFL2	0.000365136	19	46646363	46664556
haploins_v3	CDH26	0.000365756	20	58533471	58609066
haploins_v3	CEMP1	0.0003661	16	2577081	2581420
haploins_v3	KIAA1210	0.000369314	X	118212598	118284542
haploins_v3	POM121L12	0.000369874	7	53103349	53104617
haploins_v3	NLRP5	0.000370578	19	56511092	56573179
haploins_v3	RAET1L	0.000372148	6	150339470	150346668
haploins_v3	PRG2	0.000374243	11	57154267	57158130
haploins_v3	BTN3A2	0.000374625	6	26365387	26378546
haploins_v3	DEFA4	0.000374741	8	6793344	6795860
haploins_v3	TCP10L2	0.00037508	6	167559902	167610401
haploins_v3	C8orf31	0.000375865	8	144120626	144141359
haploins_v3	RAET1G	0.000376851	6	150238014	150244257
haploins_v3	SPATA31A3	0.000379004	9	40700291	40706537
haploins_v3	SSBP3-AS1	0.000379122	1	54703710	54704736
haploins_v3	ZSCAN5D	0.000379515	19	56751773	56758863
haploins_v3	DEFA3	0.000379842	8	6873391	6875823
haploins_v3	SIGLEC8	0.000379847	19	51954101	51961710
haploins_v3	BTN3A3	0.000381223	6	26440700	26453643
haploins_v3	LRRC27	0.00038144	10	134145614	134195010
haploins_v3	SIGLEC11	0.000383369	19	50452242	50464429
haploins_v3	PRAMEF10	0.0003837	1	12952727	12958101
haploins_v3	NLRP8	0.000383915	19	56459198	56499995
haploins_v3	MRGPRX4	0.000383933	11	18194384	18195827
haploins_v3	GSDMC	0.000384001	8	130760442	130799134
haploins_v3	ULBP1	0.000385425	6	150285143	150294846
haploins_v3	TREML4	0.0003863	6	41196062	41206620
haploins_v3	TREM1	0.000386887	6	41235664	41254457
haploins_v3	CEACAM4	0.00038728	19	42125344	42133442
haploins_v3	PYHIN1	0.000387631	1	158900586	158946844
haploins_v3	WFDC10B	0.000388169	20	44313292	44333658
haploins_v3	ZNF114	0.000389534	19	48675575	48790865
haploins_v3	LYPD8	0.000390023	1	248902716	248903150
haploins_v3	CEACAM18	0.000390777	19	51979838	51994206
haploins_v3	C2orf57	0.00039115	2	232457575	232458994
haploins_v3	SIGLEC6	0.000393182	19	52022779	52035110
haploins_v3	ERICH6B	0.000395053	13	46108657	46189874
haploins_v3	AKAP14	0.000395623	X	119029800	119054679
haploins_v3	LINC01556	0.000396706	6	28911654	28912314
haploins_v3	PIK3CD-AS1	0.000398247	1	9712668	9714644
haploins_v3	ZNF347	0.000399197	19	53627325	53662328
haploins_v3	TNFSF9	0.000400628	19	6531010	6535931
haploins_v3	KRTAP20-3	0.000400999	21	32015183	32015455
haploins_v3	FAM24B	0.00040106	10	124608594	124639157
haploins_v3	MRGPRD	0.000401476	11	68747490	68748455
haploins_v3	CT55	0.000403592	X	134290461	134305322
haploins_v3	LUZP4	0.000404323	X	114524293	114542121
haploins_v3	WFDC9	0.000406066	20	44236578	44259907
haploins_v3	MAGEB5	0.000406318	X	26234286	26236387
haploins_v3	ZNF418	0.000406463	19	58433252	58446761
haploins_v3	OR2T3	0.000408402	1	248636627	248637634
haploins_v3	FSCB	0.000408542	14	44973545	44976482
haploins_v3	PRSS21	0.000409151	16	2867164	2876305
haploins_v3	H2BFWT	0.000409508	X	103265719	103268259
haploins_v3	GAS8-AS1	0.000409624	16	90095316	90096309
haploins_v3	C6orf48	0.000410106	6	31802385	31807541
haploins_v3	SEMG2	0.000410454	20	43849941	43853099
haploins_v3	APOBEC3F	0.000410636	22	39436609	39449915
haploins_v3	WFDC8	0.0004131	20	44179792	44207965
haploins_v3	CD177	0.000416107	19	43857811	43867480
haploins_v3	CCRL2	0.000417703	3	46448654	46454488
haploins_v3	C7orf69	0.000418768	7	47834889	47859445
haploins_v3	NLRP11	0.00041918	19	56296770	56348166
haploins_v3	IFNA10	0.00042174	9	21206180	21207142
haploins_v3	SPACA7	0.000422564	13	113030633	113089003
haploins_v3	MAGEA4	0.000422797	X	151080981	151093642
haploins_v3	FAM71E2	0.000423071	19	55866276	55874628
haploins_v3	C9orf62	0.000423696	9	138235095	138238408
haploins_v3	C14orf144	0.000424095	14	104710541	104712473
haploins_v3	MAGEB4	0.000425339	X	30260057	30262293
haploins_v3	PRAMEF4	0.000426314	1	12939045	12946025
haploins_v3	CT45A2	0.000427409	X	134866214	134874614
haploins_v3	UMODL1-AS1	0.000431351	21	43522244	43528644
haploins_v3	LCN9	0.000432035	9	138555168	138558268
haploins_v3	CDKN2A-AS1	0.00043204	9	21967137	21967738
haploins_v3	C9orf163	0.000432882	9	139377947	139380518
haploins_v3	OR7G2	0.000433544	19	9212945	9213982
haploins_v3	TAS2R31	0.000433793	12	11182986	11184006
haploins_v3	KRTAP20-4	0.000436166	21	31992946	31993169
haploins_v3	SPN	0.000436309	16	29674300	29682187
haploins_v3	RTP5	0.000437033	2	242811752	242815975
haploins_v3	LINC01565	0.000439223	3	128290843	128294929
haploins_v3	ZNF844	0.000439926	19	12175514	12192380
haploins_v3	PRR26	0.000439928	10	695888	711109
haploins_v3	CD300C	0.000441293	17	72537247	72542282
haploins_v3	GCNT6	0.000442323	6	10633993	10647501
haploins_v3	CT47A1	0.000444829	X	120111460	120119642
haploins_v3	SLC22A18AS	0.000446691	11	2909010	2924970
haploins_v3	SPATA33	0.000447082	16	89724210	89737680
haploins_v3	MSMB	0.000448438	10	51549498	51562517
haploins_v3	DEFA6	0.000449361	8	6782215	6783598
haploins_v3	ADAM30	0.000450151	1	120436156	120439118
haploins_v3	KRTAP21-3	0.00045016	21	32090843	32091095
haploins_v3	LINC01599	0.000452825	14	50550369	50559361
haploins_v3	RFPL4AL1	0.000453762	19	56280507	56284545
haploins_v3	FMR1NB	0.000454015	X	147062849	147108187
haploins_v3	MAGEA10	0.000454799	X	151301782	151307033
haploins_v3	C17orf112	0.000455697	17	51062880	51065012
haploins_v3	ARRDC1-AS1	0.000457906	9	140509784	140513358
haploins_v3	SPATA32	0.000459691	17	43331760	43339479
haploins_v3	C19orf57	0.000460026	19	13993161	14017265
haploins_v3	CEACAM21	0.000460252	19	42055886	42093197
haploins_v3	LINC01006	0.000460586	7	156431057	156433348
haploins_v3	TPRXL	0.000462556	3	13978756	14124311
haploins_v3	BEND2	0.00046264	X	18181051	18239024
haploins_v3	C9orf153	0.000465094	9	88835180	88874572
haploins_v3	CTAG1A	0.000465597	X	153813417	153815075
haploins_v3	MAGEB6	0.000465681	X	26210557	26213763
haploins_v3	CD33	0.000465895	19	51728320	51747115
haploins_v3	H2BFM	0.000467272	X	103268269	103297021
haploins_v3	KRTAP22-1	0.000468891	21	31973414	31973612
haploins_v3	PRAMEF18	0.000472227	1	13474052	13477569
haploins_v3	SMIM6	0.000472756	17	73642323	73644057
haploins_v3	B3GALT5-AS1	0.00047299	21	40969074	40984748
haploins_v3	LEUTX	0.000473666	19	40267235	40276775
haploins_v3	MRGPRX1	0.000474537	11	18955360	18961054
haploins_v3	BAALC-AS2	0.000474634	8	104145191	104153703
haploins_v3	C11orf21	0.000478003	11	2316875	2324279
haploins_v3	FCAR	0.000479395	19	55385704	55401838
haploins_v3	C6orf99	0.000483731	6	159290971	159331385
haploins_v3	ZDHHC11	0.000483764	5	710471	851101
haploins_v3	PRAMEF1	0.000484368	1	12851546	12856777
haploins_v3	LILRA5	0.000484567	19	54818353	54824409
haploins_v3	MICA	0.000484981	6	31371356	31383092
haploins_v3	ZNF57	0.000485531	19	2900896	2918474
haploins_v3	TMEM105	0.000486299	17	79285074	79304474
haploins_v3	DNAAF1	0.000486573	16	84178865	84212373
haploins_v3	IFI16	0.000487278	1	158969758	159024945
haploins_v3	IGSF23	0.000487901	19	45116940	45140081
haploins_v3	TMIGD2	0.000488929	19	4292229	4302428
haploins_v3	CT45A3	0.000489652	X	134883488	134891885
haploins_v3	SLAMF6	0.000490904	1	160454820	160493052
haploins_v3	LINC01552	0.000490949	10	23492745	23528745
haploins_v3	GYPE	0.000492079	4	144792020	144826716
haploins_v3	PRB1	0.000493468	12	11504757	11548500
haploins_v3	PRR4	0.000493683	12	10977559	11324212
haploins_v3	NLRP13	0.000496245	19	56403065	56443702
haploins_v3	IFNA7	0.000497638	9	21201468	21202204
haploins_v3	FAM111B	0.000497758	11	58874658	58894883
haploins_v3	IQCF3	0.000498271	3	51851620	51864876
haploins_v3	KLRC2	0.000499096	12	10579453	10594899
haploins_v3	ORM2	0.000499849	9	117092149	117095532
haploins_v3	RFPL3S	0.000501381	22	32755893	32778039
haploins_v3	ZNF835	0.000503924	19	57174020	57183151
haploins_v3	CT45A4	0.000504008	X	134928331	134953994
haploins_v3	SIGLEC7	0.00050422	19	51645556	51656783
haploins_v3	C12orf77	0.000505571	12	25146358	25150453
haploins_v3	SPANXA1	0.000506579	X	140671796	140673133
haploins_v3	DEFA5	0.000507065	8	6912831	6914256
haploins_v3	PRAMEF6	0.000511467	1	12998181	13117751
haploins_v3	ZNF845	0.000511748	19	53837002	53858122
haploins_v3	ZDHHC11B	0.000513161	5	710475	767067
haploins_v3	PSG6	0.000514276	19	43406231	43423715
haploins_v3	C3orf56	0.000514926	3	126911974	126917025
haploins_v3	DEFB1	0.000516667	8	6728097	6735544
haploins_v3	NBPF6	0.000516677	1	108918421	109013624
haploins_v3	DPCR1	0.000518122	6	30908749	30921998
haploins_v3	PRG3	0.000518863	11	57144242	57148623
haploins_v3	MYEOV	0.000521304	11	69061605	69182494
haploins_v3	OR2M3	0.000521336	1	248366332	248367392
haploins_v3	ZNF600	0.000522565	19	53267448	53290044
haploins_v3	PRAMEF11	0.000522969	1	13052394	13052998
haploins_v3	TMEM225	0.000523534	11	123753633	123756349
haploins_v3	INSL4	0.000524718	9	5231419	5235304
haploins_v3	FCER1A	0.00052503	1	159259504	159278014
haploins_v3	C9orf170	0.000525089	9	89763559	89774471
haploins_v3	PRAMEF20	0.00052591	1	13736907	13747803
haploins_v3	NBPF3	0.000527423	1	21766621	21811498
haploins_v3	FCRL5	0.00052806	1	157483167	157522310
haploins_v3	KIR3DL3	0.000528519	19	55235984	55248003
haploins_v3	SIGLEC10	0.000531451	19	51913275	51921057
haploins_v3	LRRC37A2	0.000531843	17	44588877	44633016
haploins_v3	CFHR3	0.000532175	1	196743925	196763203
haploins_v3	OBP2B	0.000533069	9	136080664	136084630
haploins_v3	PRAMEF7	0.00053384	1	12976450	12980569
haploins_v3	APOBEC3G	0.000537592	22	39436924	39483748
haploins_v3	PRB3	0.000537603	12	11418857	11422739
haploins_v3	PRNT	0.000541215	20	4711928	4721314
haploins_v3	FLG2	0.000542736	1	152321211	152332482
haploins_v3	LINC00908	0.000543038	18	74240612	74322925
haploins_v3	CT45A5	0.000543107	X	134928331	134953994
haploins_v3	OXLD1	0.000544351	17	79632066	79633665
haploins_v3	CFHR5	0.00054448	1	196946667	196978804
haploins_v3	KRTAP12-4	0.000545287	21	46074130	46074576
haploins_v3	PSG1	0.00054575	19	43370616	43383974
haploins_v3	SEMG1	0.000548514	20	43835638	43838413
haploins_v3	ZNF587B	0.000550298	19	58331099	58370018
haploins_v3	MS4A14	0.000550519	11	60146003	60185161
haploins_v3	TRIM31	0.000551047	6	30070674	30080883
haploins_v3	TCEB3C	0.00055121	18	44554573	44556449
haploins_v3	ZNF530	0.000552199	19	58111253	58124090
haploins_v3	OR13C5	0.000552769	9	107360737	107361694
haploins_v3	COX8C	0.000553736	14	93813537	93814702
haploins_v3	ZNF71	0.000554755	19	57106632	57137849
haploins_v3	MS4A12	0.000555931	11	60260251	60274903
haploins_v3	FAM90A26	0.00055663	4	9172135	9178453
haploins_v3	LILRB4	0.000557381	19	55155340	55181810
haploins_v3	ZNF701	0.000557604	19	53059075	53090427
haploins_v3	TEX19	0.000558193	17	80317123	80321652
haploins_v3	LILRA4	0.000558203	19	54844456	54850421
haploins_v3	HTN1	0.000558356	4	70916119	70924562
haploins_v3	PRB4	0.000561665	12	11460017	11463369
haploins_v3	CRISP3	0.000564516	6	49695097	49712150
haploins_v3	TTLL2	0.000565432	6	167738574	167772991
haploins_v3	CT45A1	0.00056557	X	134847185	134857354
haploins_v3	ZNF560	0.000565936	19	9577183	9609283
haploins_v3	GTSE1	0.000567801	22	46692638	46726707
haploins_v3	ZSCAN5B	0.000569139	19	56700939	56709289
haploins_v3	APOL5	0.000570206	22	36113919	36125530
haploins_v3	PRR31	0.000570688	9	139863695	139866442
haploins_v3	STH	0.000572692	17	44076616	44077060
haploins_v3	CTAG1B	0.000573467	X	153845865	153847533
haploins_v3	OR5L1	0.000573897	11	55578854	55579952
haploins_v3	DPPA3	0.000575487	12	7864050	7870155
haploins_v3	PRSS42	0.000576624	3	46871032	46875585
haploins_v3	TAS2R20	0.000578693	12	11149094	11150474
haploins_v3	ADAM29	0.000578944	4	175750819	175899331
haploins_v3	SLC25A21-AS1	0.000582313	14	37641093	37643016
haploins_v3	SPATA8	0.000582935	15	97326619	97328845
haploins_v3	LILRA3	0.000583738	19	54799854	54809952
haploins_v3	C4orf50	0.000584752	4	5958845	5991545
haploins_v3	LINC01554	0.000584845	5	95187936	95195837
haploins_v3	TRIM64C	0.000585811	11	49075266	49080664
haploins_v3	APOL4	0.000586223	22	36585172	36600886
haploins_v3	PSG4	0.000588489	19	43696854	43711451
haploins_v3	CCDC121	0.000589367	2	27848506	27851879
haploins_v3	PODXL	0.000589481	7	131185021	131242976
haploins_v3	IGFL4	0.000592547	19	46543006	46580376
haploins_v3	CDR1	0.000593381	X	139865425	139866723
haploins_v3	PRR23C	0.000595711	3	138760944	138763734
haploins_v3	CD163L1	0.000596988	12	7499281	7632493
haploins_v3	SMR3A	0.00059778	4	71226478	71232875
haploins_v3	ZNF480	0.000598976	19	52800430	52829175
haploins_v3	CD300LF	0.000601908	17	72690452	72709117
haploins_v3	GAGE2A	0.000603766	X	49354132	49361430
haploins_v3	IL37	0.000603944	2	113670548	113676459
haploins_v3	RHOXF2	0.000604208	X	119292467	119297945
haploins_v3	ZNF696	0.000604329	8	144371846	144380231
haploins_v3	KHDC1	0.000604632	6	73951037	74020088
haploins_v3	ZNF416	0.000604715	19	58082934	58090295
haploins_v3	ORM1	0.000605117	9	117085336	117088755
haploins_v3	SDIM1	0.00060771	6	166307330	166309725
haploins_v3	LILRB5	0.00060786	19	54754263	54761164
haploins_v3	FAM230A	0.000608157	22	20692438	20716938
haploins_v3	TSPEAR-AS2	0.000609262	21	45937099	45945835
haploins_v3	ZNF808	0.000610214	19	53030905	53067717
haploins_v3	DEFB4A	0.000610672	8	7752151	7754233
haploins_v3	SPANXN2	0.000610849	X	142795055	142804516
haploins_v3	C19orf44	0.000610915	19	16607122	16632163
haploins_v3	KLK2	0.000612694	19	51364824	51383823
haploins_v3	SSX5	0.000613009	X	48045656	48056199
haploins_v3	DEFB136	0.000613592	8	11831446	11832108
haploins_v3	SIGLEC5	0.000613659	19	52114781	52150151
haploins_v3	GNLY	0.00061384	2	85912298	85925977
haploins_v3	C7orf33	0.000614508	7	148287657	148312952
haploins_v3	SPATA31A6	0.000614954	9	43624507	43630730
haploins_v3	MAGEA3	0.00061519	X	151934652	151938240
haploins_v3	TGOLN2	0.000615886	2	85545147	85555548
haploins_v3	SPATA31A1	0.00061603	9	39355699	39361956
haploins_v3	DEFB128	0.000617016	20	168494	170322
haploins_v3	TAS2R42	0.00061736	12	11338599	11339543
haploins_v3	ZNF766	0.00061858	19	52772824	52795977
haploins_v3	MUC17	0.000618625	7	100663353	100702020
haploins_v3	ZNF488	0.000618686	10	48355088	48373866
haploins_v3	TPRX2P	0.000619931	19	48337701	48364769
haploins_v3	ZNF839	0.000620479	14	102783714	102809044
haploins_v3	CST5	0.000620853	20	23856572	23860387
haploins_v3	LINC01546	0.000622231	X	3189861	3202694
haploins_v3	SLFN12L	0.000623412	17	33791268	33864880
haploins_v3	VSTM1	0.000623601	19	54544079	54567207
haploins_v3	C22orf42	0.000624238	22	32544993	32555309
haploins_v3	IRGM	0.000624247	5	150226085	150280298
haploins_v3	S100A7A	0.000625003	1	153389000	153395701
haploins_v3	NBPF4	0.000625718	1	108765963	108786689
haploins_v3	DCANP1	0.000625841	5	134779905	134783038
haploins_v3	ZNF91	0.000626346	19	23487793	23578362
haploins_v3	PVR	0.000626862	19	45147098	45166850
haploins_v3	GLIPR1L1	0.000626869	12	75728419	75764340
haploins_v3	KIR3DL2	0.000627152	19	55361898	55378662
haploins_v3	ZNF551	0.000627185	19	58193337	58228669
haploins_v3	TCP10	0.000628006	6	167770521	167797998
haploins_v3	MBD3L5	0.000629367	19	7030589	7033022
haploins_v3	NCR3LG1	0.000629432	11	17373273	17398888
haploins_v3	TRIM49	0.000630372	11	89530823	89541743
haploins_v3	C17orf82	0.000630909	17	59489112	59490641
haploins_v3	TNFRSF10C	0.000631633	8	22941868	22974950
haploins_v3	ZNF841	0.000633593	19	52567719	52599018
haploins_v3	HMHB1	0.000633612	5	143191726	143200284
haploins_v3	SIGLEC12	0.000634247	19	51994611	52005043
haploins_v3	FOXL2NB	0.000634876	3	138666076	138672293
haploins_v3	RNF146	0.000636952	6	127587755	127609712
haploins_v3	MRGPRE	0.000637069	11	3248928	3253616
haploins_v3	FTHL17	0.000637657	X	31089360	31090170
haploins_v3	ATP11AUN	0.000638266	13	113301358	113338811
haploins_v3	FAM90A1	0.000638586	12	8373856	8380214
haploins_v3	LOH12CR2	0.00063938	12	12508342	12510001
haploins_v3	NUTM2B	0.000639797	10	81462983	81474437
haploins_v3	KIR3DL1	0.000640018	19	55235969	55378448
haploins_v3	HRASLS2	0.00064057	11	63320242	63330855
haploins_v3	IFNA16	0.000642647	9	21216372	21217310
haploins_v3	TEX40	0.000643189	11	64067863	64072242
haploins_v3	C10orf120	0.00064322	10	124457225	124459338
haploins_v3	GIMAP7	0.000643369	7	150211918	150218161
haploins_v3	CEACAM7	0.000643618	19	42177235	42210895
haploins_v3	OOEP	0.000644797	6	74078278	74104856
haploins_v3	C1orf86	0.000645435	1	2115903	2144159
haploins_v3	IFI44L	0.00064555	1	79085607	79111830
haploins_v3	LINC00696	0.000646386	3	52097076	52097567
haploins_v3	HAVCR1	0.00064813	5	156456424	156486130
haploins_v3	PRAP1	0.000648704	10	135160650	135166187
haploins_v3	BTN3A1	0.000649602	6	26402465	26415444
haploins_v3	CLEC12A	0.000649991	12	10103915	10148293
haploins_v3	PERM1	0.000651256	1	910579	917497
haploins_v3	OR7G1	0.000651876	19	9225274	9226439
haploins_v3	ZNF534	0.00065382	19	52932440	52955568
haploins_v3	MRGPRG	0.000653924	11	3239174	3240043
